sent_id,context,eng,acu,afr,ake,alb,amh,amu,ara,arm,baq,bsn,bul,cak,ceb,cha,chi,chq,chr,chu,cjp,cni,cop,crp,cze,dan,deu,dik,dje,dop,epo,est,ewe,fin,fra,gbi,gla,glv,got,grc,gre,guj,heb,hin,hrv,hun,ind,isl,ita,jak,jap,jiv,kab,kbh,kor,lat,lav,lit,mam,mao,mar,mya,nep,nhg,nld,nor,ojb,pck,pes,plt,pol,por,pot,ppk,quc,quw,rom,rum,rus,shi,slk,slv,sna,som,spa,srp,ssw,swe,syr,tel,tgl,tha,tmh,tur,ukr,usp,wal,wol,xho,zul
b.GEN.2.4,"These are the generations of the heavens and of the earth when they were created , in the day that the LORD God made the earth and the heavens ,",when,NA,toe,NA,kur,ጊዜ,NA,حين,երբ,NA,NA,когато,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NA,lè,když,Da,da,NA,waato,NA,kiam,kui,NA,kun,quand,NA,NA,NA,NA,NA,οτε,NA,NULL,जब,Kad,mikor,Ketika,er,NULL,NA,NULL,NA,NA,NA,때에,quando,NA,kai,NA,",",व,NULL,ि,NA,toen,da,NA,lai,حین,fony,gdy,quando,NA,NA,NA,NA,NA,cînd,",",NA,keď,ko,musi,kolkii,cuando,kad,NA,när,NA,నప,nang,NULL,As,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.3.6,"And when the woman saw that the tree was good for food , and that it was pleasant to the eyes , and a tree to be desired to make one wise , she took of the fruit thereof , and did eat , and gave also unto her husband with her ; and he did eat .",when,NA,NULL,NA,NULL,NULL,NA,NULL,NULL,NA,NA,като,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,NULL,NULL,das,NA,Waato,NA,NULL,NULL,NA,NULL,NULL,NA,NA,NA,NA,NA,ως,NA,NULL,जब,NULL,NULL,itu,er,",",NA,NULL,NA,NA,NA,NULL,NULL,NA,Kai,NA,NULL,NULL,NULL,ि,NA,NULL,NULL,NA,",",چون,NULL,Widząc,vendo,NA,NA,NA,NA,NA,a,",",NA,NULL,NULL,akati,markii,NULL,NULL,NA,fick,NA,డ,nang,เม,NULL,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.4.8,"And Cain talked with Abel his brother : and it came to pass , when they were in the field , that Cain rose up against Abel his brother , and slew him .",when,NA,toe,NA,kur,NULL,NA,اذ,Երբ,NA,NA,когато,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,antan,když,NULL,da,NA,Alwaato,NA,kiam,kui,NA,NULL,NULL,NA,NA,NA,NA,NA,ενω,NA,NULL,जब,NULL,mikor,Ketika,er,Mentre,NA,NULL,NA,NA,NA,때에,cumque,NA,NULL,NA,i,ह,အခ,ि,NA,Toen,da,NA,lai,چون,nony,gdy,estando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,vakati,markii,estando,kad,NA,när,NA,నప,nang,ื,As,Vulgatadan,NA,NA,NA,NA,NULL,NA
b.GEN.4.12,"When thou tillest the ground , it shall not henceforth yield unto thee her strength ; a fugitive and a vagabond shalt thou be in the earth .",When,NA,As,NA,Kur,NULL,NA,متى,NULL,NA,NA,Когато,NA,diha,NA,NULL,NA,NA,NA,NA,NA,NA,Lè,Když,Når,Wenn,NA,Da,NA,Kiam,Kui,NA,Kun,Quand,NA,NA,NA,NA,NA,οταν,NA,NULL,NULL,NULL,Mikor,NULL,Þegar,Quando,NA,NULL,NA,NA,NA,NULL,cum,NA,Kai,NA,Ka,NULL,အခ,जब,NA,NULL,Når,NA,NULL,NULL,Raha,Gdy,Quando,NA,NA,NA,NA,NA,Cînd,когда,NA,Keď,Ko,NULL,Kolkii,Cuando,Kad,NA,När,NA,నప,NULL,เม,NULL,NULL,NA,NA,NA,NA,Xenikweni,NA
b.GEN.5.2,"Male and female created he them ; and blessed them , and called their name Adam , in the day when they were created .",when,NA,toe,NA,që,NULL,NA,NULL,երբ,NA,NA,когато,NA,sa,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,když,da,da,NA,kaŋ,NA,NULL,NULL,NA,kun,lorsqu,NA,NA,NA,NA,NA,ην,NA,NULL,NULL,kad,NULL,NULL,er,quando,NA,NULL,NA,NA,NA,창조되던,NULL,NA,kai,NA,NULL,व,သ,जब,NA,NULL,NULL,NA,un,NULL,NULL,",",em,NA,NA,NA,NA,NA,cînd,NULL,NA,ktorý,ko,NULL,NULL,que,kad,NA,när,NA,NULL,NULL,่,NA,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.6.1,"And it came to pass , when men began to multiply on the face of the earth , and daughters were born unto them ,",when,NA,NULL,NA,Kur,ጊዜ,NA,لما,Երբ,NA,NA,NULL,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,NULL,když,nu,aber,NA,kaŋ,NA,kiam,kui,NA,Kun,Lorsque,NA,NA,NA,NA,NA,οτε,NA,כי,जब,Kad,NULL,Setelah,Er,Quando,NA,NULL,NA,NA,NA,때에,cumque,NA,Kai,NA,ka,ह,ါ,जब,NA,NULL,nu,NA,",",چون,raha,gdy,quando,NA,NA,NA,NA,NA,Cînd,Когда,NA,keď,ko,vakati,markii,cuando,kad,NA,NULL,NA,నప,nang,ื,NULL,NULL,NA,NA,NA,NA,",",NA
b.GEN.6.4,"There were giants in the earth in those days ; and also after that , when the sons of God came in unto the daughters of men , and they bare children to them , the same became mighty men which were of old , men of renown .",when,NA,toe,NA,kur,ጊዜ,NA,اذ,Երբ,NA,NA,като,NA,sa,NA,候,NA,NA,NA,NA,NA,NA,Lè,když,da,da,NA,D,NA,kiam,kui,NA,kun,que,NA,NA,NA,NA,NA,αφου,NA,NULL,जब,kad,mikor,NULL,er,quando,NA,地にネピリムがいた,NA,NA,NA,NULL,NULL,NA,Kai,NA,haerenga,ह,အခ,जब,NA,NULL,da,NA,NULL,هنگامی,raha,gdy,quando,NA,NA,NA,NA,NA,',как,NA,keď,ko,kana,kolkii,cuando,kad,NA,sedan,NA,నప,NULL,่,NULL,.,NA,NA,NA,NA,xeshikweni,NA
b.GEN.7.6,And Noah was six hundred years old when the flood of waters was upon the earth .,when,NA,toe,NA,kur,ጊዜ,NA,NULL,երբ,NA,NA,когато,NA,na,NA,候,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,lorsque,NA,NA,NA,NA,NA,οτε,NA,NULL,NULL,kad,mikor,ketika,þegar,quando,NA,NULL,NA,NA,NA,때에,quando,NA,kai,NA,putanga,ह,အခ,जब,NA,toen,da,NA,hongtun,چون,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,как,NA,keď,ko,panguva,markii,cuando,kad,NA,när,NA,నప,nang,NULL,as,koptuğunda,NA,NA,NA,NA,",",NA
b.GEN.9.14,"And it shall come to pass , when I bring a cloud over the earth , that the bow shall be seen in the cloud :",when,NA,As,NA,kur,ጊዜ,NA,متى,Երբ,NA,NA,Когато,NA,diha,NA,候,NA,NA,NA,NA,NA,NA,fwa,když,Når,daß,NA,saaya,NA,kiam,Kui,NA,kun,Quand,NA,NA,NA,NA,NA,οταν,NA,NULL,जब,NULL,mikor,",",þegar,Quando,NA,NULL,NA,NA,NA,때에,cumque,NA,NULL,NA,wa,व,အခ,जब,NA,Als,når,NA,NULL,هنگامی,NULL,gdy,quando,NA,NA,NA,NA,NA,Cînd,когда,NA,keď,ko,NULL,markii,cuando,kad,NA,när,NA,నప,pagka,ื,NULL,zaman,NA,NA,NA,NA,NULL,NA
b.GEN.12.4,"So Abram departed , as the LORD had spoken unto him ; and Lot went with him : and Abram was seventy and five years old when he departed out of Haran .",when,NA,by,NA,kur,ጊዜ,NA,لما,երբ,NA,NA,когато,NA,sa,NA,時,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,saaya,NA,kiam,kui,NA,NULL,lorsqu,NA,NA,NA,NA,NA,οτε,NA,NULL,समय,kad,mikor,ketika,er,quando,NA,アブラムは主が言われたようにいで立った,NA,NA,NA,때에,cum,NA,kai,NA,i,ह,အခ,े,NA,toen,da,NA,laiin,هنگامی,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,kwake,markuu,cuando,kad,NA,när,NA,నప,nang,ื,as,zaman,NA,NA,NA,NA,",",NA
