context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (papinum) of (NULL) the (NULL) generation (papikia) of (NULL) Jesus (NULL) Christ (Jesucristo) , (.) the (NULL) son (ayayi) of (NULL) David (Davidcha) , (.) the (NULL) son (ayayi) of (NULL) Abraham (Abrahama) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (yajutmarmiayi) Isaac (NULL) ; (.) and (Tura) Isaac (NULL) begat (yajutmarmiayi) Jacob (Jacobon) ; (.) and (Tura) Jacob (Jacobon) begat (yajutmarmiayi) Judas (Judán) and (Tura) his (NULL) brethren (yachí) ; (.) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (Tura) Judas (NULL) begat (NULL) Phares (Judá) and (tura) Zara (Faresan) of (NULL) Thamar (Zara) ; (.) and (tura) Phares (Judá) begat (NULL) Esrom (NULL) ; (.) and (tura) Esrom (NULL) begat (NULL) Aram (NULL) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (Tura) Aram (Esrom) begat (yajutmarmiayi) Aminadab (Araman) ; (.) and (Tura) Aminadab (Araman) begat (yajutmarmiayi) Naasson (NULL) ; (.) and (Tura) Naasson (NULL) begat (yajutmarmiayi) Salmon (Naasónkan) ; (.) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (Tura) Salmon (Salmón) begat (yajutmarmiayi) Booz (Rahaban) of (NULL) Rachab (Boozan) ; (.) and (Tura) Booz (Rahaban) begat (yajutmarmiayi) Obed (NULL) of (NULL) Ruth (Obedan) ; (.) and (Tura) Obed (NULL) begat (yajutmarmiayi) Jesse (Isaín) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,"b.MAT.1.6 (b.MAT.1.6) And (Tura) Jesse (Isaí) begat (yajutmarmiayi) David (Davidtan) the (NULL) king (apu) ; (.) and (Tura) David (Davidtan) the (NULL) king (apu) begat (yajutmarmiayi) Solomon (Salomónkan) of (NULL) her (NULL) that (NULL) had (,) been (NULL) the (NULL) wife (nuwarin) of (NULL) Urias (Uríasa) ; (.) "
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (Tura) Solomon (Salomón) begat (yajutmarmiayi) Roboam (NULL) ; (.) and (Tura) Roboam (NULL) begat (yajutmarmiayi) Abia (Roboam) ; (.) and (Tura) Abia (Roboam) begat (yajutmarmiayi) Asa (Asan) ; (.) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (Tura) Asa (Asa) begat (yajutmarmiayi) Josaphat (NULL) ; (.) and (Tura) Josaphat (NULL) begat (yajutmarmiayi) Joram (Josafat) ; (.) and (Tura) Joram (Josafat) begat (yajutmarmiayi) Ozias (Oseasan) ; (.) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (Tura) Ozias (Oseas) begat (yajutmarmiayi) Joatham (NULL) ; (.) and (Tura) Joatham (NULL) begat (yajutmarmiayi) Achaz (Jotam) ; (.) and (Tura) Achaz (Jotam) begat (yajutmarmiayi) Ezekias (Ezequíasan) ; (.) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (Tura) Ezekias (Ezequías) begat (yajutmarmiayi) Manasses (NULL) ; (.) and (Tura) Manasses (NULL) begat (yajutmarmiayi) Amon (Manasés) ; (.) and (Tura) Amon (Manasés) begat (yajutmarmiayi) Josias (Josíasan) ; (.) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (Tura) Josias (Jeconíasan) begat (yajutmarmiayi) Jechonias (Josías) and (tura) his (Jeconíasa) brethren (yachí) , (NULL) about (NULL) the (NULL) time (NULL) they (NULL) were (NULL) carried (NULL) away (Babilonianam) to (NULL) Babylon (Babilonianmaya) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (Tura) after (NULL) they (Salatielan) were (NULL) brought (NULL) to (NULL) Babylon (Jeconías) , (NULL) Jechonias (NULL) begat (yajutmarmiayi) Salathiel (NULL) ; (.) and (Tura) Salathiel (NULL) begat (yajutmarmiayi) Zorobabel (NULL) ; (.) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (Tura) Zorobabel (Zorobabel) begat (yajutmarmiayi) Abiud (NULL) ; (.) and (Tura) Abiud (NULL) begat (yajutmarmiayi) Eliakim (Abiud) ; (.) and (Tura) Eliakim (Abiud) begat (yajutmarmiayi) Azor (Azoran) ; (.) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (Tura) Azor (Azor) begat (yajutmarmiayi) Sadoc (NULL) ; (.) and (Tura) Sadoc (NULL) begat (yajutmarmiayi) Achim (Sadóc) ; (.) and (Tura) Achim (Sadóc) begat (yajutmarmiayi) Eliud (Eliudan) ; (.) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (Tura) Eliud (Eliud) begat (yajutmarmiayi) Eleazar (NULL) ; (.) and (Tura) Eleazar (NULL) begat (yajutmarmiayi) Matthan (Eleazar) ; (.) and (Tura) Matthan (Eleazar) begat (yajutmarmiayi) Jacob (Jacobon) ; (.) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (Tura) Jacob (Jacob) begat (yajutmarmiayi) Joseph (Josén) the (NULL) husband (aishrin) of (NULL) Mary (Marí) , (.) of (NULL) whom (NULL) was (NULL) born (NULL) Jesus (Jesúska) , (.) who (NULL) is (asamtai) called (inaikiamuitai) Christ (Mesías) . (NULL) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) So (irumram) all (mash) the (NULL) generations (NULL) from (.) Abraham (Davidnum) to (NULL) David (Abrahamnumia) are (NULL) fourteen (14) generations (NULL) ; (.) and (NULL) from (.) David (Abrahamnumia) until (armiayi) the (NULL) carrying (Davidnumia) away (NULL) into (NULL) Babylon (Babilonianam) are (NULL) fourteen (14) generations (NULL) ; (.) and (NULL) from (.) the (NULL) carrying (Davidnumia) away (NULL) into (NULL) Babylon (Babilonianam) unto (NULL) Christ (Mesíasjai) are (NULL) fourteen (14) generations (NULL) . (NULL) 
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (NULL) the (NULL) birth (akiinamiayi) of (NULL) Jesus (NULL) Christ (Jesucristo) was (NULL) on (NULL) this (NULL) wise (nuwatkataj) : (NULL) When (Tu) as (.) his (Jesúsa) mother (nukuri) Mary (Marín) was (NULL) espoused (japrukmiayi) to (NULL) Joseph (José) , (.) before (NULL) they (NULL) came (pujuinai) together (chichasar) , (.) she (Marí) was (NULL) found (NULL) with (kakarmarijai) child (NULL) of (NULL) the (NULL) Holy (Wakani) Ghost (NULL) . (NULL) "
"b.MAT.1.19 Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) Then (NULL) Joseph (José) her (NULL) husband (NULL) , (NULL) being (asa) a (NULL) just (japrukamtai) man (aints) , (NULL) and (,) not (.) willing (NULL) to (NULL) make (nekaawarai) her (NULL) a (NULL) publick (uuk) example (NULL) , (NULL) was (NULL) minded (NULL) to (NULL) put (NULL) her (NULL) away (takamtaik) privily (inaisatas) . (NULL) "
"b.MAT.1.20 But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost .","b.MAT.1.20 (b.MAT.1.20) But (Tu) while (NULL) he (nintimias) thought (NULL) on (NULL) these (NULL) things (.) , (NULL) behold (NULL) , (NULL) the (NULL) angel (awemamuri) of (Yuse) the (NULL) Lord (NULL) appeared (wantintukmiayi) unto (chicharak) him (NULL) in (NULL) a (NULL) dream (karanam) , (NULL) saying (NULL) , (NULL) Joseph (Josén) , (NULL) thou (ame) son (chichasmaurum) of (Yuse) David (Davidta) , (NULL) fear (NULL) not (,) to (NULL) take (Joséya) unto (chicharak) thee (NULL) Mary (María) thy (NULL) wife (japruku) : (NULL) for (aitkamu) that (NULL) which (NULL) is (NULL) conceived (japruki) in (NULL) her (NULL) is (NULL) of (Yuse) the (NULL) Holy (Wakani) Ghost (NULL) . (NULL) "
"b.MAT.1.21 And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) And (Turamtai) she (NULL) shall (tawai) bring (uchikia) forth (NULL) a (NULL) son (NULL) , (.) and (NULL) thou (timiayi) shalt (NULL) call (inaikiatatme) his (uchin) name (NULL) JESUS (jurertatui) : (NULL) for (asamtai) he (NULL) shall (tawai) save (NULL) his (uchin) people (ainaun) from (.) their (NULL) sins (Uwemtikiartin) . (NULL) "
"b.MAT.1.22 Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) Now (NULL) all (NULL) this (NULL) was (NULL) done (NULL) , (NULL) that (.) it (NULL) might (turunatnunka) be (nunisang) fulfilled (aarmia) which (NULL) was (NULL) spoken (yaanchuik) of (NULL) the (NULL) Lord (NULL) by (NULL) the (NULL) prophet (etserin) , (NULL) saying (nuwaitai) , (NULL) "
"b.MAT.1.23 Behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name Emmanuel , which being interpreted is , God with us .","b.MAT.1.23 (b.MAT.1.23) Behold (Antuktaram) , (.) a (NULL) virgin (Nawan) shall (NULL) be (NULL) with (NULL) child (uchin) , (.) and (NULL) shall (NULL) bring (NULL) forth (NULL) a (NULL) son (japruktinuitai) , (.) and (NULL) they (NULL) shall (NULL) call (NULL) his (uchin) name (jurertinuitai) Emmanuel (Emanuel) , (.) which (NULL) being (asa) interpreted (taku) is (pujawai) , (.) God (Yus) with (NULL) us (iijai) . (.) "
"b.MAT.1.24 Then Joseph being raised from sleep did as the angel of the Lord had bidden him , and took unto him his wife :","b.MAT.1.24 (b.MAT.1.24) Then (Turamtai) Joseph (José) being (NULL) raised (NULL) from (NULL) sleep (shintar) did (timiaun) as (.) the (NULL) angel (awemamuri) of (NULL) the (NULL) Lord (NULL) had (NULL) bidden (NULL) him (NULL) , (NULL) and (NULL) took (,) unto (NULL) him (NULL) his (ni) wife (jukimiayi) : (NULL) "
b.MAT.1.25 And knew her not till she had brought forth her firstborn son : and he called his name JESUS .,b.MAT.1.25 (b.MAT.1.25) And (Tura) knew (NULL) her (ni) not (NULL) till (NULL) she (Marí) had (tumatsuk) brought (NULL) forth (NULL) her (ni) firstborn (jukiyat) son (jurermiayi) : (.) and (Tura) he (NULL) called (inaikiamiayi) his (uchin) name (naarin) JESUS (jurer) . (NULL) 
"b.MAT.2.1 Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king , behold , there came wise men from the east to Jerusalem ,","b.MAT.2.1 (b.MAT.2.1) Now (NULL) when (NULL) Jesus (Jesús) was (NULL) born (akiinamiayi) in (NULL) Bethlehem (Belén) of (nungkanam) Judaea (Judea) in (NULL) the (NULL) days (NULL) of (nungkanam) Herod (Herodes) the (NULL) king (apu) , (NULL) behold (pujai) , (NULL) there (NULL) came (jear) wise (nekau) men (aints) from (tsaa) the (NULL) east (taakmanumanini) to (NULL) Jerusalem (Jerusalénnum) , (NULL) "
"b.MAT.2.2 Saying , Where is he that is born King of the Jews ? for we have seen his star in the east , and are come to worship him .","b.MAT.2.2 (b.MAT.2.2) Saying (NULL) , (:) Where (tuning) is (puja) he (NULL) that (NULL) is (puja) born (akiina) King (NULL) of (apuri) the (NULL) Jews (Judío) ? (?) for (NULL) we (Iikia) have (.) seen (wainkau) his (NULL) star (angkuaji) in (,) the (NULL) east (taakmanumanini) , (:) and (NULL) are (asar) come (akiinayi) to (NULL) worship (wajastatme) him (tiarmiayi) . (NULL) "
"b.MAT.2.3 When Herod the king had heard these things , he was troubled , and all Jerusalem with him .","b.MAT.2.3 (b.MAT.2.3) When (NULL) Herod (Herodes) the (NULL) king (apu) had (nintimramiayi) heard (antuk) these (NULL) things (Wikitjai) , (NULL) he (tusa) was (.) troubled (napchau) , (NULL) and (,) all (mash) Jerusalem (Jerusalénnum) with (.) him (Turamtai) . (NULL) "
"b.MAT.2.4 And when he had gathered all the chief priests and scribes of the people together , he demanded of them where Christ should be born .","b.MAT.2.4 (b.MAT.2.4) And (Tura) when (NULL) he (NULL) had (NULL) gathered (irur) all (mash) the (NULL) chief (juuntri) priests (sacerdote) and (tura) scribes (nuikiartin) of (NULL) the (NULL) people (ainaun) together (NULL) , (:) he (NULL) demanded (iniasmiayi) of (NULL) them (NULL) where (NULL) Christ (Tuning) should (NULL) be (NULL) born (akiinatnuita) . (.) "
"b.MAT.2.5 And they said unto him , In Bethlehem of Judaea : for thus it is written by the prophet ,","b.MAT.2.5 (b.MAT.2.5) And (Tu) they (NULL) said (iniam) unto (NULL) him (NULL) , (:) In (NULL) Bethlehem (Belén) of (NULL) Judaea (nungkanam) : (.) for (asamtai) thus (akiinatniuri) it (NULL) is (nuwaitai) written (aarmauka) by (pachis) the (NULL) prophet (etserin) , (:) "
"b.MAT.2.6 And thou Bethlehem , in the land of Juda , art not the least among the princes of Juda : for out of thee shall come a Governor , that shall rule my people Israel .","b.MAT.2.6 (b.MAT.2.6) And (Tu) thou (NULL) Bethlehem (Belén) , (.) in (yaktanam) the (NULL) land (nungkanam) of (aa) Juda (Judá) , (.) art (NULL) not (.) the (NULL) least (achatnuitai) among (NULL) the (NULL) princes (mianchauka) of (aa) Juda (Judá) : (.) for (asamtai) out (.) of (aa) thee (timiayi) shall (NULL) come (NULL) a (NULL) Governor (aimkarmiayi) , (.) that (nuna) shall (NULL) rule (NULL) my (NULL) people (ainaun) Israel (Israela) . (NULL) "
"b.MAT.2.7 Then Herod , when he had privily called the wise men , inquired of them diligently what time the star appeared .","b.MAT.2.7 (b.MAT.2.7) Then (Tu) Herod (Herodes) , (NULL) when (apu) he (NULL) had (NULL) privily (aiminamtai) called (tusa) the (NULL) wise (nekau) men (NULL) , (NULL) inquired (NULL) of (NULL) them (NULL) diligently (wainkamarume) what (iniasmiayi) time (NULL) the (NULL) star (Angkuajisha) appeared (nekasrumsha) . (.) "
"b.MAT.2.8 And he sent them to Bethlehem , and said , Go and search diligently for the young child ; and when ye have found him , bring me word again , that I may come and worship him also .","b.MAT.2.8 (b.MAT.2.8) And (NULL) he (NULL) sent (awemak) them (NULL) to (yaktanam) Bethlehem (Belén) , (.) and (NULL) said (:) , (.) Go (wetaram) and (NULL) search (pujatsuash) diligently (Turaram) for (NULL) the (NULL) young (tenapkesrum) child (uchi) ; (.) and (NULL) when (apu) ye (tusaram) have (.) found (NULL) him (NULL) , (.) bring (ujatkataram) me (winasha) word (NULL) again (umisrum) , (.) that (NULL) I (wisha) may (wakerajai) come (NULL) and (NULL) worship (wajastatme) him (NULL) also (,) . (NULL) "
"b.MAT.2.9 When they had heard the king , they departed ; and , lo , the star , which they saw in the east , went before them , till it came and stood over where the young child was .","b.MAT.2.9 (b.MAT.2.9) When (NULL) they (asar) had (NULL) heard (NULL) the (NULL) king (apu) , (,) they (asar) departed (NULL) ; (.) and (NULL) , (,) lo (angkuajin) , (,) the (NULL) star (angkuaji) , (,) which (NULL) they (asar) saw (wainkarmiayi) in (NULL) the (NULL) east (taakmanumanini) , (,) went (wear) before (NULL) them (NULL) , (,) till (akatramu) it (jean) came (wearmiayi) and (NULL) stood (NULL) over (NULL) where (NULL) the (NULL) young (NULL) child (uchi) was (.) . (.) "
"b.MAT.2.11 And when they were come into the house , they saw the young child with Mary his mother , and fell down , and worshipped him : and when they had opened their treasures , they presented unto him gifts ; gold , and frankincense , and myrrh .","b.MAT.2.11 (b.MAT.2.11) And (Tura) when (NULL) they (NULL) were (wainkar) come (NULL) into (nuni) the (NULL) house (wayaawar) , (,) they (NULL) saw (NULL) the (NULL) young (NULL) child (uchi) with (.) Mary (Maríjai) his (NULL) mother (nukuri) , (,) and (apu) fell (NULL) down (NULL) , (,) and (apu) worshipped (tikishmatrar) him (uchin) : (NULL) and (apu) when (NULL) they (NULL) had (,) opened (urakar) their (ni) treasures (keematai) , (,) they (NULL) presented (kajurinia) unto (NULL) him (uchin) gifts (NULL) ; (NULL) gold (kurin) , (,) and (apu) frankincense (mirra) , (,) and (apu) myrrh (susarmiayi) . (NULL) "
"b.MAT.2.12 And being warned of God in a dream that they should not return to Herod , they departed into their own country another way .","b.MAT.2.12 (b.MAT.2.12) And (Tura) being (NULL) warned (arum) of (NULL) God (Yus) in (NULL) a (,) dream (karanam) that (nekau) they (NULL) should (—) not (.) return (waketkitaram) to (NULL) Herod (ujatsuk) , (:) they (NULL) departed (NULL) into (NULL) their (ni) own (NULL) country (nungkarin) another (chikich) way (jintak) . (.) "
"b.MAT.2.13 And when they were departed , behold , the angel of the Lord appeareth to Joseph in a dream , saying , Arise , and take the young child and his mother , and flee into Egypt , and be thou there until I bring thee word : for Herod will seek the young child to destroy him .","b.MAT.2.13 (b.MAT.2.13) And (Tura) when (NULL) they (ainau) were (.) departed (waketkiaramtai) , (NULL) behold (NULL) , (NULL) the (NULL) angel (awemamuri) of (Yuse) the (NULL) Lord (Apu) appeareth (NULL) to (NULL) Joseph (Josén) in (NULL) a (,) dream (karanam) , (NULL) saying (—) , (NULL) Arise (nantakta) , (NULL) and (Tura) take (jukim) the (NULL) young (NULL) child (uchi) and (Tura) his (NULL) mother (nukurijai) , (NULL) and (Tura) flee (ujaktatjame) into (nungkanam) Egypt (Egipto) , (NULL) and (Tura) be (.) thou (NULL) there (nuni) until (NULL) I (tusan) bring (NULL) thee (weta) word (NULL) : (NULL) for (asamtai) Herod (Herodes) will (.) seek (pujakmin) the (NULL) young (NULL) child (uchi) to (NULL) destroy (eak) him (NULL) . (NULL) "
"b.MAT.2.14 When he arose , he took the young child and his mother by night , and departed into Egypt :","b.MAT.2.14 (b.MAT.2.14) When (NULL) he (NULL) arose (nantaki) , (NULL) he (NULL) took (juki) the (NULL) young (NULL) child (uchin) and (NULL) his (NULL) mother (nukurijai) by (NULL) night (kashi) , (NULL) and (NULL) departed (wearmiayi) into (nungkanam) Egypt (Egipto) : (.) "
"b.MAT.2.15 And was there until the death of Herod : that it might be fulfilled which was spoken of the Lord by the prophet , saying , Out of Egypt have I called my son .","b.MAT.2.15 (b.MAT.2.15) And (Tura) was (NULL) there (NULL) until (NULL) the (NULL) death (NULL) of (NULL) Herod (Herodes) : (.) that (nuna) it (.) might (turatnunka) be (NULL) fulfilled (NULL) which (NULL) was (NULL) spoken (pachis) of (NULL) the (NULL) Lord (umikti) by (NULL) the (NULL) prophet (etsernun) , (.) saying (nuwaitai) , (.) Out (untsukmiajai) of (NULL) Egypt (Egipto) have (.) I (NULL) called (NULL) my (wina) son (Uchirun) . (”) "
"b.MAT.2.16 Then Herod , when he saw that he was mocked of the wise men , was exceeding wroth , and sent forth , and slew all the children that were in Bethlehem , and in all the coasts thereof , from two years old and under , according to the time which he had diligently inquired of the wise men .","b.MAT.2.16 (b.MAT.2.16) Then (NULL) Herod (Herodes) , (NULL) when (jeatak) he (ainaun) saw (nuna) that (paan) he (ainaun) was (asa) mocked (tacharamtai) of (NULL) the (NULL) wise (NULL) men (NULL) , (NULL) was (asa) exceeding (NULL) wroth (chicharu) , (NULL) and (tura) sent (akupkamiayi) forth (NULL) , (NULL) and (tura) slew (NULL) all (mash) the (NULL) children (Uchi) that (paan) were (pujuinau) in (yaktanam) Bethlehem (Belén) , (NULL) and (tura) in (yaktanam) all (mash) the (NULL) coasts (NULL) thereof (NULL) , (NULL) from (NULL) two (amuktaram) years (musach) old (Angkuajin) and (tura) under (NULL) , (NULL) according (NULL) to (NULL) the (NULL) time (ni) which (yamai) he (ainaun) had (,) diligently (nekaa) inquired (wainkamarume) of (NULL) the (NULL) wise (NULL) men (NULL) . (”) "
"b.MAT.2.17 Then was fulfilled that which was spoken by Jeremy the prophet , saying ,","b.MAT.2.17 (b.MAT.2.17) Then (Tu) was (NULL) fulfilled (aarmia) that (nuna) which (yaanchuik) was (NULL) spoken (pachis) by (NULL) Jeremy (Jeremías) the (NULL) prophet (etserin) , (.) saying (nuwaitai) , (.) "
"b.MAT.2.18 In Rama was there a voice heard , lamentation , and weeping , and great mourning , Rachel weeping for her children , and would not be comforted , because they are not .","b.MAT.2.18 (b.MAT.2.18) In (NULL) Rama (Ramá) was (asa) there (NULL) a (nuwa) voice (kakar) heard (NULL) , (.) lamentation (antuukatnuitai) , (.) and (NULL) weeping (juutu) , (.) and (NULL) great (NULL) mourning (NULL) , (.) Rachel (Raquelaitai) weeping (juutu) for (amutkamu) her (NULL) children (uchiri) , (.) and (NULL) would (NULL) not (Antsu) be (”) comforted (jikiamtsuk) , (.) because (jikiamak) they (juutui) are (NULL) not (Antsu) . (NULL) "
"b.MAT.2.19 But when Herod was dead , behold , an angel of the Lord appeareth in a dream to Joseph in Egypt ,","b.MAT.2.19 (b.MAT.2.19) But (Tura) when (NULL) Herod (Herodes) was (NULL) dead (jakamtai) , (NULL) behold (pujai) , (NULL) an (,) angel (awemamuri) of (NULL) the (NULL) Lord (NULL) appeareth (wantintuk) in (NULL) a (NULL) dream (karanam) to (NULL) Joseph (José) in (NULL) Egypt (Egiptonam) , (NULL) "
