context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (pe) the (ton) generation (NULL) of (pe) Jesus (Sises) Christ (NULL) , (,) the (ton) son (pe) of (pe) David (Tepi) , (,) the (ton) son (pe) of (pe) Abraham (Epʉra) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Epʉra) begat (kʉipʉnʉ) Isaac (Aisi) ; (esi) and (NULL) Isaac (Aisi) begat (kʉipʉnʉ) Jacob (Seko) ; (esi) and (NULL) Jacob (Seko) begat (kʉipʉnʉ) Judas (NULL) and (NULL) his (pʉ) brethren (iyakon) ; (esi) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (NULL) begat (kʉipʉnʉ) Phares (Peres) and (awonsi) Zara (Sera) of (esi) Thamar (Temarʉ) ; (.) and (awonsi) Phares (Peres) begat (kʉipʉnʉ) Esrom (Esuran) ; (.) and (awonsi) Esrom (Esuran) begat (kʉipʉnʉ) Aram (Ran) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Ran) begat (kʉipʉnʉ) Aminadab (Aminatapu) ; (esi) and (NULL) Aminadab (Aminatapu) begat (kʉipʉnʉ) Naasson (Naisan) ; (esi) and (NULL) Naasson (Naisan) begat (kʉipʉnʉ) Salmon (Sarʉman) ; (esi) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,"b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Sarʉman) begat (kʉipʉnʉ) Booz (Powas) of (esi) Rachab (Reyapu) ; (,) and (na) Booz (Powas) begat (kʉipʉnʉ) Obed (Ope) of (esi) Ruth (isan) ; (,) and (na) Obed (Ope) begat (kʉipʉnʉ) Jesse (Ise) ; (,) "
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Ise) begat (kʉipʉnʉ) David (Tepi) the (te) king (kin) ; (.) and (mɨrɨ) David (Tepi) the (te) king (kin) begat (kʉipʉnʉ) Solomon (Saraman) of (esi) her (NULL) that (na) had (pʉ) been (NULL) the (te) wife (no) of (esi) Urias (Iuraya) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Saraman) begat (kʉipʉnʉ) Roboam (Reyopowan) ; (esi) and (NULL) Roboam (Reyopowan) begat (kʉipʉnʉ) Abia (Apaya) ; (esi) and (NULL) Abia (Apaya) begat (kʉipʉnʉ) Asa (Esa) ; (esi) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Esa) begat (kʉipʉnʉ) Josaphat (Iseyosapa) ; (esi) and (NULL) Josaphat (Iseyosapa) begat (kʉipʉnʉ) Joram (Iseyoran) ; (esi) and (NULL) Joram (Iseyoran) begat (kʉipʉnʉ) Ozias (Usaya) ; (esi) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Usaya) begat (kʉipʉnʉ) Joatham (Iso) ; (esi) and (NULL) Joatham (Iso) begat (kʉipʉnʉ) Achaz (Eyas) ; (esi) and (NULL) Achaz (Eyas) begat (kʉipʉnʉ) Ezekias (Esi) ; (esi) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Esi) begat (kʉipʉnʉ) Manasses (Mana) ; (esi) and (NULL) Manasses (Mana) begat (kʉipʉnʉ) Amon (Eman) ; (esi) and (NULL) Amon (Eman) begat (kʉipʉnʉ) Josias (Iso) ; (esi) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Iso) begat (kʉipʉnʉ) Jechonias (konaya) and (awonsi) his (pʉ) brethren (iyakon) , (.) about (NULL) the (amʉ) time (tai) they (To) were (NULL) carried (NULL) away (arɨ) to (pona) Babylon (Paperan) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (NULL) after (NULL) they (to) were (NULL) brought (uya) to (pona) Babylon (Paperan) , (:) Jechonias (konaya) begat (kʉipʉnʉ) Salathiel (tiyerʉ) ; (,) and (pʉ) Salathiel (tiyerʉ) begat (kʉipʉnʉ) Zorobabel (Userupaperʉ) ; (,) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Userupaperʉ) begat (kʉipʉnʉ) Abiud (Apaiyutʉ) ; (esi) and (NULL) Abiud (Apaiyutʉ) begat (kʉipʉnʉ) Eliakim (Iraiya) ; (esi) and (NULL) Eliakim (Iraiya) begat (kʉipʉnʉ) Azor (Esorʉ) ; (esi) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Esorʉ) begat (kʉipʉnʉ) Sadoc (Isato) ; (esi) and (pʉ) Sadoc (Isato) begat (kʉipʉnʉ) Achim (NULL) ; (esi) and (pʉ) Achim (NULL) begat (kʉipʉnʉ) Eliud (Iraiyutʉ) ; (esi) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Iraiyutʉ) begat (kʉipʉnʉ) Eleazar (Eriyesarʉ) ; (esi) and (pʉ) Eleazar (Eriyesarʉ) begat (kʉipʉnʉ) Matthan (Ma) ; (esi) and (pʉ) Matthan (Ma) begat (kʉipʉnʉ) Jacob (Seko) ; (esi) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Seko) begat (kʉipʉnʉ) Joseph (Isose) the (si) husband (taan) of (NULL) Mary (Meri) , (.) of (NULL) whom (NULL) was (pʉ) born (NULL) Jesus (Sises) , (.) who (NULL) is (esi) called (tato) Christ (Kʉrai) . (.) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) So (NULL) all (rɨ) the (ton) generations (itamokori) from (NULL) Abraham (Epʉra) to (pona) David (NULL) are (NULL) fourteen (14) generations (itamokori) ; (.) and (mɨrɨ) from (NULL) David (NULL) until (pona) the (ton) carrying (arɨ) away (NULL) into (pona) Babylon (Paperan) are (NULL) fourteen (14) generations (itamokori) ; (.) and (mɨrɨ) from (NULL) the (ton) carrying (arɨ) away (NULL) into (pona) Babylon (Paperan) unto (NULL) Christ (NULL) are (NULL) fourteen (14) generations (itamokori) . (NULL) 
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (Serɨ) the (tane) birth (pantomʉ) of (NULL) Jesus (Sises) Christ (Kʉrai) was (NULL) on (') this (serɨ) wise (NULL) : (:) When (NULL) as (NULL) his (NULL) mother (Isanon) Mary (Meri) was (NULL) espoused (usauro) to (') Joseph (Isose) , (i) before (rawɨrɨ) they (to) came (NULL) together (NULL) , (i) she (NULL) was (NULL) found (NULL) with (pokon) child (tʉumono) of (NULL) the (tane) Holy (Wakʉ) Ghost (A) . (.) "
