context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (IESVS) book (CHRIST) of (NULL) the (NULL) generation (-) of (NULL) Jesus (NULL) Christ (generationeco) , (NULL) the (NULL) son (semearen) of (NULL) David (Dauid) , (NULL) the (NULL) son (semearen) of (NULL) Abraham (Abrahamen) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abrahamec) begat (engendra) Isaac (Isaac) ; (.) and (Eta) Isaac (Isaac) begat (engendra) Jacob (Iacob) ; (.) and (Eta) Jacob (Iacob) begat (engendra) Judas (Iuda) and (Eta) his (haren) brethren (anayeac) ; (.) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (Eta) Judas (Iudac) begat (engendra) Phares (Phares) and (eta) Zara (citzan) of (NULL) Thamar (Thamarganic) ; (.) and (eta) Phares (Phares) begat (engendra) Esrom (Esrom) ; (.) and (eta) Esrom (Esrom) begat (engendra) Aram (Aram) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (Eta) Aram (Aramec) begat (engendra) Aminadab (Aminadab) ; (.) and (Eta) Aminadab (Aminadab) begat (engendra) Naasson (Naasson) ; (.) and (Eta) Naasson (Naasson) begat (engendra) Salmon (Salmon) ; (.) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (Eta) Salmon (Salmonec) begat (engendra) Booz (Booz) of (NULL) Rachab (Rachabganic) ; (.) and (Eta) Booz (Booz) begat (engendra) Obed (Obed) of (NULL) Ruth (Ruthganic) ; (.) and (Eta) Obed (Obed) begat (engendra) Jesse (Iesse) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (Eta) Jesse (Iessec) begat (engendra) David (Dauid) the (NULL) king (reguea) ; (.) and (Eta) David (Dauid) the (NULL) king (reguea) begat (engendra) Solomon (Salomon) of (NULL) her (ceçan) that (NULL) had (Vriasen) been (NULL) the (NULL) wife (emazte) of (NULL) Urias (içanaganic) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (Eta) Solomon (Salomonec) begat (engendra) Roboam (Roboam) ; (.) and (Eta) Roboam (Roboam) begat (engendra) Abia (Abia) ; (.) and (Eta) Abia (Abia) begat (engendra) Asa (Asa) ; (.) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (Eta) Asa (Asac) begat (engendra) Josaphat (Iosaphat) ; (.) and (Eta) Josaphat (Iosaphat) begat (engendra) Joram (Ioram) ; (.) and (Eta) Joram (Ioram) begat (engendra) Ozias (Ozias) ; (.) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (Eta) Ozias (Oziasec) begat (engendra) Joatham (Ioatham) ; (.) and (Eta) Joatham (Ioatham) begat (engendra) Achaz (Achaz) ; (.) and (Eta) Achaz (Achaz) begat (engendra) Ezekias (Ezechias) ; (.) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (Eta) Ezekias (Ezechiasec) begat (engendra) Manasses (Manasse) ; (.) and (Eta) Manasses (Manasse) begat (engendra) Amon (Amon) ; (.) and (Eta) Amon (Amon) begat (engendra) Josias (Iosias) ; (.) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (Eta) Josias (Iosiasec) begat (engendra) Jechonias (Iacim) and (eta) his (haren) brethren (anayeac) , (,) about (Iacimec) the (NULL) time (engrendra) they (ciradenean) were (NULL) carried (eraman) away (Iechonias) to (NULL) Babylon (Babylonerat) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (Eta) after (ondoan) they (ciraden) were (NULL) brought (eraman) to (NULL) Babylon (NULL) , (,) Jechonias (Iechoniasec) begat (engendra) Salathiel (Salathiel) ; (.) and (Eta) Salathiel (Salathiel) begat (engendra) Zorobabel (Zorobabel) ; (.) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (Eta) Zorobabel (Zorobabelec) begat (engendra) Abiud (Abiud) ; (.) and (Eta) Abiud (Abiud) begat (engendra) Eliakim (Eliacim) ; (.) and (Eta) Eliakim (Eliacim) begat (engendra) Azor (Azor) ; (.) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (Eta) Azor (Azorec) begat (engendra) Sadoc (Sadoc) ; (.) and (Eta) Sadoc (Sadoc) begat (engendra) Achim (Achim) ; (.) and (Eta) Achim (Achim) begat (engendra) Eliud (Eliud) ; (.) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (Eta) Eliud (Eliud) begat (engendra) Eleazar (Eleazar) ; (.) and (Eta) Eleazar (Eleazar) begat (engendra) Matthan (Mathan) ; (.) and (Eta) Matthan (Mathan) begat (engendra) Jacob (Iacob) ; (.) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (Eta) Jacob (Iacob) begat (engendra) Joseph (Ioseph) the (NULL) husband (senharra) of (NULL) Mary (Mariaren) , (,) of (NULL) whom (ceinaganic) was (içan) born (iayo) Jesus (Iesus) , (,) who (cein) is (baita) called (erraiten) Christ (Christ) . (.) "
