context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (̶) book (Ado) of (”) the (') generation (NULL) of (”) Jesus (Jesús) Christ (cõar) , (,) the (') son (NULL) of (”) David (David) , (,) the (') son (NULL) of (”) Abraham (Abraham) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (macu) Isaac (Isaac) ; (.) and (NULL) Isaac (Isaac) begat (macu) Jacob (Jacob) ; (.) and (NULL) Jacob (Jacob) begat (macu) Judas (NULL) and (NULL) his (i) brethren (bederã) ; (.) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (I) Judas (NULL) begat (NULL) Phares (Fares) and (to) Zara (a) of (ñamasiñuju) Thamar (Zara) ; (.) and (to) Phares (Fares) begat (NULL) Esrom (Esrom) ; (.) and (to) Esrom (Esrom) begat (NULL) Aram (Aram) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (macu) Aminadab (Aminadab) ; (.) and (NULL) Aminadab (Aminadab) begat (macu) Naasson (Naasón) ; (.) and (NULL) Naasson (Naasón) begat (macu) Salmon (Salmón) ; (.) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmón) begat (macu) Booz (Booz) of (ñamasiñuju) Rachab (jaco) ; (NULL) and (NULL) Booz (Booz) begat (macu) Obed (Obed) of (ñamasiñuju) Ruth (NULL) ; (NULL) and (NULL) Obed (Obed) begat (macu) Jesse (Isa) ; (NULL) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (I) Jesse (Isa) begat (macu) David (David) the (NULL) king (NULL) ; (.) and (NULL) David (David) the (NULL) king (NULL) begat (macu) Solomon (Salomón) of (̶) her (NULL) that (NULL) had (NULL) been (̃) the (NULL) wife (manajo) of (̶) Urias (Ur) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomón) begat (macu) Roboam (Roboam) ; (.) and (NULL) Roboam (Roboam) begat (macu) Abia (Ab) ; (.) and (NULL) Abia (Ab) begat (macu) Asa (Asa) ; (.) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (macu) Josaphat (Josafat) ; (.) and (NULL) Josaphat (Josafat) begat (macu) Joram (Joram) ; (.) and (NULL) Joram (Joram) begat (macu) Ozias (Uz) ; (.) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uz) begat (macu) Joatham (Jotam) ; (.) and (NULL) Joatham (Jotam) begat (macu) Achaz (Acaz) ; (.) and (NULL) Achaz (Acaz) begat (macu) Ezekias (Ezequ) ; (.) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Ezequ) begat (macu) Manasses (Manasés) ; (.) and (NULL) Manasses (Manasés) begat (macu) Amon (Amón) ; (.) and (NULL) Amon (Amón) begat (macu) Josias (Jos) ; (.) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Jos) begat (macu) Jechonias (Jecon) and (yicõari) his (i) brethren (bederã) , (bajiro) about (NULL) the (na) time (bajiñariju) they (NULL) were (̃) carried (juamasiñujarã) away (NULL) to (̃) Babylon (Babiloniana) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (NULL) after (NULL) they (NULL) were (na) brought (NULL) to (NULL) Babylon (NULL) , (Que) Jechonias (Jecon) begat (NULL) Salathiel (NULL) ; (.) and (macu) Salathiel (NULL) begat (NULL) Zorobabel (Zorobabel) ; (.) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zorobabel) begat (macu) Abiud (Abiud) ; (.) and (NULL) Abiud (Abiud) begat (macu) Eliakim (Eliaquim) ; (.) and (NULL) Eliakim (Eliaquim) begat (macu) Azor (Azor) ; (.) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Azor) begat (macu) Sadoc (Sadoc) ; (.) and (NULL) Sadoc (Sadoc) begat (macu) Achim (Aquim) ; (.) and (NULL) Achim (Aquim) begat (macu) Eliud (Eliud) ; (.) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Eliud) begat (macu) Eleazar (Eleazar) ; (.) and (NULL) Eleazar (Eleazar) begat (macu) Matthan (Matán) ; (.) and (NULL) Matthan (Matán) begat (macu) Jacob (Jacob) ; (.) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Jacob) begat (macu) Joseph (José) the (NULL) husband (manaju) of (NULL) Mary (Mar) , (NULL) of (NULL) whom (NULL) was (ñañuju) born (NULL) Jesus (Jesús) , (NULL) who (̃) is (NULL) called (̶) Christ (cõar) . (.) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) So (To) all (NULL) the (cõro) generations (ñamasiariaju) from (̶) Abraham (Abraham) to (̃) David (David) are (NULL) fourteen (babari) generations (ñamasiariaju) ; (.) and (To) from (̶) David (David) until (ri) the (cõro) carrying (aruji) away (vajama) into (̶) Babylon (ñamasiriajau) are (NULL) fourteen (babari) generations (ñamasiariaju) ; (.) and (To) from (̶) the (cõro) carrying (aruji) away (vajama) into (̶) Babylon (ñamasiriajau) unto (bajiro) Christ (mani) are (NULL) fourteen (babari) generations (ñamasiariaju) . (.) 
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (̶) the (NULL) birth (ñarocu) of (”) Jesus (Jesús) Christ (Rotimu) was (') on (NULL) this (:) wise (NULL) : (.) When (ado) as (NULL) his (NULL) mother (jaco) Mary (Mar) was (') espoused (ñaroco) to (̃) Joseph (José) , (NULL) before (joro) they (NULL) came (ejacõari) together (̃) , (NULL) she (so) was (') found (i) with (rãca) child (macu) of (”) the (NULL) Holy (NULL) Ghost (iritu) . (.) "
