context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (wuj) of (ri) the (tak) generation (ratiˈt) of (ri) Jesus (NULL) Christ (Jesucristo) , (.) the (tak) son (ralcˈual) of (ri) David (David) , (.) the (tak) son (ralcˈual) of (ri) Abraham (Abraham) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (xalcˈualan) Isaac (Isaac) ; (;) and (NULL) Isaac (Isaac) begat (xalcˈualan) Jacob (Jacob) ; (;) and (NULL) Jacob (Jacob) begat (xalcˈualan) Judas (Judá) and (NULL) his (NULL) brethren (rachˈalal) ; (;) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (Yacˈa) Judas (Judá) begat (Tamar) Phares (Fares) and (NULL) Zara (xecalcˈualaj) of (ri) Thamar (Zara) ; (;) and (NULL) Phares (Fares) begat (Tamar) Esrom (Esrom) ; (;) and (NULL) Esrom (Esrom) begat (Tamar) Aram (Aram) ; (;) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (Y) Aram (Aram) begat (xralcˈualaj) Aminadab (Aminadab) ; (;) and (NULL) Aminadab (Aminadab) begat (xralcˈualaj) Naasson (Naasón) ; (;) and (NULL) Naasson (Naasón) begat (xralcˈualaj) Salmon (Salmón) ; (;) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (Y) Salmon (Salmón) begat (NULL) Booz (Booz) of (ri) Rachab (xcalcˈualaj) ; (NULL) and (NULL) Booz (Booz) begat (NULL) Obed (Obed) of (ri) Ruth (Rut) ; (NULL) and (NULL) Obed (Obed) begat (NULL) Jesse (Isaí) ; (NULL) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (Y) Jesse (Isaí) begat (xralcˈualaj) David (David) the (ri) king (rey) ; (;) and (y) David (David) the (ri) king (rey) begat (xralcˈualaj) Solomon (Salomón) of (ri) her (NULL) that (ya) had (NULL) been (NULL) the (ri) wife (rixjayil) of (ri) Urias (Urías) ; (;) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (Yacˈa) Solomon (Salomón) begat (xralcˈualaj) Roboam (Roboam) ; (;) and (NULL) Roboam (Roboam) begat (xralcˈualaj) Abia (Abías) ; (;) and (NULL) Abia (Abías) begat (xralcˈualaj) Asa (Asa) ; (;) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (Y) Asa (Asa) begat (xralcˈualaj) Josaphat (Josafat) ; (;) and (NULL) Josaphat (Josafat) begat (xralcˈualaj) Joram (Joram) ; (;) and (NULL) Joram (Joram) begat (xralcˈualaj) Ozias (Uzías) ; (;) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (Y) Ozias (Uzías) begat (xralcˈualaj) Joatham (Jotam) ; (;) and (NULL) Joatham (Jotam) begat (xralcˈualaj) Achaz (Acaz) ; (;) and (NULL) Achaz (Acaz) begat (xralcˈualaj) Ezekias (Ezequías) ; (;) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (Y) Ezekias (Ezequías) begat (xralcˈualaj) Manasses (Manasés) ; (;) and (NULL) Manasses (Manasés) begat (xralcˈualaj) Amon (Amón) ; (;) and (NULL) Amon (Amón) begat (xralcˈualaj) Josias (Josías) ; (;) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (Y) Josias (Josías) begat (xralcˈualaj) Jechonias (Jeconías) and (y) his (NULL) brethren (rachˈalal) , (.) about (pa) the (ya) time (tiempo) they (ri) were (NULL) carried (xechapatej) away (el) to (NULL) Babylon (Babilonia) : (.) "
