context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (Jmáangˉ) Christ (Dseaˋ) , (NULL) the (NULL) son (NULL) of (NULL) David (Davíˈˆ) , (NULL) the (NULL) son (NULL) of (NULL) Abraham (Abraham) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (calɨsíˋ) Isaac (Isáaˊ) ; (NULL) and (jo) Isaac (Isáaˊ) begat (calɨsíˋ) Jacob (Jacóoˆ) ; (NULL) and (jo) Jacob (Jacóoˆ) begat (calɨsíˋ) Judas (NULL) and (jo) his (rúiñˈˋ) brethren (jaléngˈˋ) ; (NULL) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (Jo) Judas (NULL) begat (calɨsíˋ) Phares (Fares) and (guɨ) Zara (Zara) of (NULL) Thamar (Tamar) ; (.) and (guɨ) Phares (Fares) begat (calɨsíˋ) Esrom (Esrom) ; (.) and (guɨ) Esrom (Esrom) begat (calɨsíˋ) Aram (Aram) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (Jo) Aram (Aram) begat (calɨsíˋ) Aminadab (Aminadab) ; (NULL) and (jo) Aminadab (Aminadab) begat (calɨsíˋ) Naasson (Naasón) ; (NULL) and (jo) Naasson (Naasón) begat (calɨsíˋ) Salmon (Salmón) ; (NULL) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (Jo) Salmon (Salmón) begat (calɨsíˋ) Booz (Booz) of (NULL) Rachab (Rahab) ; (.) and (guɨ) Booz (Booz) begat (calɨsíˋ) Obed (Obed) of (NULL) Ruth (Rut) ; (.) and (guɨ) Obed (Obed) begat (calɨsíˋ) Jesse (Isaí) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (Jo) Jesse (Isaí) begat (calɨsíˋ) David (Davíˈˆ) the (NULL) king (NULL) ; (NULL) and (jo) David (Davíˈˆ) the (NULL) king (NULL) begat (calɨsíˋ) Solomon (Salomón) of (NULL) her (NULL) that (i) had (ngˉ) been (NULL) the (NULL) wife (dseamɨ) of (NULL) Urias (Urías) ; (NULL) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (Jo) Solomon (Salomón) begat (calɨsíˋ) Roboam (Roboam) ; (NULL) and (jo) Roboam (Roboam) begat (calɨsíˋ) Abia (Abías) ; (NULL) and (jo) Abia (Abías) begat (calɨsíˋ) Asa (Asa) ; (NULL) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (Jo) Asa (Asa) begat (calɨsíˋ) Josaphat (Josafat) ; (NULL) and (jo) Josaphat (Josafat) begat (calɨsíˋ) Joram (Joram) ; (NULL) and (jo) Joram (Joram) begat (calɨsíˋ) Ozias (Uzías) ; (NULL) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (Jo) Ozias (Uzías) begat (calɨsíˋ) Joatham (Jotam) ; (NULL) and (jo) Joatham (Jotam) begat (calɨsíˋ) Achaz (Acaz) ; (NULL) and (jo) Achaz (Acaz) begat (calɨsíˋ) Ezekias (Ezequías) ; (NULL) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (Jo) Ezekias (Ezequías) begat (calɨsíˋ) Manasses (Manasés) ; (NULL) and (jo) Manasses (Manasés) begat (calɨsíˋ) Amon (Amón) ; (NULL) and (jo) Amon (Amón) begat (calɨsíˋ) Josias (Josías) ; (NULL) 
