context,targ
"b.MAT.5.24 Leave there thy gift before the altar , and go thy way ; first be reconciled to thy brother , and then come and offer thy gift .","b.MAT.5.24 (b.MAT.5.24) Leave (остави) there (тоу) thy (твои) gift (даръ) before (прѣдъ) the (NULL) altar (олътаремъ) , (NULL) and (ꙇ) go (шедъ) thy (твои) way (NULL) ; (NULL) first (прѣжде) be (сѧ) reconciled (съмири) to (своимъ) thy (твои) brother (братромъ) , (NULL) and (ꙇ) then (тогда) come (пришедъ) and (ꙇ) offer (принеси) thy (твои) gift (даръ) . (NULL) "
"b.MAT.5.25 Agree with thine adversary quickly , whiles thou art in the way with him ; lest at any time the adversary deliver thee to the judge , and the judge deliver thee to the officer , and thou be cast into prison .","b.MAT.5.25 (b.MAT.5.25) Agree (Бѫди) with (съ) thine (NULL) adversary (сѫпьремь) quickly (скоро) , (NULL) whiles (своимь) thou (NULL) art (еси) in (на) the (NULL) way (пѫти) with (съ) him (нимь) ; (NULL) lest (да) at (NULL) any (не) time (NULL) the (NULL) adversary (сѫпьремь) deliver (прѣдастъ) thee (тебе) to (NULL) the (NULL) judge (сѫдии) , (NULL) and (ꙇ) the (NULL) judge (сѫдии) deliver (прѣдастъ) thee (тебе) to (NULL) the (NULL) officer (слоуѕѣ) , (NULL) and (ꙇ) thou (NULL) be (NULL) cast (въвръжетъ) into (въ) prison (темьницѫ) . (NULL) "
"b.MAT.5.26 Verily I say unto thee , Thou shalt by no means come out thence , till thou hast paid the uttermost farthing .","b.MAT.5.26 (b.MAT.5.26) Verily (аминь) I (NULL) say (лѭ) unto (҃) thee (тебѣ) , (NULL) Thou (NULL) shalt (въздаси) by (NULL) no (не) means (изидеши) come (NULL) out (отъ) thence (тѫдѣ) , (NULL) till (доньдеже) thou (NULL) hast (NULL) paid (NULL) the (NULL) uttermost (NULL) farthing (кодрантъ) . (NULL) "
"b.MAT.5.27 Ye have heard that it was said by them of old time , Thou shalt not commit adultery :","b.MAT.5.27 (b.MAT.5.27) Ye (Слꙑшасте) have (NULL) heard (речено) that (ѣко) it (бꙑ) was (NULL) said (NULL) by (NULL) them (NULL) of (҇) old (древънимъ) time (NULL) , (NULL) Thou (NULL) shalt (NULL) not (не) commit (сътвориши) adultery (прѣлюбꙑ) : (NULL) "
"b.MAT.5.28 But I say unto you , That whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart .","b.MAT.5.28 (b.MAT.5.28) But (же) I (азъ) say (лѭ) unto (҃) you (вамъ) , (NULL) That (ѣко) whosoever (вьсѣкъ) looketh (вьзьритъ) on (на) a (NULL) woman (женѫ) to (NULL) lust (похотиѭ) after (NULL) her (NULL) hath (сътвори) committed (любꙑ) adultery (NULL) with (съ) her (NULL) already (юже) in (въ) his (своемь) heart (рдци) . (NULL) "
"b.MAT.5.29 And if thy right eye offend thee , pluck it out , and cast it from thee : for it is profitable for thee that one of thy members should perish , and not that thy whole body should be cast into hell .","b.MAT.5.29 (b.MAT.5.29) And (же) if (аще) thy (твое) right (десное) eye (око) offend (съблажнаатъ) thee (тѧ) , (NULL) pluck (ꙇзьми) it (е) out (NULL) , (NULL) and (и) cast (връзи) it (е) from (отъ) thee (тѧ) : (NULL) for (NULL) it (е) is (естъ) profitable (оунѣе) for (NULL) thee (тѧ) that (NULL) one (единъ) of (NULL) thy (твое) members (оудъ) should (да) perish (погꙑблетъ) , (NULL) and (и) not (не) that (NULL) thy (твое) whole (вьсе) body (тѣло) should (да) be (бѫдетъ) cast (връзи) into (въ) hell (ꙉеонѫ) . (NULL) "
"b.MAT.5.30 And if thy right hand offend thee , cut if off , and cast it from thee : for it is profitable for thee that one of thy members should perish , and not that thy whole body should be cast into hell .","b.MAT.5.30 (b.MAT.5.30) And (ꙇ) if (аште) thy (твоѣ) right (десна) hand (рѫка) offend (съблажнаатъ) thee (тѧ) , (NULL) cut (оусѣци) if (аште) off (NULL) , (NULL) and (и) cast (връзи) it (ѭ) from (отъ) thee (тѧ) : (NULL) for (NULL) it (ѭ) is (естъ) profitable (оунѣе) for (NULL) thee (тѧ) that (NULL) one (единъ) of (NULL) thy (твоѣ) members (оудъ) should (да) perish (погꙑблетъ) , (NULL) and (и) not (не) that (NULL) thy (твоѣ) whole (вьсе) body (тѣло) should (да) be (NULL) cast (връзи) into (въ) hell (ꙉеонѫ) . (NULL) "
"b.MAT.5.31 It hath been said , Whosoever shall put away his wife , let him give her a writing of divorcement :","b.MAT.5.31 (b.MAT.5.31) It (речено) hath (NULL) been (NULL) said (же) , (NULL) Whosoever (ꙇже) shall (аште) put (поуститъ) away (NULL) his (своѭ) wife (женѫ) , (NULL) let (да) him (NULL) give (дастъ) her (еи) a (NULL) writing (кънигꙑ) of (NULL) divorcement (распоустънꙑѩ) : (NULL) "
"b.MAT.5.32 But I say unto you , That whosoever shall put away his wife , saving for the cause of fornication , causeth her to commit adultery : and whosoever shall marry her that is divorced committeth adultery .","b.MAT.5.32 (b.MAT.5.32) But (же) I (азъ) say (лѭ) unto (҃) you (вамъ) , (NULL) That (ѣко) whosoever (вьсѣкъ) shall (NULL) put (поуштаѩи) away (NULL) his (своѭ) wife (женѫ) , (NULL) saving (развѣ) for (NULL) the (NULL) cause (любодѣинааго) of (NULL) fornication (словесе) , (NULL) causeth (творитъ) her (ѭ) to (NULL) commit (дѣати) adultery (NULL) : (NULL) and (ꙇ) whosoever (вьсѣкъ) shall (NULL) marry (подъпѣгѫ) her (ѭ) that (NULL) is (NULL) divorced (поемлетъ) committeth (творитъ) adultery (NULL) . (NULL) "
"b.MAT.5.33 Again , ye have heard that it hath been said by them of old time , Thou shalt not forswear thyself , but shalt perform unto the Lord thine oaths :","b.MAT.5.33 (b.MAT.5.33) Again (пакꙑ) , (NULL) ye (NULL) have (слꙑшасте) heard (NULL) that (ѣко) it (бꙑ) hath (ⷭ) been (речено) said (NULL) by (NULL) them (древьниимъ) of (҇) old (NULL) time (NULL) , (NULL) Thou (NULL) shalt (NULL) not (не) forswear (лъжѫ) thyself (клънеши) , (NULL) but (же) shalt (NULL) perform (въздаси) unto (҃) the (NULL) Lord (ви) thine (твоѩ) oaths (клѧтвꙑ) : (NULL) "
"b.MAT.5.34 But I say unto you , Swear not at all ; neither by heaven ; for it is God ' s throne :","b.MAT.5.34 (b.MAT.5.34) But (же) I (азъ) say (лѭ) unto (҃) you (вамъ) , (NULL) Swear (клѧти) not (не) at (сѧ) all (NULL) ; (NULL) neither (ни) by (отънѫдъ) heaven (н) ; (NULL) for (ѣко) it (NULL) is (естъ) God (б) ' (NULL) s (бмь) throne (прѣстолъ) : (NULL) "
b.MAT.5.35 Nor by the earth ; for it is his footstool : neither by Jerusalem ; for it is the city of the great King .,b.MAT.5.35 (b.MAT.5.35) Nor (ни) by (҄) the (NULL) earth (землеѭ) ; (NULL) for (ѣко) it (NULL) is (естъ) his (его) footstool (подъножие) : (NULL) neither (ни) by (҄) Jerusalem (ерслмъмъ) ; (NULL) for (ѣко) it (NULL) is (естъ) the (NULL) city (дъ) of (҇) the (NULL) great (великааго) King (срѣ) . (NULL) 
"b.MAT.5.36 Neither shalt thou swear by thy head , because thou canst not make one hair white or black .","b.MAT.5.36 (b.MAT.5.36) Neither (ни) shalt (главоѭ) thou (NULL) swear (клъни) by (NULL) thy (своеѭ) head (NULL) , (NULL) because (ѣко) thou (NULL) canst (можеши) not (не) make (власа) one (единого) hair (бѣла) white (NULL) or (ли) black (чръна) . (NULL) "
"b.MAT.5.37 But let your communication be , Yea , yea ; Nay , nay : for whatsoever is more than these cometh of evil .","b.MAT.5.37 (b.MAT.5.37) But (же) let (NULL) your (ваше) communication (слово) be (бѫди) , (NULL) Yea (еи) , (NULL) yea (ей) ; (NULL) Nay (ни) , (NULL) nay (лихое) : (NULL) for (бо) whatsoever (сеѭ) is (естъ) more (NULL) than (NULL) these (NULL) cometh (NULL) of (отъ) evil (неприѣзни) . (NULL) "
"b.MAT.5.38 Ye have heard that it hath been said , An eye for an eye , and a tooth for a tooth :","b.MAT.5.38 (b.MAT.5.38) Ye (Слꙑшасте) have (ѣко) heard (речено) that (NULL) it (бꙑ) hath (ⷭ) been (NULL) said (NULL) , (NULL) An (҇) eye (око) for (за) an (NULL) eye (око) , (NULL) and (и) a (NULL) tooth (зѫбъ) for (за) a (NULL) tooth (зѫбъ) : (NULL) "
"b.MAT.5.39 But I say unto you , That ye resist not evil : but whosoever shall smite thee on thy right cheek , turn to him the other also .","b.MAT.5.39 (b.MAT.5.39) But (же) I (азъ) say (лѭ) unto (҃) you (вамъ) , (NULL) That (NULL) ye (NULL) resist (противити) not (не) evil (зълоу) : (NULL) but (NULL) whosoever (Нъ) shall (аще) smite (оударитъ) thee (тѧ) on (въ) thy (NULL) right (деснѫѭ) cheek (ланитѫ) , (NULL) turn (обрати) to (NULL) him (емоу) the (NULL) other (дроугѫѭ) also (и) . (NULL) "
"b.MAT.5.40 And if any man will sue thee at the law , and take away thy coat , let him have thy cloke also .","b.MAT.5.40 (b.MAT.5.40) And (ꙇ) if (NULL) any (хотѧщоумоу) man (NULL) will (NULL) sue (приѩти) thee (тобоѭ) at (ризѫ) the (NULL) law (NULL) , (NULL) and (и) take (възѧти) away (отъпоусти) thy (твоѭ) coat (NULL) , (NULL) let (NULL) him (емоу) have (NULL) thy (твоѭ) cloke (срачицѫ) also (и) . (NULL) "
