context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (äyëí) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (Jesucristo) Christ (NULL) , (:) the (NULL) son (yäbei) of (NULL) David (David) , (:) the (NULL) son (yäbei) of (NULL) Abraham (Abraham) . (,) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (wätsikiwa) Isaac (Isaac) ; (,) and (te) Isaac (Isaac) begat (wätsikiwa) Jacob (Jacob) ; (,) and (te) Jacob (Jacob) begat (wätsikiwa) Judas (NULL) and (te) his (NULL) brethren (iel) ; (,) "
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (NULL) begat (wätsikiwa) Phares (Fares) and (irä) Zara (Tamar) of (NULL) Thamar (Zara) ; (.) and (irä) Phares (Fares) begat (wätsikiwa) Esrom (Esrom) ; (.) and (irä) Esrom (Esrom) begat (wätsikiwa) Aram (Aram) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,"b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (wätsikiwa) Aminadab (Aminadab) ; (,) and (te) Aminadab (Aminadab) begat (wätsikiwa) Naasson (Naasón) ; (,) and (te) Naasson (Naasón) begat (wätsikiwa) Salmon (Salmón) ; (,) "
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmón) begat (wätsikiwa) Booz (Booz) of (NULL) Rachab (Rahab) ; (.) and (te) Booz (Booz) begat (wätsikiwa) Obed (Obed) of (NULL) Ruth (da) ; (.) and (te) Obed (Obed) begat (wätsikiwa) Jesse (Isaí) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,"b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isaí) begat (wätsikiwa) David (David) the (NULL) king (tsa) ; (.) and (,) David (David) the (NULL) king (tsa) begat (wätsikiwa) Solomon (Salomón) of (NULL) her (NULL) that (̱) had (NULL) been (ra) the (NULL) wife (alaklä) of (NULL) Urias (Urías) ; (.) "
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,"b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomón) begat (wätsikiwa) Roboam (Roboam) ; (,) and (te) Roboam (Roboam) begat (wätsikiwa) Abia (Abías) ; (,) and (te) Abia (Abías) begat (wätsikiwa) Asa (Asa) ; (,) "
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,"b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (wätsikiwa) Josaphat (Josafat) ; (,) and (te) Josaphat (Josafat) begat (wätsikiwa) Joram (Joram) ; (,) and (te) Joram (Joram) begat (wätsikiwa) Ozias (Uzías) ; (,) "
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,"b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzías) begat (wätsikiwa) Joatham (Jotam) ; (,) and (te) Joatham (Jotam) begat (wätsikiwa) Achaz (Acaz) ; (,) and (te) Achaz (Acaz) begat (wätsikiwa) Ezekias (Ezequías) ; (,) "
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,"b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Ezequías) begat (wätsikiwa) Manasses (Manasés) ; (,) and (te) Manasses (Manasés) begat (wätsikiwa) Amon (Amón) ; (,) and (te) Amon (Amón) begat (wätsikiwa) Josias (Josías) ; (,) "
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Josías) begat (wätsikiwa) Jechonias (Jeconías) and (irä) his (NULL) brethren (iel) , (,) about (NULL) the (ska) time (i) they (NULL) were (NULL) carried (jalemi) away (NULL) to (ska) Babylon (Babilonia) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (Ijalemi) after (ukä) they (NULL) were (NULL) brought (NULL) to (ska) Babylon (Babilonia) , (te) Jechonias (Jeconías) begat (wätsikiwa) Salathiel (Salatiel) ; (.) and (te) Salathiel (Salatiel) begat (wätsikiwa) Zorobabel (Zorobabel) ; (.) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,"b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zorobabel) begat (wätsikiwa) Abiud (Abiud) ; (,) and (te) Abiud (Abiud) begat (wätsikiwa) Eliakim (Eliaquim) ; (,) and (te) Eliakim (Eliaquim) begat (wätsikiwa) Azor (Azor) ; (,) "
