context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (ivajiropee) of (NULL) the (NULL) generation (icharinepeeni) of (NULL) Jesus (NULL) Christ (Jesoquirishito) , (.) the (NULL) son (ishanincani) of (NULL) David (Iravirini) , (.) the (NULL) son (ishanincani) of (NULL) Abraham (Avaramani) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Avarama) begat (Iri) Isaac (Isaca) ; (.) and (NULL) Isaac (Isaca) begat (Iri) Jacob (Jacovo) ; (.) and (NULL) Jacob (Jacovo) begat (Iri) Judas (Jora) and (NULL) his (NULL) brethren (irirentipee) ; (.) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Jora) begat (Iri) Phares (Jareshi) and (aisati) Zara (Sara) of (NULL) Thamar (irinironi) ; (.) and (aisati) Phares (Jareshi) begat (Iri) Esrom (Eshiromo) ; (.) and (aisati) Esrom (Eshiromo) begat (Iri) Aram (Arama) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Arama) begat (Iri) Aminadab (Aminarava) ; (.) and (NULL) Aminadab (Aminarava) begat (Iri) Naasson (Naso) ; (.) and (NULL) Naasson (Naso) begat (Iri) Salmon (Saramo) ; (.) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Saramo) begat (Iri) Booz (irinironi) of (NULL) Rachab (Voso) ; (.) and (NULL) Booz (irinironi) begat (Iri) Obed (Overe) of (NULL) Ruth (Oroto) ; (.) and (NULL) Obed (Overe) begat (Iri) Jesse (Jese) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,"b.MAT.1.6 (b.MAT.1.6) And (Ari) Jesse (Jese) begat (Iri) David (Iraviri) the (yora) king (pincatsaritatsiri) ; (.) and (,) David (Iraviri) the (yora) king (pincatsaritatsiri) begat (Iri) Solomon (Saromo) of (NULL) her (Oriashi) that (NULL) had (NULL) been (NULL) the (yora) wife (shirampari) of (NULL) Urias (yaaveitaniri) ; (.) "
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Saromo) begat (Iri) Roboam (Orovoama) ; (.) and (NULL) Roboam (Orovoama) begat (Iri) Abia (Aviashi) ; (.) and (NULL) Abia (Aviashi) begat (Iri) Asa (Asa) ; (.) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (Iri) Josaphat (Josavata) ; (.) and (NULL) Josaphat (Josavata) begat (Iri) Joram (Jorama) ; (.) and (NULL) Joram (Jorama) begat (Iri) Ozias (Oshiashi) ; (.) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Oshiashi) begat (Iri) Joatham (Joatama) ; (.) and (NULL) Joatham (Joatama) begat (Iri) Achaz (Acasa) ; (.) and (NULL) Achaz (Acasa) begat (Iri) Ezekias (Eshequiashi) ; (.) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Eshequiashi) begat (Iri) Manasses (Manasheshi) ; (.) and (NULL) Manasses (Manasheshi) begat (Iri) Amon (Amo) ; (.) and (NULL) Amon (Amo) begat (Iri) Josias (Joshiashi) ; (.) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (Ari) Josias (Joshiashi) begat (Iri) Jechonias (Jeconiashi) and (aisati) his (NULL) brethren (irirentipee) , (.) about (icarajeiti) the (NULL) time (NULL) they (NULL) were (,) carried (Itimantari) away (NULL) to (NULL) Babylon (inampiqui) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (Impoiji) after (NULL) they (NULL) were (NULL) brought (NULL) to (NULL) Babylon (NULL) , (NULL) Jechonias (Jeconiashi) begat (itomi) Salathiel (Saratiyeri) ; (.) and (NULL) Salathiel (Saratiyeri) begat (itomi) Zorobabel (Sorovaveri) ; (.) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Sorovaveri) begat (Iri) Abiud (Aviori) ; (.) and (NULL) Abiud (Aviori) begat (Iri) Eliakim (Eriaquimi) ; (.) and (NULL) Eliakim (Eriaquimi) begat (Iri) Azor (Asoro) ; (.) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Asoro) begat (Iri) Sadoc (Saroco) ; (.) and (NULL) Sadoc (Saroco) begat (Iri) Achim (Aquimi) ; (.) and (NULL) Achim (Aquimi) begat (Iri) Eliud (Erioro) ; (.) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Erioro) begat (Iri) Eleazar (Erisara) ; (.) and (NULL) Eleazar (Erisara) begat (Iri) Matthan (Mata) ; (.) and (NULL) Matthan (Mata) begat (Iri) Jacob (Jacovo) ; (.) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Jacovo) begat (Iri) Joseph (Jose) the (NULL) husband (ojimetsori) of (NULL) Mary (Maria) , (,) of (NULL) whom (.) was (.) born (Ipajitiri) Jesus (Jesoshi) , (,) who (NULL) is (NULL) called (NULL) Christ (Quirishito) . (.) "
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (Meeca) the (NULL) birth (itimantacari) of (peerani) Jesus (Jesoshi) Christ (NULL) was (NULL) on (.) this (.) wise (NULL) : (NULL) When (Isareacaro) as (tequera) his (,) mother (opajita) Mary (Maria) was (NULL) espoused (ijinatsori) to (NULL) Joseph (Jose) , (NULL) before (irayero) they (NULL) came (NULL) together (NULL) , (NULL) she (otsomontetaque) was (NULL) found (NULL) with (NULL) child (otasoncaquero) of (peerani) the (NULL) Holy (Ishire) Ghost (Tasorentsi) . (.) "
"b.MAT.1.19 Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) Then (NULL) Joseph (Jose) her (NULL) husband (tsinane) , (:) being (NULL) a (,) just (iquenqueshireaca) man (NULL) , (:) and (NULL) not (Te) willing (Timatsiata) to (icoaque) make (') her (NULL) a (,) publick (iroashiventayero) example (iquenqueshiretanaca) , (:) was (.) minded (nocamantajeitiritsi) to (icoaque) put (NULL) her (NULL) away (,) privily (ishirontimentarocari) . (.) "
"b.MAT.1.20 But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost .","b.MAT.1.20 (b.MAT.1.20) But (NULL) while (NULL) he (NULL) thought (iquenqueshiretanaqueri) on (.) these (NULL) things (NULL) , (NULL) behold (imapocantacari) , (NULL) the (NULL) angel (inampire) of (NULL) the (NULL) Lord (NULL) appeared (NULL) unto (NULL) him (NULL) in (NULL) a (,) dream (ineamainetaqueri) , (NULL) saying (:) , (NULL) Joseph (Jose) , (NULL) thou (aviro) son (ishanincani) of (NULL) David (Iravirini) , (NULL) fear (NULL) not (eiro) to (NULL) take (piquenqueshireatsi) unto (NULL) thee (NULL) Mary (onee) thy (NULL) wife (pijinatsori) : (.) for (Tasorentsi) that (NULL) which (.) is (Iro) conceived (otsomontetantacari) in (NULL) her (NULL) is (Iro) of (NULL) the (NULL) Holy (Ishire) Ghost (NULL) . (.) "
"b.MAT.1.21 And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) And (NULL) she (otomi) shall (NULL) bring (NULL) forth (NULL) a (,) son (NULL) , (NULL) and (NULL) thou (.) shalt (NULL) call (NULL) his (NULL) name (Jesoshi) JESUS (pimpajiteri) : (NULL) for (Iro) he (NULL) shall (NULL) save (pimpajitanteariri) his (NULL) people (Jesoshi) from (NULL) their (NULL) sins (cameetsatatsi) . (NULL) "
