context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (Awarek) of (e) the (de) generation (dhienh) of (e) Jesus (Yecu) Christ (Kritho) , (,) the (de) son (dhieeth) of (e) David (Dabid) , (,) the (de) son (dhieeth) of (e) Abraham (Abraɣam) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraɣam) begat (dhieeth) Isaac (Yithak) ; (;) and (ku) Isaac (Yithak) begat (dhieeth) Jacob (Jakop) ; (;) and (ku) Jacob (Jakop) begat (dhieeth) Judas (Juda) and (ku) his (NULL) brethren (wɛɛtwuun) ; (;) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (ku) Judas (Juda) begat (dhieth) Phares (Peredh) and (ku) Zara (Dhera) of (e) Thamar (Tamar) ; (;) and (ku) Phares (Peredh) begat (dhieth) Esrom (Kedhron) ; (;) and (ku) Esrom (Kedhron) begat (dhieth) Aram (Aram) ; (;) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (ku) Aram (Aram) begat (dhieth) Aminadab (Aminadab) ; (;) and (ku) Aminadab (Aminadab) begat (dhieth) Naasson (Nacon) ; (;) and (ku) Naasson (Nacon) begat (dhieth) Salmon (Thalmon) ; (;) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (ku) Salmon (Thalmon) begat (dhieth) Booz (Boadh) of (NULL) Rachab (Rakab) ; (;) and (ku) Booz (Boadh) begat (dhieth) Obed (Obed) of (NULL) Ruth (Ruth) ; (;) and (ku) Obed (Obed) begat (dhieth) Jesse (Jethe) ; (;) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (ku) Jesse (Jethe) begat (dhieth) David (Dabid) the (NULL) king (malik) ; (.) and (Ku) David (Dabid) the (NULL) king (malik) begat (dhieth) Solomon (Tholomon) of (ne) her (tiiŋ) that (waan) had (kɔn) been (ci) the (NULL) wife (tiiŋ) of (ne) Urias (Uria) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (ku) Solomon (Tholomon) begat (dhieth) Roboam (Rekoboam) ; (;) and (ku) Roboam (Rekoboam) begat (dhieth) Abia (Abija) ; (;) and (ku) Abia (Abija) begat (dhieth) Asa (Atha) ; (;) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (ku) Asa (Atha) begat (dhieth) Josaphat (Jekocapat) ; (;) and (ku) Josaphat (Jekocapat) begat (dhieth) Joram (Joram) ; (;) and (ku) Joram (Joram) begat (dhieth) Ozias (Udhia) ; (;) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (ku) Ozias (Udhia) begat (dhieth) Joatham (Jotham) ; (;) and (ku) Joatham (Jotham) begat (dhieth) Achaz (Akadh) ; (;) and (ku) Achaz (Akadh) begat (dhieth) Ezekias (Kedhekia) ; (;) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (ku) Ezekias (Kedhekia) begat (dhieth) Manasses (Manathe) ; (;) and (ku) Manasses (Manathe) begat (dhieth) Amon (Amon) ; (;) and (ku) Amon (Amon) begat (dhieth) Josias (Jothia) ; (;) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (ku) Josias (Jothia) begat (dhieth) Jechonias (Jekonia) and (ku) his (NULL) brethren (wɛɛtwuun) , (,) about (cit) the (e) time (run) they (kɔc) were (NULL) carried (jɔte) away (leereke) to (NULL) Babylon (Babulon) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (Na) after (NULL) they (NULL) were (aci) brought (NULL) to (NULL) Babylon (Babulon) , (,) Jechonias (Jekonia) begat (dhieth) Salathiel (Calathiel) ; (;) and (ku) Salathiel (Calathiel) begat (dhieth) Zorobabel (Dhorobabel) ; (;) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (ku) Zorobabel (Dhorobabel) begat (dhieth) Abiud (Abiud) ; (;) and (ku) Abiud (Abiud) begat (dhieth) Eliakim (Eliakim) ; (;) and (ku) Eliakim (Eliakim) begat (dhieth) Azor (Adhor) ; (;) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (ku) Azor (Adhor) begat (dhieth) Sadoc (Thadok) ; (;) and (ku) Sadoc (Thadok) begat (dhieth) Achim (Acim) ; (;) and (ku) Achim (Acim) begat (dhieth) Eliud (Eliud) ; (;) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (ku) Eliud (Eliud) begat (dhieth) Eleazar (Eleadhar) ; (;) and (ku) Eleazar (Eleadhar) begat (dhieth) Matthan (Mathan) ; (;) and (ku) Matthan (Mathan) begat (dhieth) Jacob (Jakop) ; (;) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (ku) Jacob (Jakop) begat (dhieth) Joseph (Jothep) the (NULL) husband (mony) of (e) Mary (Mari) , (,) of (e) whom (waan) was (NULL) born (dhieth) Jesus (Yecu) , (,) who (NULL) is (NULL) called (cɔl) Christ (Kritho) . (.) "
