context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (lae) generation (dzidzime) of (NULL) Jesus (Yesu) Christ (Kristo) , (esi) the (lae) son (NULL) of (NULL) David (David) , (esi) the (lae) son (NULL) of (NULL) Abraham (Abraham) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (dzi) Isaac (Isak) ; (NULL) and (,) Isaac (Isak) begat (dzi) Jacob (Yakɔb) ; (NULL) and (,) Jacob (Yakɔb) begat (dzi) Judas (Yuda) and (,) his (NULL) brethren (nɔviawo) ; (NULL) "
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,"b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Yuda) begat (dzi) Phares (Perez) and (kple) Zara (Zera) of (NULL) Thamar (Temar) ; (,) and (kple) Phares (Perez) begat (dzi) Esrom (Hezrɔn) ; (,) and (kple) Esrom (Hezrɔn) begat (dzi) Aram (Ram) ; (,) "
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,"b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Ram) begat (dzi) Aminadab (Aminadab) ; (NULL) and (,) Aminadab (Aminadab) begat (dzi) Naasson (Nahesɔn) ; (NULL) and (,) Naasson (Nahesɔn) begat (dzi) Salmon (Salmo) ; (NULL) "
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmo) begat (dzi) Booz (Boaz) of (nye) Rachab (Rahab) ; (.) and (NULL) Booz (Boaz) begat (dzi) Obed (Obed) of (nye) Ruth (Rut) ; (.) and (NULL) Obed (Obed) begat (dzi) Jesse (Yese) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,"b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Yese) begat (dzi) David (David) the (dzi) king (Fia) ; (,) and (,) David (David) the (dzi) king (Fia) begat (dzi) Solomon (Salomo) of (NULL) her (NULL) that (ame) had (NULL) been (NULL) the (dzi) wife (srɔ) of (NULL) Urias (Uria) ; (,) "
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,"b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomo) begat (dzi) Roboam (Rehoboam) ; (NULL) and (,) Roboam (Rehoboam) begat (dzi) Abia (Abiya) ; (NULL) and (,) Abia (Abiya) begat (dzi) Asa (Asa) ; (NULL) "
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,"b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (dzi) Josaphat (Yehosafat) ; (NULL) and (,) Josaphat (Yehosafat) begat (dzi) Joram (Yoram) ; (NULL) and (,) Joram (Yoram) begat (dzi) Ozias (Uzia) ; (NULL) "
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,"b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzia) begat (dzi) Joatham (Yotam) ; (NULL) and (,) Joatham (Yotam) begat (dzi) Achaz (Ahaz) ; (NULL) and (,) Achaz (Ahaz) begat (dzi) Ezekias (Hezekia) ; (NULL) "
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,"b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Hezekia) begat (dzi) Manasses (Manase) ; (NULL) and (,) Manasses (Manase) begat (dzi) Amon (Amɔn) ; (NULL) and (,) Amon (Amɔn) begat (dzi) Josias (Yosia) ; (NULL) "
