context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (sihino) the (Awi) generation (NULL) of (sihino) Jesus (Yesus) Christ (Kristus) , (,) the (Awi) son (NULL) of (sihino) David (Daud) , (,) the (Awi) son (NULL) of (sihino) Abraham (Abraham) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (yanau) Isaac (Ishak) ; (,) and (NULL) Isaac (Ishak) begat (yanau) Jacob (Yakub) ; (,) and (NULL) Jacob (Yakub) begat (yanau) Judas (Yehuda) and (NULL) his (awi) brethren (gianongoru) ; (,) "
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,"b.MAT.1.3 (b.MAT.1.3) And (O) Judas (Yehuda) begat (yanau) Phares (Peres) and (de) Zara (Tamar) of (ena) Thamar (peqeka) ; (,) and (de) Phares (Peres) begat (yanau) Esrom (NULL) ; (,) and (de) Esrom (NULL) begat (yanau) Aram (Ram) ; (,) "
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,"b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Ram) begat (yanau) Aminadab (Abinadab) ; (,) and (NULL) Aminadab (Abinadab) begat (yanau) Naasson (NULL) ; (,) and (NULL) Naasson (NULL) begat (yanau) Salmon (Salmon) ; (,) "
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (O) Salmon (Salmon) begat (yanau) Booz (Boas) of (o) Rachab (ongo) ; (NULL) and (de) Booz (Boas) begat (yanau) Obed (Obed) of (o) Ruth (Rut) ; (NULL) and (de) Obed (Obed) begat (yanau) Jesse (Isai) ; (NULL) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (So) Jesse (Isai) begat (yanau) David (Daud) the (o) king (Kolano) ; (.) and (de) David (Daud) the (o) king (Kolano) begat (yanau) Solomon (Salomo) of (ena) her (NULL) that (gena) had (NULL) been (NULL) the (o) wife (balo) of (ena) Urias (Uria) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomo) begat (yanau) Roboam (NULL) ; (NULL) and (NULL) Roboam (NULL) begat (yanau) Abia (Abia) ; (NULL) and (NULL) Abia (Abia) begat (yanau) Asa (Asa) ; (NULL) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,"b.MAT.1.8 (b.MAT.1.8) And (De) Asa (Asa) begat (yanau) Josaphat (Yosafat) ; (,) and (NULL) Josaphat (Yosafat) begat (yanau) Joram (NULL) ; (,) and (NULL) Joram (NULL) begat (yanau) Ozias (Uzia) ; (,) "
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,"b.MAT.1.9 (b.MAT.1.9) And (De) Ozias (Uzia) begat (yanau) Joatham (Yotam) ; (,) and (NULL) Joatham (Yotam) begat (yanau) Achaz (NULL) ; (,) and (NULL) Achaz (NULL) begat (yanau) Ezekias (Hizkia) ; (,) "
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,"b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Hizkia) begat (yanau) Manasses (Manasye) ; (,) and (NULL) Manasses (Manasye) begat (yanau) Amon (NULL) ; (,) and (NULL) Amon (NULL) begat (yanau) Josias (Yosia) ; (,) "
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Yosia) begat (yanau) Jechonias (Yekhonya) and (de) his (awi) brethren (gianongoru) , (,) about (NULL) the (ma) time (orasi) they (nyawa) were (o) carried (NULL) away (NULL) to (NULL) Babylon (Babel) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (So) after (o) they (NULL) were (NULL) brought (NULL) to (NULL) Babylon (Babel) , (,) Jechonias (Yekhonya) begat (yanau) Salathiel (NULL) ; (NULL) and (NULL) Salathiel (NULL) begat (yanau) Zorobabel (Zerubabel) ; (NULL) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,"b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zerubabel) begat (yanau) Abiud (Abihud) ; (,) and (NULL) Abiud (Abihud) begat (yanau) Eliakim (NULL) ; (,) and (NULL) Eliakim (NULL) begat (yanau) Azor (Azor) ; (,) "
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Azor) begat (yanau) Sadoc (NULL) ; (NULL) and (de) Sadoc (NULL) begat (yanau) Achim (NULL) ; (NULL) and (de) Achim (NULL) begat (yanau) Eliud (Eliud) ; (NULL) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Eliud) begat (yanau) Eleazar (NULL) ; (NULL) and (de) Eleazar (NULL) begat (yanau) Matthan (NULL) ; (NULL) and (de) Matthan (NULL) begat (yanau) Jacob (Yakub) ; (NULL) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (Kagena) Jacob (Yakub) begat (yanau) Joseph (Yusuf) the (ma) husband (roka) of (NULL) Mary (Maria) , (,) of (NULL) whom (NULL) was (magena) born (mowisibubuo) Jesus (Yesus) , (,) who (NULL) is (NULL) called (o) Christ (Salamati) . (.) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,"b.MAT.1.17 (b.MAT.1.17) So (So) all (NULL) the (manga) generations (paeto) from (o) Abraham (Abrahamka) to (NULL) David (Daudka) are (kanaga) fourteen (NULL) generations (paeto) ; (.) and (lo) from (o) David (Daudka) until (sidago) the (manga) carrying (yaruha) away (de) into (tonaka) Babylon (Babel) are (kanaga) fourteen (NULL) generations (paeto) ; (.) and (lo) from (o) the (manga) carrying (yaruha) away (de) into (tonaka) Babylon (Babel) unto (,) Christ (Salamati) are (kanaga) fourteen (NULL) generations (paeto) . (.) "
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (O) the (Awi) birth (sibuo) of (NULL) Jesus (Yesus) Christ (Kristus) was (NULL) on (ma) this (komanena) wise (NULL) : (Ngaroko) When (Ma) as (NULL) his (NULL) mother (awa) Mary (Maria) was (NULL) espoused (moroheka) to (NULL) Joseph (Yusuf) , (.) before (waasi) they (ona) came (NULL) together (NULL) , (.) she (muna) was (NULL) found (moroheka) with (de) child (imakiidu) of (NULL) the (Awi) Holy (Qatetebi) Ghost (Gurumi) . (.) "
"b.MAT.1.19 Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) Then (NULL) Joseph (Yusuf) her (NULL) husband (bobai) , (Komagena) being (o) a (o) just (itiai) man (nyawa) , (Komagena) and (NULL) not (upa) willing (womisimaqe) to (NULL) make (ngale) her (NULL) a (o) publick (womiholu) example (yanako) , (Komagena) was (awi) minded (bobai) to (NULL) put (NULL) her (NULL) away (NULL) privily (kawasa) . (.) "
"b.MAT.1.20 But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost .","b.MAT.1.20 (b.MAT.1.20) But (NULL) while (orasi) he (wakelelo) thought (nimodo) on (watagapisi) these (NULL) things (moi) , (.) behold (NULL) , (.) the (ma) angel (malaikat) of (NULL) the (ma) Lord (Jou) appeared (wotoguruga) unto (NULL) him (unaka) in (rabaka) a (NULL) dream (doguruga) , (.) saying (itemo) , (.) Joseph (Yusuf) , (.) thou (ngona) son (ngopa) of (NULL) David (Daud) , (.) fear (nomiqehe) not (Upa) to (NULL) take (NULL) unto (NULL) thee (NULL) Mary (Maria) thy (NULL) wife (NULL) : (NULL) for (idadi) that (NULL) which (o) is (gena) conceived (imasibolote) in (rabaka) her (ami) is (gena) of (NULL) the (ma) Holy (Qatetebi) Ghost (Gurumi) . (.) "
"b.MAT.1.21 And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) And (So) she (muna) shall (done) bring (NULL) forth (NULL) a (o) son (ngopa) , (,) and (yanau) thou (ngona) shalt (NULL) call (nowisironga) his (masirete) name (to) JESUS (NULL) : (NULL) for (sababu) he (Una) shall (done) save (wasisalamati) his (masirete) people (nyawa) from (o) their (manga) sins (dorou) . ("") "
"b.MAT.1.22 Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) Now (O) all (-) this (NULL) was (NULL) done (NULL) , (NULL) that (magena) it (NULL) might (NULL) be (bilasu) fulfilled (isiganapuka) which (iqomaka) was (NULL) spoken (demo) of (NULL) the (NULL) Lord (NULL) by (qaboloka) the (NULL) prophet (nabi) , (NULL) saying (,) , (NULL) "
"b.MAT.1.23 Behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name Emmanuel , which being interpreted is , God with us .","b.MAT.1.23 (b.MAT.1.23) Behold ("") , (,) a (moi) virgin (jojaru) shall (Done) be (asa) with (de) child (imakiidu) , (,) and (yanau) shall (Done) bring (modami) forth (mosibuo) a (moi) son (ngopa) , (,) and (yanau) they (manga) shall (Done) call (NULL) his (Una) name (Ibranika) Emmanuel (Imanuel) , (,) which (magena) being (NULL) interpreted (() is (O) , (,) God (Gikimoi) with (de) us (ngone) . (.) "
"b.MAT.1.24 Then Joseph being raised from sleep did as the angel of the Lord had bidden him , and took unto him his wife :","b.MAT.1.24 (b.MAT.1.24) Then (Kagena) Joseph (Yusuf) being (NULL) raised (NULL) from (NULL) sleep (womomi) did (NULL) as (maro) the (Awi) angel (malaikat) of (NULL) the (Awi) Lord (Jou) had (NULL) bidden (womiqehe) him (unaka) , (itemo) and (de) took (gila) unto (NULL) him (unaka) his (waaka) wife (womikawika) : (NULL) "
b.MAT.1.25 And knew her not till she had brought forth her firstborn son : and he called his name JESUS .,b.MAT.1.25 (b.MAT.1.25) And (Duma) knew (woholusi) her (muna) not (NULL) till (bati) she (muna) had (NULL) brought (NULL) forth (mowisibuoka) her (muna) firstborn (womiqohaka) son (ngopa) : (.) and (NULL) he (NULL) called (NULL) his (Awi) name (NULL) JESUS (wisironga) . (.) 
"b.MAT.2.1 Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king , behold , there came wise men from the east to Jerusalem ,","b.MAT.2.1 (b.MAT.2.1) Now (De) when (orasi) Jesus (Yesus) was (imaaka) born (wisibuo) in (dokuka) Bethlehem (Betlehem) of (NULL) Judaea (Yudea) in (dokuka) the (o) days (wange) of (NULL) Herod (Herodes) the (o) king (kolano) , (.) behold (NULL) , (.) there (o) came (NULL) wise (icocawaro) men (nyawa) from (nodoka) the (o) east (nyonyieka) to (NULL) Jerusalem (Yerusalem) , (.) "
"b.MAT.2.2 Saying , Where is he that is born King of the Jews ? for we have seen his star in the east , and are come to worship him .","b.MAT.2.2 (b.MAT.2.2) Saying ("") , (itemo) Where (yosano) is (NULL) he (Una) that (tanu) is (NULL) born (wisibuo) King (kolano) of (NULL) the (o) Jews (Yahudika) ? (.) for (ngale) we (Ngomi) have (manena) seen (nimisidumu) his (Awi) star (ngoma) in (NULL) the (o) east (nyonyieka) , (itemo) and (de) are (kanaga) come (imasidiadoka) to (ngomika) worship (miwisuba) him (Unaka) . (.) "
"b.MAT.2.3 When Herod the king had heard these things , he was troubled , and all Jerusalem with him .","b.MAT.2.3 (b.MAT.2.3) When (So) Herod (Herodes) the (ma) king (Kolano) had (NULL) heard (wogiise) these (magena) things (bi) , (,) he (una) was (awi) troubled (isusa) , (,) and (NULL) all (NULL) Jerusalem (Yerusalemka) with (sininga) him (NULL) . (.) "
