context,targ
"b.MAR.1.1 The beginning of the gospel of Jesus Christ , the Son of God ;","b.MAR.1.1 (b.MAR.1.1) The (T) beginning (oiseachd) of (NULL) the (NULL) gospel (soisgeul) of (NULL) Jesus (Iosa) Christ (Criosda) , (,) the (NULL) Son (Mac) of (NULL) God (Dhe) ; (NULL) "
"b.MAR.1.2 As it is written in the prophets , Behold , I send my messenger before thy face , which shall prepare thy way before thee .","b.MAR.1.2 (b.MAR.1.2) As (Air) it (e) is (tha) written (sgriobhte) in (san) the (NULL) prophets (fhaidh) , (NULL) Behold (Isaias) , (NULL) I (mi) send (cuiridh) my (m) messenger (aingeal) before (NULL) thy (do) face (ghnuis) , (NULL) which (a) shall (NULL) prepare (reiticheas) thy (do) way (NULL) before (NULL) thee (romhad) . (NULL) "
"b.MAR.1.3 The voice of one crying in the wilderness , Prepare ye the way of the Lord , make his paths straight .","b.MAR.1.3 (b.MAR.1.3) The (Guth) voice (ag) of (NULL) one (neach) crying (eigheach) in (san) the (NULL) wilderness (fhasach) , (:) Prepare (Reitichibh) ye (NULL) the (NULL) way (slighe) of (NULL) the (NULL) Lord (Tighearna) , (:) make (dianaibh) his (a) paths (rathadain) straight (direach) . (NULL) "
"b.MAR.1.4 John did baptize in the wilderness , and preach the baptism of repentance for the remission of sins .","b.MAR.1.4 (b.MAR.1.4) John (Eoin) did (NULL) baptize (NULL) in (anns) the (an) wilderness (fhasach) , (,) and (sa) preach (searmonachadh) the (an) baptism (baisteadh) of (an) repentance (aithreachais) for (NULL) the (an) remission (mathanas) of (an) sins (pheacannan) . (gu) "
"b.MAR.1.5 And there went out unto him all the land of Judaea , and they of Jerusalem , and were all baptized of him in the river of Jordan , confessing their sins .","b.MAR.1.5 (b.MAR.1.5) And (Agus) there (duthaich) went (chaidh) out (mach) unto (ionnsuidh) him (ga) all (uile) the (gu) land (muinntir) of (NULL) Judaea (Iudea) , (NULL) and (NULL) they (iad) of (NULL) Jerusalem (Ierusalem) , (NULL) and (NULL) were (NULL) all (uile) baptized (bhaisteadh) of (NULL) him (ga) in (ann) the (gu) river (leir) of (NULL) Jordan (Iordain) , (NULL) confessing (aideachadh) their (am) sins (peacannan) . (NULL) "
"b.MAR.1.6 And John was clothed with camel ' s hair , and with a girdle of a skin about his loins ; and he did eat locusts and wild honey ;","b.MAR.1.6 (b.MAR.1.6) And (Agus) John (Eoin) was (bha) clothed (eideadh) with (le) camel (NULL) ' (fionnadh) s (crios) hair (chamhal) , (,) and (is) with (le) a (NULL) girdle (leathair) of (mu) a (NULL) skin (NULL) about (NULL) his (fhiadhaich) loins (mheadhon) ; (;) and (is) he (e) did (NULL) eat (ith) locusts (locuist) and (is) wild (mil) honey (shearmonaich) ; (;) "
"b.MAR.1.7 And preached , saying , There cometh one mightier than I after me , the latchet of whose shoes I am not worthy to stoop down and unloose .","b.MAR.1.7 (b.MAR.1.7) And (Tha) preached (NULL) , (NULL) saying (NULL) , (NULL) There (cumhachdaiche) cometh (tighinn) one (fear) mightier (dheigh) than (NULL) I (mise) after (NULL) me (NULL) , (NULL) the (na) latchet (NULL) of (NULL) whose (NULL) shoes (NULL) I (mise) am (NULL) not (nach) worthy (nas) to (a) stoop (bhrogan) down (sios) and (is) unloose (barail) . (NULL) "
b.MAR.1.8 I indeed have baptized you with water : but he shall baptize you with the Holy Ghost .,b.MAR.1.8 (b.MAR.1.8) I (mise) indeed (sibh) have (NULL) baptized (Bhaist) you (sibh) with (le) water (uisge) : (;) but (ach) he (esan) shall (NULL) baptize (baistidh) you (sibh) with (le) the (an) Holy (Naomh) Ghost (Spiorad) . (NULL) 
"b.MAR.1.9 And it came to pass in those days , that Jesus came from Nazareth of Galilee , and was baptized of John in Jordan .","b.MAR.1.9 (b.MAR.1.9) And (Is) it (NULL) came (thachair) to (le) pass (NULL) in (anns) those (na) days (laithean) , (,) that (sin) Jesus (Iosa) came (thachair) from (bho) Nazareth (Nasareth) of (NULL) Galilee (Ghalile) , (,) and (agus) was (NULL) baptized (bhaisteadh) of (NULL) John (Eoin) in (anns) Jordan (Iordan) . (NULL) "
"b.MAR.1.10 And straightway coming up out of the water , he saw the heavens opened , and the Spirit like a dove descending upon him :","b.MAR.1.10 (b.MAR.1.10) And (S) straightway (air) coming (ball) up (direadh) out (as) of (NULL) the (an) water (uisge) , (,) he (e) saw (chunnaic) the (an) heavens (neamh) opened (fosgailte) , (,) and (s) the (an) Spirit (Spiorad) like (chalman) a (NULL) dove (tearnadh) descending (fantuinn) upon (NULL) him (air) : (NULL) "
