context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (ે) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (ઈસ) Christ (ખ) , (િ) the (NULL) son (ો) of (NULL) David (ઉદન) , (િ) the (NULL) son (ો) of (NULL) Abraham (ઈબ) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (ઈબ) begat (ો) Isaac (ઈસહ) ; (.) and (NULL) Isaac (ઈસહ) begat (ો) Jacob (બન) ; (.) and (NULL) Jacob (બન) begat (ો) Judas (યહ) and (NULL) his (ન) brethren (ઈઓન) ; (.) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (સ) Judas (યહ) begat (હ) Phares (હન) and (અન) Zara (ઝ) of (િ) Thamar (મન) ; (.) and (અન) Phares (હન) begat (હ) Esrom (NULL) ; (.) and (અન) Esrom (NULL) begat (હ) Aram (આર) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (ત) Aram (આર) begat (ો) Aminadab (મ) ; (.) and (NULL) Aminadab (મ) begat (ો) Naasson (હશ) ; (.) and (NULL) Naasson (હશ) begat (ો) Salmon (સલ) ; (.) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (ત) Salmon (સલ) begat (ો) Booz (આઝન) of (() Rachab (NULL) ; (.) and (બ) Booz (આઝન) begat (ો) Obed (NULL) of (() Ruth (ઈન) ; (.) and (બ) Obed (NULL) begat (ો) Jesse (યશ) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (યશ) begat (NULL) David (ઉદ) the (િ) king (NULL) ; (NULL) and (ા) David (ઉદ) the (િ) king (NULL) begat (NULL) Solomon (નન) of (() her (NULL) that (ે) had (હત) been (ા) the (િ) wife (પત) of (() Urias (ઊર) ; (NULL) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (પ) Solomon (NULL) begat (NULL) Roboam (મન) ; (.) and (બ) Roboam (મન) begat (NULL) Abia (અબ) ; (.) and (બ) Abia (અબ) begat (NULL) Asa (આસ) ; (.) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (પ) Asa (આસ) begat (હત) Josaphat (ટન) ; (.) and (ફ) Josaphat (ટન) begat (હત) Joram (NULL) ; (.) and (ફ) Joram (NULL) begat (હત) Ozias (ઉઝ) ; (.) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (ત) Ozias (ઉઝ) begat (NULL) Joatham (ઝન) ; (.) and (ા) Joatham (ઝન) begat (NULL) Achaz (આહ) ; (.) and (ા) Achaz (આહ) begat (NULL) Ezekias (ઝક) ; (.) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (ય) Ezekias (ઝક) begat (NULL) Manasses (આમ) ; (ો) and (NULL) Manasses (આમ) begat (NULL) Amon (NULL) ; (ો) and (NULL) Amon (NULL) begat (NULL) Josias (NULL) ; (ો) 
