context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (Comam) Christ (Jesucristo) , (.) the (NULL) son (NULL) of (NULL) David (David) , (.) the (NULL) son (NULL) of (NULL) Abraham (Abraham) . (NULL) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (ismam) Isaac (Isaac) ; (,) and (NULL) Isaac (Isaac) begat (ismam) Jacob (Jacob) ; (,) and (NULL) Jacob (Jacob) begat (ismam) Judas (Judá) and (NULL) his (NULL) brethren (yuẍtaj) ; (,) "
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Judá) begat (ismam) Phares (Fares) and (yeb) Zara (Zara) of (NULL) Thamar (Tamar) ; (.) and (yeb) Phares (Fares) begat (ismam) Esrom (Esrom) ; (.) and (yeb) Esrom (Esrom) begat (ismam) Aram (Aram) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,"b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (ismam) Aminadab (Aminadab) ; (,) and (NULL) Aminadab (Aminadab) begat (ismam) Naasson (Naasón) ; (,) and (NULL) Naasson (Naasón) begat (ismam) Salmon (Salmón) ; (,) "
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmón) begat (ismam) Booz (Booz) of (NULL) Rachab (ismiˈ) ; (.) and (NULL) Booz (Booz) begat (ismam) Obed (Obed) of (NULL) Ruth (Rut) ; (.) and (NULL) Obed (Obed) begat (ismam) Jesse (Isaí) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isaí) begat (ismam) David (NULL) the (haˈ) king (NULL) ; (.) and (NULL) David (NULL) the (haˈ) king (NULL) begat (ismam) Solomon (Salomón) of (NULL) her (ix) that (NULL) had (naj) been (NULL) the (haˈ) wife (yixalticˈa) of (NULL) Urias (Urías) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,"b.MAT.1.7 (b.MAT.1.7) And (Wal) Solomon (Salomón) begat (ismam) Roboam (Roboam) ; (,) and (NULL) Roboam (Roboam) begat (ismam) Abia (Abías) ; (,) and (NULL) Abia (Abías) begat (ismam) Asa (Asa) ; (,) "
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,"b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (ismam) Josaphat (Josafat) ; (,) and (NULL) Josaphat (Josafat) begat (ismam) Joram (Joram) ; (,) and (NULL) Joram (Joram) begat (ismam) Ozias (Uzías) ; (,) "
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,"b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzías) begat (ismam) Joatham (Jotam) ; (,) and (NULL) Joatham (Jotam) begat (ismam) Achaz (Acaz) ; (,) and (NULL) Achaz (Acaz) begat (ismam) Ezekias (Ezequías) ; (,) "
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,"b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Ezequías) begat (ismam) Manasses (Manasés) ; (,) and (NULL) Manasses (Manasés) begat (ismam) Amon (Amón) ; (,) and (NULL) Amon (Amón) begat (ismam) Josias (Josías) ; (,) "
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Josías) begat (ismam) Jechonias (Jeconías) and (yeb) his (NULL) brethren (yuẍtaj) , (.) about (̈) the (yin) time (istiempohal) they (NULL) were (ebnaj) carried (ilaxto) away (NULL) to (con) Babylon (Babilonia) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (Hayet) after (NULL) they (ebnaj) were (yalan) brought (naj) to (NULL) Babylon (Babilonia) , (xin) Jechonias (Jeconías) begat (ismam) Salathiel (Salatiel) ; (,) and (NULL) Salathiel (Salatiel) begat (ismam) Zorobabel (Zorobabel) ; (,) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,"b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zorobabel) begat (ismam) Abiud (Abiud) ; (,) and (NULL) Abiud (Abiud) begat (ismam) Eliakim (Eliaquim) ; (,) and (NULL) Eliakim (Eliaquim) begat (ismam) Azor (Azor) ; (,) "
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,"b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Azor) begat (ismam) Sadoc (Sadoc) ; (,) and (NULL) Sadoc (Sadoc) begat (ismam) Achim (Aquim) ; (,) and (NULL) Achim (Aquim) begat (ismam) Eliud (Eliud) ; (,) "
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,"b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Eliud) begat (ismam) Eleazar (Eleazar) ; (,) and (NULL) Eleazar (Eleazar) begat (ismam) Matthan (Matán) ; (,) and (NULL) Matthan (Matán) begat (ismam) Jacob (Jacob) ; (,) "
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Jacob) begat (ismam) Joseph (José) the (haˈ) husband (yichamil) of (NULL) Mary (María) , (.) of (NULL) whom (Comam) was (NULL) born (NULL) Jesus (Jesús) , (.) who (Naj) is (ton) called (NULL) Christ (Cristo) . (.) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) So (NULL) all (̈) the (NULL) generations (chiichiti) from (NULL) Abraham (Abraham) to (ob) David (David) are (NULL) fourteen (NULL) generations (chiichiti) ; (yinta) and (NULL) from (NULL) David (David) until (masanto) the (NULL) carrying (mame) away (wan) into (bey) Babylon (Babilonia) are (NULL) fourteen (NULL) generations (chiichiti) ; (yinta) and (NULL) from (NULL) the (NULL) carrying (mame) away (wan) into (bey) Babylon (Babilonia) unto (NULL) Christ (Jesucristo) are (NULL) fourteen (NULL) generations (chiichiti) . (.) 
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (Wal) the (yet) birth (ispitzcˈa) of (NULL) Jesus (NULL) Christ (Jesucristo) was (NULL) on (NULL) this (tiˈ) wise (NULL) : (.) When (NULL) as (NULL) his (Comam) mother (NULL) Mary (María) was (NULL) espoused (takˈwebilxa) to (NULL) Joseph (José) , (,) before (maẍto) they (NULL) came (NULL) together (isba) , (,) she (ix) was (NULL) found (naj) with (yeb) child (unin) of (NULL) the (yet) Holy (Espíritu) Ghost (Santo) . (.) "
"b.MAT.1.19 Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) Then (NULL) Joseph (José) her (NULL) husband (NULL) , (NULL) being (̈) a (caw) just (NULL) man (NULL) , (NULL) and (NULL) not (mach) willing (iskˈanaˈ) to (NULL) make (NULL) her (NULL) a (caw) publick (isbejnicano) example (NULL) , (NULL) was (NULL) minded (NULL) to (NULL) put (NULL) her (NULL) away (tuˈ) privily (ewantajil) . (.) "
