context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (Weatrí) of (NULL) Jesus (NULL) Christ (Jesukrístu) , (NULL) the (NULL) son (NULL) of (NULL) David (Tawitcha) , (NULL) the (NULL) son (NULL) of (NULL) Abraham (Apraámsha) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Apraáma) begat (Uchirí) Isaac (Isak) ; (.) and (NULL) Isaac (Isak) begat (Uchirí) Jacob (Jakup) ; (.) and (NULL) Jacob (Jakup) begat (Uchirí) Judas (NULL) and (NULL) his (ni) brethren (yachijiai) ; (.) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (Tura) Judas (NULL) begat (uchirin) Phares (NULL) and (tura) Zara (Páresan) of (NULL) Thamar (Jutá) ; (.) and (tura) Phares (NULL) begat (uchirin) Esrom (Páresa) ; (.) and (tura) Esrom (Páresa) begat (uchirin) Aram (Aram) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (Nuna) Aram (NULL) begat (Uchirísha) Aminadab (Aminiatáp) ; (.) and (NULL) Aminadab (Aminiatáp) begat (Uchirísha) Naasson (Nasun) ; (.) and (NULL) Naasson (Nasun) begat (Uchirísha) Salmon (Sarmun) ; (.) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Sarmunka) begat (jurermiayi) Booz (NULL) of (NULL) Rachab (Púusan) ; (.) and (NULL) Booz (NULL) begat (jurermiayi) Obed (Ruut) of (NULL) Ruth (Uwitian) ; (.) and (NULL) Obed (Ruut) begat (jurermiayi) Jesse (Isaí) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (Nuna) Jesse (NULL) begat (Uchirísha) David (NULL) the (NULL) king (akupin) ; (.) and (NULL) David (NULL) the (NULL) king (akupin) begat (Uchirísha) Solomon (Patsepa) of (NULL) her (Patsepasha) that (NULL) had (Uríasa) been (NULL) the (NULL) wife (NULL) of (NULL) Urias (nuweeyayi) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Sarumúnka) begat (Uchirí) Roboam (Rupuam) ; (.) and (NULL) Roboam (Rupuam) begat (Uchirí) Abia (Apías) ; (.) and (NULL) Abia (Apías) begat (Uchirí) Asa (Asa) ; (.) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (Uchirísha) Josaphat (Jusapát) ; (.) and (NULL) Josaphat (Jusapát) begat (Uchirísha) Joram (Juram) ; (.) and (NULL) Joram (Juram) begat (Uchirísha) Ozias (Usías) ; (.) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (Nuna) Ozias (Usíasa) begat (Uchirí) Joatham (Jutam) ; (.) and (NULL) Joatham (Jutam) begat (Uchirí) Achaz (Akas) ; (.) and (NULL) Achaz (Akas) begat (Uchirí) Ezekias (Esekías) ; (.) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (Nuna) Ezekias (Esekíasa) begat (Uchirí) Manasses (Manasés) ; (.) and (NULL) Manasses (Manasés) begat (Uchirí) Amon (Amun) ; (.) and (NULL) Amon (Amun) begat (Uchirí) Josias (Jusías) ; (.) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Jusíasa) begat (Uchirí) Jechonias (Jekunías) and (NULL) his (ni) brethren (yachi) , (NULL) about (Papirúnianmaya) the (NULL) time (NULL) they (NULL) were (armia) carried (achirar) away (nupetkar) to (NULL) Babylon (Papirúnia) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (Nu) after (NULL) they (NULL) were (NULL) brought (NULL) to (NULL) Babylon (Saratiár) , (NULL) Jechonias (Jekuníasa) begat (Uchirí) Salathiel (akiiniamiayi) ; (.) and (NULL) Salathiel (akiiniamiayi) begat (Uchirí) Zorobabel (Surupapír) ; (.) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (Nuna) Zorobabel (Surupapíra) begat (Uchirí) Abiud (Awiut) ; (.) and (NULL) Abiud (Awiut) begat (Uchirí) Eliakim (Iriakím) ; (.) and (NULL) Eliakim (Iriakím) begat (Uchirí) Azor (Asur) ; (.) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (Nuna) Azor (Asura) begat (Uchirí) Sadoc (Satuk) ; (.) and (NULL) Sadoc (Satuk) begat (Uchirí) Achim (Akim) ; (.) and (NULL) Achim (Akim) begat (Uchirí) Eliud (Eriut) ; (.) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (Nuna) Eliud (Eriuta) begat (Uchirí) Eleazar (Ereasár) ; (.) and (NULL) Eleazar (Ereasár) begat (Uchirí) Matthan (Matan) ; (.) and (NULL) Matthan (Matan) begat (Uchirí) Jacob (Jakup) ; (.) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (Nu) Jacob (Jakupa) begat (Uchirí) Joseph (Jusé) the (NULL) husband (aishriya) of (NULL) Mary (Marí) , (NULL) of (NULL) whom (NULL) was (.) born (jurermiayi) Jesus (Jesusan) , (NULL) who (NULL) is (NULL) called (uwemtikiartin) Christ (Kristu) . (.) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) So (Tuma) all (NULL) the (NULL) generations (Apraámnumia) from (NULL) Abraham (NULL) to (NULL) David (Tawitnium) are (ainiawai) fourteen (katurse) generations (Apraámnumia) ; (.) and (NULL) from (NULL) David (Tawitnium) until (ataksha) the (NULL) carrying (jukimiunma) away (NULL) into (NULL) Babylon (NULL) are (ainiawai) fourteen (katurse) generations (Apraámnumia) ; (.) and (NULL) from (NULL) the (NULL) carrying (jukimiunma) away (NULL) into (NULL) Babylon (NULL) unto (NULL) Christ (jukimiunmayasha) are (ainiawai) fourteen (katurse) generations (Apraámnumia) . (.) 
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (NULL) the (NULL) birth (akiiniamu) of (NULL) Jesus (NULL) Christ (Jesukrístu) was (ámiayi) on (.) this (NULL) wise (NULL) : (NULL) When (NULL) as (anajmanairuyayi) his (Ni) mother (Nukurí) Mary (Marí) was (ámiayi) espoused (Jusejai) to (NULL) Joseph (NULL) , (NULL) before (NULL) they (NULL) came (NULL) together (NULL) , (NULL) she (Tsaníatsain) was (ámiayi) found (NULL) with (NULL) child (ajaprumtikiamiayi) of (NULL) the (NULL) Holy (NULL) Ghost (Wakaní) . (.) "
"b.MAT.1.19 Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) Then (Ajaprukmataisha) Joseph (Jusé) her (NULL) husband (NULL) , (NULL) being (asa) a (ti) just (pénker) man (NULL) , (NULL) and (NULL) not (aya) willing (NULL) to (NULL) make (iniaisatniun) her (NULL) a (ti) publick (nékainiatsain) example (NULL) , (NULL) was (.) minded (NULL) to (NULL) put (NULL) her (NULL) away (ajapatniun) privily (NULL) . (NULL) "
"b.MAT.1.20 But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost .","b.MAT.1.20 (b.MAT.1.20) But (NULL) while (Pujái) he (NULL) thought (tu) on (NULL) these (,) things (NULL) , (NULL) behold (NULL) , (NULL) the (NULL) angel (suntari) of (NULL) the (NULL) Lord (NULL) appeared (Juséá) unto (chicharuk) him (NULL) in (NULL) a (NULL) dream (mesekranam) , (NULL) saying ("") , (NULL) Joseph (NULL) , (NULL) thou (ame) son (NULL) of (NULL) David (weatrum) , (NULL) fear (NULL) not (NULL) to (NULL) take (Tawitchakait) unto (chicharuk) thee (.) Mary (Marijiai) thy (asam) wife (nuatnaikiatin) : (NULL) for (Tuma) that (NULL) which (jurertatna) is (NULL) conceived (NULL) in (NULL) her (Wakaníniuiti) is (NULL) of (NULL) the (NULL) Holy (Yusa) Ghost (NULL) . (.) "
"b.MAT.1.21 And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) And (NULL) she (NULL) shall (NULL) bring (takustatui) forth (NULL) a (NULL) son (NULL) , (NULL) and (tura) thou (NULL) shalt (NULL) call (anaikiattame) his (NULL) name (naari) JESUS (JESUS) : (.) for (NULL) he (Jesus) shall (NULL) save (Shuárin) his (NULL) people (tunaariya) from (.) their (ni) sins (anaikiatniuiti) . (NULL) "
"b.MAT.1.22 Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) Now (NULL) all (NULL) this (etserniurijiai) was (yaunchu) done (NULL) , (NULL) that (NULL) it (timia) might (NULL) be (tusa) fulfilled (uminkiati) which (nu) was (yaunchu) spoken (Túrunamiayi) of (NULL) the (NULL) Lord (NULL) by (.) the (NULL) prophet (NULL) , (NULL) saying (:) , (NULL) "
"b.MAT.1.23 Behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name Emmanuel , which being interpreted is , God with us .","b.MAT.1.23 (b.MAT.1.23) Behold (NULL) , (NULL) a (NULL) virgin (anainiaktatui) shall (NULL) be (aarmaiti) with (.) child (uchin) , (NULL) and (tura) shall (NULL) bring (takustatui) forth (.) a (NULL) son (Náarisha) , (NULL) and (tura) they (NULL) shall (NULL) call (NULL) his (Emanuér) name (ajapruktatui) Emmanuel (pujuwiti) , (NULL) which (nu) being (NULL) interpreted (Emanuérsha) is (tawai) , (NULL) God (Yus) with (.) us (iijiai) . (.) "
"b.MAT.1.24 Then Joseph being raised from sleep did as the angel of the Lord had bidden him , and took unto him his wife :","b.MAT.1.24 (b.MAT.1.24) Then (NULL) Joseph (Jusesha) being (NULL) raised (NULL) from (NULL) sleep (mesekranmaya) did (NULL) as (Núnisan) the (NULL) angel (suntari) of (NULL) the (NULL) Lord (NULL) had (NULL) bidden (NULL) him (NULL) , (NULL) and (NULL) took (NULL) unto (NULL) him (NULL) his (NULL) wife (nuatkamiayi) : (.) "
b.MAT.1.25 And knew her not till she had brought forth her firstborn son : and he called his name JESUS .,b.MAT.1.25 (b.MAT.1.25) And (Tura) knew (NULL) her (NULL) not (NULL) till (NULL) she (NULL) had (.) brought (NULL) forth (NULL) her (NULL) firstborn (NULL) son (NULL) : (NULL) and (NULL) he (NULL) called (NULL) his (NULL) name (NULL) JESUS (jurermatai) . (.) 
"b.MAT.2.1 Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king , behold , there came wise men from the east to Jerusalem ,","b.MAT.2.1 (b.MAT.2.1) Now (NULL) when (NULL) Jesus (Jesus) was (.) born (akiiniamiayi) in (nunkanam) Bethlehem (Pirin) of (NULL) Judaea (Jutía) in (nunkanam) the (NULL) days (pépru) of (NULL) Herod (NULL) the (NULL) king (NULL) , (NULL) behold (Irutisauyayi) , (NULL) there (Nuisha) came (Táarmiayi) wise (neka) men (NULL) from (.) the (NULL) east (Tátainmaaniya) to (NULL) Jerusalem (Jerusarén) , (NULL) "
"b.MAT.2.2 Saying , Where is he that is born King of the Jews ? for we have seen his star in the east , and are come to worship him .","b.MAT.2.2 (b.MAT.2.2) Saying (Taar) , (NULL) Where (inintruiniak) is (NULL) he (NULL) that (NULL) is (NULL) born (akiiniait) King (uunt) of (NULL) the (NULL) Jews (NULL) ? (?) for (.) we (Nantu) have (NULL) seen (NULL) his (ni) star (yaari) in (NULL) the (NULL) east (Tátainmaani) , (NULL) and (NULL) are (NULL) come (winiaji) to (tusar) worship (tikishmatratai) him (NULL) . (.) "
"b.MAT.2.3 When Herod the king had heard these things , he was troubled , and all Jerusalem with him .","b.MAT.2.3 (b.MAT.2.3) When (NULL) Herod (Irutis) the (NULL) king (NULL) had (NULL) heard (nuna) these (NULL) things (NULL) , (NULL) he (antuk) was (NULL) troubled (Enentáimpramiayi) , (NULL) and (NULL) all (Ashí) Jerusalem (Jerusarénnumia) with (.) him (NULL) . (NULL) "
"b.MAT.2.4 And when he had gathered all the chief priests and scribes of the people together , he demanded of them where Christ should be born .","b.MAT.2.4 (b.MAT.2.4) And (NULL) when (NULL) he (NULL) had (NULL) gathered (NULL) all (Ashí) the (NULL) chief (-) priests (patri) and (tura) scribes (NULL) of (NULL) the (NULL) people (NULL) together (jintinniuncha) , (NULL) he (NULL) demanded (inintrusmiayi) of (NULL) them (NULL) where (akiiniatniurin) Christ (Kristu) should (NULL) be (.) born (NULL) . (.) "
"b.MAT.2.5 And they said unto him , In Bethlehem of Judaea : for thus it is written by the prophet ,","b.MAT.2.5 (b.MAT.2.5) And (Tutai) they (chichainiak) said (NULL) unto ("") him (NULL) , (NULL) In (NULL) Bethlehem (Pirin) of (NULL) Judaea (Jutía) : (.) for (NULL) thus (aaruiti) it (NULL) is (NULL) written (:) by (Yaunchu) the (NULL) prophet (Yúsnan) , (NULL) "
"b.MAT.2.6 And thou Bethlehem , in the land of Juda , art not the least among the princes of Juda : for out of thee shall come a Governor , that shall rule my people Israel .","b.MAT.2.6 (b.MAT.2.6) And (Nuyá) thou ("") Bethlehem (Pirin) , (,) in (NULL) the (NULL) land (nunkanam) of (NULL) Juda (NULL) , (,) art (NULL) not (NULL) the (NULL) least (NULL) among (Yus) the (NULL) princes (NULL) of (NULL) Juda (NULL) : (NULL) for (NULL) out (.) of (NULL) thee (NULL) shall ("") come (winittiawai) a (.) Governor (Wáinkiattawai) , (,) that (NULL) shall ("") rule (shuaran) my (Wíi) people (shuar) Israel (Israer) . (.) "
"b.MAT.2.7 Then Herod , when he had privily called the wise men , inquired of them diligently what time the star appeared .","b.MAT.2.7 (b.MAT.2.7) Then (NULL) Herod (Irutis) , (NULL) when (NULL) he (NULL) had (NULL) privily (NULL) called (apachin) the (NULL) wise (neka) men (NULL) , (NULL) inquired (úusan) of (NULL) them (NULL) diligently (Urutía) what (NULL) time (NULL) the (NULL) star (yaa) appeared (Wáinkiamarum) . (.) "
