context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (Ɛisa) Christ (Lmasih) , (yellan) the (NULL) son (NULL) of (NULL) David (Dawed) , (yellan) the (NULL) son (NULL) of (NULL) Abraham (Ibr) . (NULL) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) Abraham (Ibr) begat (yeg) Isaac (Ish) ; (,) and (g) Isaac (Ish) begat (yeg) Jacob (Yeɛqub) ; (,) and (g) Jacob (Yeɛqub) begat (yeg) Judas (Yahuda) and (g) his (is) brethren (watmaten) ; (,) "
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Yahuda) begat (NULL) Phares (Fares) and (g) Zara (Tamar) of (NULL) Thamar (NULL) ; (;) and (g) Phares (Fares) begat (NULL) Esrom (esrun) ; (;) and (g) Esrom (esrun) begat (NULL) Aram (Aram) ; (;) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,"b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (yeg) Aminadab (Ɛaminadab) ; (,) and (g) Aminadab (Ɛaminadab) begat (yeg) Naasson (sun) ; (,) and (g) Naasson (sun) begat (yeg) Salmon (Salmun) ; (,) "
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,"b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmun) begat (Rah) Booz (Buɛaz) of (NULL) Rachab (an) ; (,) and (g) Booz (Buɛaz) begat (Rah) Obed (Ɛubed) of (NULL) Ruth (sɛan) ; (,) and (g) Obed (Ɛubed) begat (Rah) Jesse (Yassa) ; (,) "
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Yassa) begat (yeg) David (NULL) the (d) king (agellid) ; (NULL) and (g) David (NULL) the (d) king (agellid) begat (yeg) Solomon (Sliman) of (NULL) her (tmet) that (NULL) had (NULL) been (̣) the (d) wife (ut) of (NULL) Urias (Uryah) ; (NULL) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,"b.MAT.1.7 (b.MAT.1.7) And (Sidna) Solomon (Sliman) begat (yeg) Roboam (NULL) ; (,) and (g) Roboam (NULL) begat (yeg) Abia (Abiya) ; (,) and (g) Abia (Abiya) begat (yeg) Asa (Asaf) ; (,) "
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asaf) begat (yeg) Josaphat (Yehucafat) ; (;) and (g) Josaphat (Yehucafat) begat (yeg) Joram (Yihuram) ; (;) and (g) Joram (Yihuram) begat (yeg) Ozias (Ɛuzya) ; (;) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Ɛuzya) begat (yeg) Joatham (Yut) ; (;) and (g) Joatham (Yut) begat (yeg) Achaz (Ah) ; (;) and (g) Achaz (Ah) begat (yeg) Ezekias (izeqya) ; (;) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (izeqya) begat (yeg) Manasses (Mennac) ; (;) and (g) Manasses (Mennac) begat (yeg) Amon (Ɛamun) ; (;) and (g) Amon (Ɛamun) begat (yeg) Josias (Yuciya) ; (;) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Yuciya) begat (yeg) Jechonias (Yixunya) and (akk) his (is) brethren (watmaten) , (,) about (iqaldiyen) the (NULL) time (lweqt) they (NULL) were (d) carried (wwin) away (̣) to (ɣer) Babylon (Babilun) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (NULL) after (Mbeɛd) they (NULL) were (NULL) brought (tmurtn) to (ɣer) Babylon (Babilun) , (,) Jechonias (Yixunya) begat (yeg) Salathiel (NULL) ; (;) and (g) Salathiel (NULL) begat (yeg) Zorobabel (Zurubabil) ; (;) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zurubabil) begat (yeg) Abiud (Abihud) ; (.) and (g) Abiud (Abihud) begat (yeg) Eliakim (Ilyaqim) ; (.) and (g) Eliakim (Ilyaqim) begat (yeg) Azor (Ɛazur) ; (.) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Ɛazur) begat (yeg) Sadoc (Saduq) ; (;) and (g) Sadoc (Saduq) begat (yeg) Achim (Yaxin) ; (;) and (g) Achim (Yaxin) begat (yeg) Eliud (Ilihud) ; (;) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Ilhud) begat (yeg) Eleazar (Ilɛazar) ; (;) and (g) Eleazar (Ilɛazar) begat (yeg) Matthan (Mattan) ; (;) and (g) Matthan (Mattan) begat (yeg) Jacob (Yeɛqub) ; (;) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Yeɛqub) begat (yeg) Joseph (Yusef) the (NULL) husband (argaz) of (n) Mary (Meryem) , (,) of (n) whom (i) was (NULL) born (NULL) Jesus (Ɛisa) , (,) who (i) is (get) called (usemman) Christ (Lmasih) . (.) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) So (NULL) all (r) the (leg) generations (yal) from (NULL) Abraham (Ibr) to (̣) David (Dawed) are (d) fourteen (beɛt) generations (yal) ; (.) and (NULL) from (NULL) David (Dawed) until (armi) the (leg) carrying (usgig) away (NULL) into (ɣer) Babylon (NULL) are (d) fourteen (beɛt) generations (yal) ; (.) and (NULL) from (NULL) the (leg) carrying (usgig) away (NULL) into (ɣer) Babylon (NULL) unto (-) Christ (Lmasih) are (d) fourteen (beɛt) generations (yal) . (.) 
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (NULL) the (d) birth (ilul) of (NULL) Jesus (Sidna) Christ (Ɛisa) was (NULL) on (NULL) this (wamek) wise (NULL) : (:) When (NULL) as (NULL) his (s) mother (yemma) Mary (Meryem) was (NULL) espoused (waxd) to (i) Joseph (Yusef) , (.) before (uqbel) they (NULL) came (uh) together (NULL) , (.) she (̦) was (NULL) found (terfed) with (s) child (tadist) of (NULL) the (d) Holy (iqedsen) Ghost (r) . (.) "
"b.MAT.1.19 Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) Then (NULL) Joseph (Yusef) her (is) husband (NULL) , (,) being (NULL) a (d) just (axd) man (argaz) , (,) and (dɣa) not (ur) willing (icemmet) to (a) make (NULL) her (is) a (d) publick (yeqsed) example (imsefr) , (,) was (NULL) minded (NULL) to (a) put (NULL) her (is) away (-) privily (tuffra) . (.) "
"b.MAT.1.20 But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost .","b.MAT.1.20 (b.MAT.1.20) But (NULL) while (NULL) he (yet) thought (waya) on (NULL) these (NULL) things (NULL) , (,) behold (ed) , (,) the (NULL) angel (lmelk) of (n) the (NULL) Lord (R) appeared (NULL) unto (ɣur) him (es) in (di) a (̣) dream (targit) , (,) saying (:) , (,) Joseph (Yusef) , (,) thou (NULL) son (mmi) of (n) David (Dawed) , (,) fear (aggad) not (ara) to (at) take (t) unto (ɣur) thee (NULL) Mary (Meryem) thy (ik) wife (amet) : (,) for (axat) that (NULL) which (yellan) is (NULL) conceived (tɛebbut) in (di) her (-) is (NULL) of (n) the (NULL) Holy (iqedsen) Ghost (r) . (.) "
"b.MAT.1.21 And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) And (NULL) she (NULL) shall (A) bring (aqcic) forth (NULL) a (d) son (tesɛu) , (,) and (NULL) thou (NULL) shalt (NULL) call (tsemmid) his (s) name (NULL) JESUS (iselken) : (,) for (axat) he (net) shall (A) save (NULL) his (s) people (lumma) from (si) their (nsen) sins (ddnubat) . (.) "
"b.MAT.1.22 Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) Now (NULL) all (akk) this (NULL) was (NULL) done (yedr) , (NULL) that (NULL) it (NULL) might (iwakken) be (̦) fulfilled (wakemmel) which (wayen) was (NULL) spoken (yenna) of (NULL) the (d) Lord (Sidi) by (seg) the (d) prophet (nnbi) , (NULL) saying (:) , (NULL) "
