context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (Quemënga) book (imnamna) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (NULL) Christ (Jesucristbe) , (:) the (NULL) son (NULL) of (NULL) David (David) , (:) the (NULL) son (NULL) of (NULL) Abraham (Abrahámbents) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (Isaacna) Isaac (Isaacbe) ; (;) and (y) Isaac (Isaacbe) begat (Isaacna) Jacob (Jacobëbe) ; (;) and (y) Jacob (Jacobëbe) begat (Isaacna) Judas (Uríasbe) and (y) his (chabe) brethren (cats) ; (;) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (Chë) Solomon (Salomón) begat (taitá) Roboam (Josafat) ; (;) and (y) Roboam (Josafat) begat (taitá) Abia (Jorambe) ; (;) and (y) Abia (Jorambe) begat (taitá) Asa (Josíasna) ; (;) 
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (NULL) after (Jeconías) they (Jesusbe) were (ndutámenënga) brought (Zorobabelbe) to (Eliaquimna) Babylon (Azorbe) , (;) Jechonias (Zorobabel) begat (Sadocbe) Salathiel (NULL) ; (;) and (y) Salathiel (NULL) begat (Sadocbe) Zorobabel (Eleazarbe) ; (;) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) So (Chcasna) all (Davidbentscoñe) the (bnë) generations (NULL) from (ana) Abraham (Abrahámbents) to (NULL) David (Davídbents) are (NULL) fourteen (canta) generations (NULL) ; (.) and (bnë) from (ana) David (Davídbents) until (NULL) the (bnë) carrying (israelitënga) away (NULL) into (NULL) Babylon (NULL) are (NULL) fourteen (canta) generations (NULL) ; (.) and (bnë) from (ana) the (bnë) carrying (israelitënga) away (NULL) into (NULL) Babylon (NULL) unto (̈) Christ (Cristo) are (NULL) fourteen (canta) generations (NULL) . (.) 
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (NULL) the (NULL) birth (jónÿnanamna) of (NULL) Jesus (Jesucristo) Christ (NULL) was (tojanopasá) on (NULL) this (̈) wise (ibontsiyena) : (pero) When (ora) as (NULL) his (NULL) mother (NULL) Mary (María) was (tojanopasá) espoused (Joséftaca) to (NULL) Joseph (jobouamayama) , (,) before (cabá) they (NULL) came (NULL) together (cánÿiñe) , (,) she (NULL) was (tojanopasá) found (yojoquéda) with (NULL) child (ngomamaná) of (NULL) the (NULL) Holy (Uámana) Ghost (Espíritbe) . (.) "
"b.MAT.1.19 Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) Then (NULL) Joseph (José) her (NULL) husband (boyá) , (,) being (Mariybe) a (canÿe) just (soyënguiñe) man (á) , (,) and (NULL) not (ndoñe) willing (yontsebos) to (̈) make (ts) her (NULL) a (canÿe) publick (jaquédana) example (chíyecna) , (,) was (inamna) minded (Maríybents) to (̈) put (NULL) her (NULL) away (ana) privily (iytëcana) . (.) "
"b.MAT.1.20 But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost .","b.MAT.1.20 (b.MAT.1.20) But (Y) while (NULL) he (NULL) thought (NULL) on (NULL) these (NULL) things (chca) , (NULL) behold (yojtsejuabnantscuana) , (NULL) the (Bëtsabe) angel (ángel) of (NULL) the (Bëtsabe) Lord (Bëngbe) appeared (NULL) unto (tbojaniyana) him (NULL) in (mo) a (canÿe) dream (Josébioye) , (NULL) saying (:) , (NULL) Joseph (José) , (NULL) thou (NULL) son (bochántsebomna) of (NULL) David (Davídbents) , (NULL) fear (NULL) not (ndoñe) to (NULL) take (matenócochinÿenana) unto (tbojaniyana) thee (NULL) Mary (NULL) thy (NULL) wife (Maríaftaca) : (,) for (er) that (NULL) which (NULL) is (NULL) conceived (bochántsebomna) in (mo) her (es) is (NULL) of (NULL) the (Bëtsabe) Holy (Uámana) Ghost (Espíritbe) . (.) "
"b.MAT.1.21 And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) And (Chca) she (María) shall (”) bring (NULL) forth (NULL) a (canÿe) son (bochántsebomna) , (.) and (y) thou (NULL) shalt (ca) call (NULL) his (NULL) name (NULL) JESUS (cochjuabaye) : (NULL) for (er) he (cha) shall (”) save (echanjátsebacaye) his (NULL) people (ents) from (ana) their (chëngbe) sins (bacna) . (.) "
"b.MAT.1.22 Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) Now (NULL) all (NULL) this (NULL) was (NULL) done (amo) , (,) that (chca) it (NULL) might (NULL) be (cachcá) fulfilled (chaotsemnama) which (NULL) was (NULL) spoken (oyebuambnayëngbiajana) of (juabna) the (NULL) Lord (Bëngbe) by (NULL) the (NULL) prophet (oyebuambnayá) , (,) saying (:) , (,) "
