context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (te) the (NULL) generation (NULL) of (te) Jesus (NULL) Christ (Jesucrist) , (,) the (NULL) son (xeˈchil) of (te) David (David) , (,) the (NULL) son (xeˈchil) of (te) Abraham (Abraham) . (NULL) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (ttata) Isaac (NULL) ; (NULL) and (NULL) Isaac (NULL) begat (ttata) Jacob (NULL) ; (NULL) and (NULL) Jacob (NULL) begat (ttata) Judas (NULL) and (NULL) his (NULL) brethren (titzˈin) ; (NULL) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,"b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (NULL) begat (NULL) Phares (Judá) and (tukˈa) Zara (Tamar) of (,) Thamar (Zara) ; (.) and (tukˈa) Phares (Judá) begat (NULL) Esrom (NULL) ; (.) and (tukˈa) Esrom (NULL) begat (NULL) Aram (Aram) ; (.) "
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (NULL) begat (ttata) Aminadab (NULL) ; (NULL) and (NULL) Aminadab (NULL) begat (ttata) Naasson (NULL) ; (NULL) and (NULL) Naasson (NULL) begat (ttata) Salmon (Salmón) ; (NULL) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmón) begat (NULL) Booz (Rahab) of (NULL) Rachab (ayeˈ) ; (NULL) and (ex) Booz (Rahab) begat (NULL) Obed (NULL) of (NULL) Ruth (Rut) ; (NULL) and (ex) Obed (NULL) begat (NULL) Jesse (Isaí) ; (NULL) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isaí) begat (ttata) David (David) the (a) king (nmaq) ; (.) and (NULL) David (David) the (a) king (nmaq) begat (ttata) Solomon (Salomón) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (a) wife (xuˈjlbˈin) of (NULL) Urias (Urías) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,"b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomón) begat (ttata) Roboam (NULL) ; (NULL) and (,) Roboam (NULL) begat (ttata) Abia (NULL) ; (NULL) and (,) Abia (NULL) begat (ttata) Asa (Asa) ; (NULL) "
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Josafat) begat (ttata) Josaphat (NULL) ; (NULL) and (NULL) Josaphat (NULL) begat (ttata) Joram (NULL) ; (NULL) and (NULL) Joram (NULL) begat (ttata) Ozias (Uzías) ; (NULL) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Jotam) begat (ttata) Joatham (NULL) ; (NULL) and (NULL) Joatham (NULL) begat (ttata) Achaz (NULL) ; (NULL) and (NULL) Achaz (NULL) begat (ttata) Ezekias (Ezequías) ; (NULL) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (NULL) begat (ttata) Manasses (NULL) ; (NULL) and (NULL) Manasses (NULL) begat (ttata) Amon (NULL) ; (NULL) and (NULL) Amon (NULL) begat (ttata) Josias (Josías) ; (NULL) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (NULL) begat (ttata) Jechonias (Jeconías) and (NULL) his (NULL) brethren (titzˈin) , (NULL) about (NULL) the (,) time (NULL) they (NULL) were (NULL) carried (jtzˈoˈn) away (NULL) to (te) Babylon (Babilonia) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (NULL) after (NULL) they (NULL) were (NULL) brought (NULL) to (NULL) Babylon (Babilonia) , (NULL) Jechonias (Jeconías) begat (ttata) Salathiel (NULL) ; (,) and (NULL) Salathiel (NULL) begat (ttata) Zorobabel (Zorobabel) ; (,) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (NULL) begat (ttata) Abiud (NULL) ; (NULL) and (NULL) Abiud (NULL) begat (ttata) Eliakim (NULL) ; (NULL) and (NULL) Eliakim (NULL) begat (ttata) Azor (Azor) ; (NULL) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Sadoc) begat (ttata) Sadoc (NULL) ; (NULL) and (NULL) Sadoc (NULL) begat (ttata) Achim (NULL) ; (NULL) and (NULL) Achim (NULL) begat (ttata) Eliud (Eliud) ; (NULL) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (NULL) begat (ttata) Eleazar (NULL) ; (NULL) and (NULL) Eleazar (NULL) begat (ttata) Matthan (NULL) ; (NULL) and (NULL) Matthan (NULL) begat (ttata) Jacob (Jacob) ; (NULL) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (NULL) begat (ttata) Joseph (Jse) the (NULL) husband (tchmil) of (NULL) Mary (Mariy) , (,) of (NULL) whom (a) was (NULL) born (NULL) Jesus (Jesús) , (,) who (a) is (NULL) called (tbˈi) Christ (Crist) . (.) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,"b.MAT.1.17 (b.MAT.1.17) So (Ikytziˈn) all (NULL) the (NULL) generations (tyajil) from (tzajnin) Abraham (Abraham) to (NULL) David (David) are (,) fourteen (kyajlajaj) generations (tyajil) ; (;) and (ex) from (tzajnin) David (David) until (tzmaxiˈ) the (NULL) carrying (Israel) away (NULL) into (toj) Babylon (Babilonia) are (,) fourteen (kyajlajaj) generations (tyajil) ; (;) and (ex) from (tzajnin) the (NULL) carrying (Israel) away (NULL) into (toj) Babylon (Babilonia) unto (NULL) Christ (Crist) are (,) fourteen (kyajlajaj) generations (tyajil) . (.) "
