context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (tocayomej) of (NULL) Jesus (NULL) Christ (Jesucristo) , (NULL) the (NULL) son (NULL) of (NULL) David (David) , (NULL) the (NULL) son (NULL) of (NULL) Abraham (Abraham) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (tajtli) Isaac (Isaac) ; (,) and (niman) Isaac (Isaac) begat (tajtli) Jacob (Jacob) ; (,) and (niman) Jacob (Jacob) begat (tajtli) Judas (Judá) and (niman) his (NULL) brethren (icnihuan) ; (,) "
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Judá) begat (tajtli) Phares (Fares) and (niman) Zara (Zara) of (itoca) Thamar (Tamar) ; (.) and (niman) Phares (Fares) begat (tajtli) Esrom (Esrom) ; (.) and (niman) Esrom (Esrom) begat (tajtli) Aram (Aram) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,"b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (tajtli) Aminadab (Aminadab) ; (,) and (niman) Aminadab (Aminadab) begat (tajtli) Naasson (Naasón) ; (,) and (niman) Naasson (Naasón) begat (tajtli) Salmon (Salmón) ; (,) "
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmón) begat (tajtli) Booz (NULL) of (itech) Rachab (inan) ; (.) and (niman) Booz (NULL) begat (tajtli) Obed (Obed) of (itech) Ruth (Rut) ; (.) and (niman) Obed (Obed) begat (tajtli) Jesse (Isaí) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,"b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isaí) begat (tajtli) David (NULL) the (NULL) king (NULL) ; (,) and (niman) David (NULL) the (NULL) king (NULL) begat (tajtli) Solomon (Salomón) of (itech) her (NULL) that (NULL) had (cahuajli) been (NULL) the (NULL) wife (NULL) of (itech) Urias (Urías) ; (,) "
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,"b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomón) begat (tajtli) Roboam (Roboam) ; (,) and (niman) Roboam (Roboam) begat (tajtli) Abia (Abías) ; (,) and (niman) Abia (Abías) begat (tajtli) Asa (Asa) ; (,) "
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,"b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (tajtli) Josaphat (Josafat) ; (,) and (niman) Josaphat (Josafat) begat (tajtli) Joram (Joram) ; (,) and (niman) Joram (Joram) begat (tajtli) Ozias (Uzías) ; (,) "
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,"b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzías) begat (tajtli) Joatham (Jotam) ; (,) and (niman) Joatham (Jotam) begat (tajtli) Achaz (Acaz) ; (,) and (niman) Achaz (Acaz) begat (tajtli) Ezekias (Ezequías) ; (,) "
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,"b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Ezequías) begat (tajtli) Manasses (Manasés) ; (,) and (niman) Manasses (Manasés) begat (tajtli) Amon (Amón) ; (,) and (niman) Amon (Amón) begat (tajtli) Josias (Josías) ; (,) "
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (Niman) Josias (Josías) begat (tajtli) Jechonias (Jeconías) and (niman) his (.) brethren (icnihuan) , (NULL) about (ipan) the (on) time (tonaltin) they (yejhuamej) were (nemiyaj) carried (NULL) away (NULL) to (ne) Babylon (Babilonia) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (Ijcuac) after (NULL) they (NULL) were (NULL) brought (ne) to (NULL) Babylon (Babilonia) , (,) Jechonias (Jeconías) begat (tajtli) Salathiel (Salatiel) ; (,) and (niman) Salathiel (Salatiel) begat (tajtli) Zorobabel (Zorobabel) ; (,) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,"b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zorobabel) begat (tajtli) Abiud (Abiud) ; (,) and (niman) Abiud (Abiud) begat (tajtli) Eliakim (Eliaquim) ; (,) and (niman) Eliakim (Eliaquim) begat (tajtli) Azor (Azor) ; (,) "
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,"b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Azor) begat (tajtli) Sadoc (Sadoc) ; (,) and (niman) Sadoc (Sadoc) begat (tajtli) Achim (Aquim) ; (,) and (niman) Achim (Aquim) begat (tajtli) Eliud (Eliud) ; (,) "
