context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) Jesus (ᒋᓴᔅ) Christ (X) , (,) the (NULL) son (ᑳᐅᑕᑳᓀᓯᒡ) of (NULL) David (ᑌᐱᑎᕽ) , (,) the (NULL) son (ᑳᐅᑕᑳᓀᓯᒡ) of (NULL) Abraham (ᐁᐸᕒᐊᐋᒥᕽ) . (᙮) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) Abraham (ᐁᐸᕒᐊᐋᒻ) begat (ᑮᐅᑯᓯᓯ) Isaac (ᐋᐃᓯᑰᓐ) ; (ᒦᓇᐙᔥ) and (ᐃᓂ) Isaac (ᐋᐃᓯᑰᓐ) begat (ᑮᐅᑯᓯᓯ) Jacob (ᒉᑲᐴᓐ) ; (ᒦᓇᐙᔥ) and (ᐃᓂ) Jacob (ᒉᑲᐴᓐ) begat (ᑮᐅᑯᓯᓯ) Judas (NULL) and (ᐃᓂ) his (,) brethren (ᐐᒋᑭᐌᔨᓂ) ; (ᒦᓇᐙᔥ) "
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,"b.MAT.1.3 (b.MAT.1.3) And (ᔑᑾ) Judas (ᒎᑕ) begat (ᑮᐅᑯᓯᓯ) Phares (ᐲᕒᐃᓴᓐ) and (,) Zara (ᐃᓂᐌᓂᐗᐞ) of (NULL) Thamar (ᓰᕒᐋᐗᓐ) ; (᙮) and (,) Phares (ᐲᕒᐃᓴᓐ) begat (ᑮᐅᑯᓯᓯ) Esrom (ᐁᔅᕒᐊᓇᓐ) ; (᙮) and (,) Esrom (ᐁᔅᕒᐊᓇᓐ) begat (ᑮᐅᑯᓯᓯ) Aram (ᐅᕒᐋᒪᓐ) ; (᙮) "
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,"b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (ᐅᕒᐋᒻ) begat (ᐅᑯᓯᓯ) Aminadab (NULL) ; (,) and (ᐃᓂ) Aminadab (NULL) begat (ᐅᑯᓯᓯ) Naasson (NULL) ; (,) and (ᐃᓂ) Naasson (NULL) begat (ᐅᑯᓯᓯ) Salmon (ᓵᓬᒪᓇᓐ) ; (,) "
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (ᓵᓬᒪᓐ) begat (ᐅᑯᓯᓯ) Booz (NULL) of (NULL) Rachab (ᐴᐙᓴᓐ) ; (᙮) and (ᐃᓂ) Booz (NULL) begat (ᐅᑯᓯᓯ) Obed (NULL) of (NULL) Ruth (ᐅᒫᒫᓐ) ; (᙮) and (ᐃᓂ) Obed (NULL) begat (ᐅᑯᓯᓯ) Jesse (ᒉᓯᐗᓐ) ; (᙮) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (ᒉᓯ) begat (ᑮᐅᑯᓯᓯ) David (ᑌᐱᑕᓐ) the (ᐃᓂ) king (ᑭᒋᐅᑭᒫᐎᓂᒡ) ; (᙮) and (ᑲᔦ) David (ᑌᐱᑕᓐ) the (ᐃᓂ) king (ᑭᒋᐅᑭᒫᐎᓂᒡ) begat (ᑮᐅᑯᓯᓯ) Solomon (ᔂᓬᐊᒪᓇᓐ) of (᙮) her (ᐃᓂ) that (NULL) had (NULL) been (ᔪᕒᐋᔭ) the (ᐃᓂ) wife (ᐐᐗᓐ) of (᙮) Urias (ᑮᐅᒫᒫ) ; (᙮) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,"b.MAT.1.7 (b.MAT.1.7) And (ᑲᔦ) Solomon (ᔂᓬᐊᒪᓐ) begat (ᐅᑯᓯᓯ) Roboam (ᐅᕒᐄᔭᐴᐗᒨᓐ) ; (,) and (ᐃᓂ) Roboam (ᐅᕒᐄᔭᐴᐗᒨᓐ) begat (ᐅᑯᓯᓯ) Abia (NULL) ; (,) and (ᐃᓂ) Abia (NULL) begat (ᐅᑯᓯᓯ) Asa (ᐁᓴᐗᓐ) ; (,) "
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,"b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (ᐁᓴ) begat (ᐅᑯᓯᓯ) Josaphat (NULL) ; (,) and (ᐃᓂ) Josaphat (NULL) begat (ᐅᑯᓯᓯ) Joram (NULL) ; (,) and (ᐃᓂ) Joram (NULL) begat (ᐅᑯᓯᓯ) Ozias (ᐊᓵᔭᐗᓐ) ; (,) "
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (ᐊᓵᔭ) begat (ᐅᑯᓯᓯ) Joatham (NULL) ; (NULL) and (ᐃᓂ) Joatham (NULL) begat (ᐅᑯᓯᓯ) Achaz (NULL) ; (NULL) and (ᐃᓂ) Achaz (NULL) begat (ᐅᑯᓯᓯ) Ezekias (ᐁᓯᑳᔭᐗᓐ) ; (NULL) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,"b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (ᐁᓯᑳᔭ) begat (ᐅᑯᓯᓯ) Manasses (ᒪᓈᓴᐗᓐ) ; (,) and (ᐃᓂ) Manasses (ᒪᓈᓴᐗᓐ) begat (ᐅᑯᓯᓯ) Amon (ᐋᒪᓇᓐ) ; (,) and (ᐃᓂ) Amon (ᐋᒪᓇᓐ) begat (ᐅᑯᓯᓯ) Josias (ᒍᓵᔭᐗᓐ) ; (,) "
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (ᒍᓵᔭ) begat (ᐅᑯᓯᓯ) Jechonias (ᒉᑲᓈᔭᐗᓐ) and (ᐃᓂ) his (,) brethren (ᐐᒋᑭᐌᔭᐞ) , (,) about (NULL) the (NULL) time (ᐊᐲ) they (ᐃᔅᕒᐃᔭᓬᐃᓂᓂᐗᒃ) were (NULL) carried (NULL) away (ᑳᑮᐃᔑᐎᒋᑲᓂᐎᐙᑯᐸᓀᓐ) to (NULL) Babylon (ᐹᐱᓬᐊᓄᕽ) : (᙮) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (ᑕᔥ) after (ᐊᐲ) they (NULL) were (NULL) brought (ᐃᔑᐎᓂᑣ) to (NULL) Babylon (ᐹᐱᓬᐊᓄᕽ) , (,) Jechonias (ᒉᑲᓈᔭ) begat (ᐅᑯᓯᓯ) Salathiel (ᔑᔮᓬᑏᔭᓬᐊᓐ) ; (᙮) and (NULL) Salathiel (ᔑᔮᓬᑏᔭᓬᐊᓐ) begat (ᐅᑯᓯᓯ) Zorobabel (ᓯᕒᐊᐸᐸᓬᐊᓐ) ; (᙮) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (ᓯᕒᐊᐸᐸᓬ) begat (ᐅᑯᓯᓯ) Abiud (ᐊᐹᔪᑕᓐ) ; (NULL) and (ᐃᓂ) Abiud (ᐊᐹᔪᑕᓐ) begat (ᐅᑯᓯᓯ) Eliakim (ᐃᓬᐋᔭᑭᒪᓐ) ; (NULL) and (ᐃᓂ) Eliakim (ᐃᓬᐋᔭᑭᒪᓐ) begat (ᐅᑯᓯᓯ) Azor (ᐁᓱᕒᐊᓐ) ; (NULL) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,"b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (ᐁᓱᕒ) begat (ᐅᑯᓯᓯ) Sadoc (NULL) ; (,) and (ᐃᓂ) Sadoc (NULL) begat (ᐅᑯᓯᓯ) Achim (NULL) ; (,) and (ᐃᓂ) Achim (NULL) begat (ᐅᑯᓯᓯ) Eliud (ᐃᓬᐋᔪᑕᓐ) ; (,) "
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,"b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (ᐃᓬᐋᔪᑦ) begat (ᐅᑯᓯᓯ) Eleazar (ᐁᓬᐃᐁᓴᕒᐆᓐ) ; (,) and (ᐃᓂ) Eleazar (ᐁᓬᐃᐁᓴᕒᐆᓐ) begat (ᐅᑯᓯᓯ) Matthan (ᒫᑕᓅᓐ) ; (,) and (ᐃᓂ) Matthan (ᒫᑕᓅᓐ) begat (ᐅᑯᓯᓯ) Jacob (ᒉᑲᐴᓐ) ; (,) "
