context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (OTISU) book (msInukIn) of (NULL) the (NULL) generation (iaianke) of (NULL) Jesus (Cisus) Christ (Knayst) , (') the (NULL) son (kwIsmukot) of (NULL) David (pItun) , (') the (NULL) son (kwIsmukot) of (NULL) Abraham (amun) . (;) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (m) begat (okiwosmukon) Isaac (AysIkIn) ; (NULL) and (ipi) Isaac (AysIkIn) begat (okiwosmukon) Jacob (kapIn) ; (NULL) and (ipi) Jacob (kapIn) begat (okiwosmukon) Judas (CotusIn) and (ipi) his (niw) brethren (wikane) ; (NULL) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (IcI) Judas (Cotus) begat (kiwosmukon) Phares (nIsIn) and (ipi) Zara (kao) of (') Thamar (kie) ; (') and (ipi) Phares (nIsIn) begat (kiwosmukon) Esrom (snumIn) ; (') and (ipi) Esrom (snumIn) begat (kiwosmukon) Aram (numIn) ; (') 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (Ipi) Aram (E) begat (kiwosmukon) Aminadab (mInite) ; (') and (NULL) Aminadab (mInite) begat (kiwosmukon) Naasson (NULL) ; (') and (NULL) Naasson (NULL) begat (kiwosmukon) Salmon (Ne) ; (') 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (Ipi) Salmon (Sanmun) begat (kiwosmukon) Booz (Poe) of (NULL) Rachab (niwcI) ; (') and (ipi) Booz (Poe) begat (kiwosmukon) Obed (kaokie) of (NULL) Ruth (icIn) ; (') and (ipi) Obed (kaokie) begat (kiwosmukon) Jesse (siIn) ; (') 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (Ipi) Jesse (Ce) begat (kiwosmukon) David (pItIn) the (NULL) king (kaokumawIt) ; (NULL) and (ipi) David (pItIn) the (NULL) king (kaokumawIt) begat (kiwosmukon) Solomon (Sanumun) of (NULL) her (;) that (') had (NULL) been (kaowiwpninIn) the (NULL) wife (NULL) of (NULL) Urias (Ionaie) ; (NULL) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (Ipi) Solomon (Sanumun) begat (kiwosmukon) Roboam (NopoumIn) ; (NULL) and (NULL) Roboam (NopoumIn) begat (kiwosmukon) Abia (NULL) ; (NULL) and (NULL) Abia (NULL) begat (kiwosmukon) Asa (In) ; (NULL) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (Ipi) Asa (E) begat (kiwosmukon) Josaphat (Cose) ; (') and (ipi) Josaphat (Cose) begat (kiwosmukon) Joram (Cone) ; (') and (ipi) Joram (Cone) begat (kiwosmukon) Ozias (Osaye) ; (') 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (Ipi) Ozias (Osaye) begat (NULL) Joatham (Cote) ; (') and (ipi) Joatham (Cote) begat (NULL) Achaz (E) ; (') and (ipi) Achaz (E) begat (NULL) Ezekias (IsikayusIn) ; (') 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (Ipi) Ezekias (Isikayus) begat (kiwosmukon) Manasses (Me) ; (') and (ipi) Manasses (Me) begat (kiwosmukon) Amon (NULL) ; (') and (ipi) Amon (NULL) begat (kiwosmukon) Josias (CosayusIn) ; (') 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (Ipi) Josias (Cosayus) begat (kiwosmukon) Jechonias (koniasIn) and (ipi) his (iIn) brethren (wikane) , (,) about (NULL) the (NULL) time (ipic) they (NULL) were (') carried (kimacintwa) away (NULL) to (NULL) Babylon (pinun) : (;) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (IcI) after (ntwa) they (NULL) were (kapie) brought (NULL) to (ipI) Babylon (pinun) , (,) Jechonias (konias) begat (kiwosmukon) Salathiel (tie) ; (') and (ipi) Salathiel (tie) begat (kiwosmukon) Zorobabel (Sonope) ; (') "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (Ipi) Zorobabel (Sonope) begat (kiwosmukon) Abiud (ipie) ; (') and (ipi) Abiud (ipie) begat (kiwosmukon) Eliakim (kumIn) ; (') and (ipi) Eliakim (kumIn) begat (kiwosmukon) Azor (sunIn) ; (') 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (Ipi) Azor (E) begat (kiwosmukon) Sadoc (takIn) ; (NULL) and (ipi) Sadoc (takIn) begat (kiwosmukon) Achim (kImIn) ; (NULL) and (ipi) Achim (kImIn) begat (kiwosmukon) Eliud (InayiatIn) ; (NULL) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (Ipi) Eliud (Inayiat) begat (kiwosmukon) Eleazar (Inie) ; (') and (ipi) Eleazar (Inie) begat (kiwosmukon) Matthan (NULL) ; (') and (ipi) Matthan (NULL) begat (kiwosmukon) Jacob (kapIn) ; (') 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (Ipi) Jacob (kap) begat (kiwosmukon) Joseph (CosipIn) the (ni) husband (onape) of (mIn) Mary (Me) , (') of (mIn) whom (o) was (NULL) born (kanikukocIn) Jesus (Cisus) , (') who (kashInkanIt) is (oie) called (NULL) Christ (Knayst) . (.) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,b.MAT.1.17 (b.MAT.1.17) So (NULL) all (cak) the (-) generations (pmatsowunIn) from (iaianke) Abraham (pIne) to (') David (pIt) are (') fourteen (mtatso) generations (pmatsowunIn) ; (w) and (ipi) from (iaianke) David (pIt) until (nash) the (-) carrying (kamacintwa) away (') into (') Babylon (Pe) are (') fourteen (mtatso) generations (pmatsowunIn) ; (w) and (ipi) from (iaianke) the (-) carrying (kamacintwa) away (') into (') Babylon (Pe) unto (NULL) Christ (Knayst) are (') fourteen (mtatso) generations (pmatsowunIn) . (.) 
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (OtIcI) the (ni) birth (KanikIt) of (NULL) Jesus (Cisus) Christ (Knayst) was (NULL) on (') this (otI) wise (ne) : (.) When (NULL) as (') his (NULL) mother (okie) Mary (niIn) was (NULL) espoused (kakishknontwat) to (NULL) Joseph (CosipIn) , (') before (pwamshI) they (NULL) came (kanomkuk) together (ki) , (') she (NULL) was (NULL) found (witike) with (') child (pInoce) of (NULL) the (ni) Holy (NULL) Ghost (okikukIshkwan) . (NULL) "
"b.MAT.1.19 Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) Then (IcI) Joseph (CosipIn) her (NULL) husband (onape) , (,) being (e) a (') just (NULL) man (kimnoshuwe) , (,) and (NULL) not (cowi) willing (ntusi) to (NULL) make (wipwakuke) her (NULL) a (') publick (NULL) example (wipke) , (,) was (') minded (at) to (NULL) put (NULL) her (NULL) away (NULL) privily (kimoc) . (.) "
"b.MAT.1.20 But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost .","b.MAT.1.20 (b.MAT.1.20) But (OtI) while (kwacI) he (NULL) thought (shite) on (') these (') things (ko) , (,) behold (PInI) , (,) the (to) angel (omIshIne) of (') the (to) Lord (mIne) appeared (kinapitum) unto (NULL) him (okikon) in (') a (otusuk) dream (NULL) , (,) saying (otI) , (,) Joseph (Cosip) , (,) thou (kwIsmukwiIn) son (kwtukIn) of (') David (pIt) , (,) fear (NULL) not (NULL) to (NULL) take (ke) unto (NULL) thee (') Mary (Me) thy (NULL) wife (NULL) : (') for (NULL) that (') which (ie) is (') conceived (wiwicIt) in (') her (kiwish) is (') of (') the (to) Holy (ncukot) Ghost (OcipamIn) . (.) "
