context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (NULL) generation (duncu) of (NULL) Jesus (Yesus) Christ (Kristus) , (.) the (NULL) son (NULL) of (NULL) David (Daud) , (.) the (NULL) son (NULL) of (NULL) Abraham (Abraham) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (mpobubu) Isaac (Ishak) ; (:) and (ramo) Isaac (Ishak) begat (mpobubu) Jacob (Yakub) ; (:) and (ramo) Jacob (Yakub) begat (mpobubu) Judas (Yehuda) and (ramo) his (na) brethren (ompi) ; (:) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,"b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Yehuda) begat (mpobubu) Phares (Peres) and (pai) Zara (Zerah) of (NULL) Thamar (Tamar) ; (,) and (pai) Phares (Peres) begat (mpobubu) Esrom (Hezron) ; (,) and (pai) Esrom (Hezron) begat (mpobubu) Aram (Ram) ; (,) "
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Ram) begat (mpobubu) Aminadab (Aminadab) ; (NULL) and (NULL) Aminadab (Aminadab) begat (mpobubu) Naasson (Nahason) ; (NULL) and (NULL) Naasson (Nahason) begat (mpobubu) Salmon (Salmon) ; (NULL) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,"b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmon) begat (mpobubu) Booz (Boas) of (NULL) Rachab (Rahab) ; (,) and (NULL) Booz (Boas) begat (mpobubu) Obed (Obed) of (NULL) Ruth (Rut) ; (,) and (NULL) Obed (Obed) begat (mpobubu) Jesse (Isai) ; (,) "
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isai) begat (mpobubu) David (Daud) the (NULL) king (NULL) ; (.) and (') David (Daud) the (NULL) king (NULL) begat (mpobubu) Solomon (Salomo) of (NULL) her (na) that (NULL) had (na) been (NULL) the (NULL) wife (balu) of (NULL) Urias (Uria) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,"b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomo) begat (mpobubu) Roboam (Rehabeam) ; (,) and (NULL) Roboam (Rehabeam) begat (mpobubu) Abia (Abia) ; (,) and (NULL) Abia (Abia) begat (mpobubu) Asa (Asa) ; (,) "
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,"b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (mpobubu) Josaphat (Yosafat) ; (,) and (NULL) Josaphat (Yosafat) begat (mpobubu) Joram (Yoram) ; (,) and (NULL) Joram (Yoram) begat (mpobubu) Ozias (Uzia) ; (,) "
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,"b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzia) begat (mpobubu) Joatham (Yotam) ; (,) and (NULL) Joatham (Yotam) begat (mpobubu) Achaz (Ahas) ; (,) and (NULL) Achaz (Ahas) begat (mpobubu) Ezekias (Hizkia) ; (,) "
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,"b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Hizkia) begat (mpobubu) Manasses (Manasye) ; (,) and (NULL) Manasses (Manasye) begat (mpobubu) Amon (Amon) ; (,) and (NULL) Amon (Amon) begat (mpobubu) Josias (Yosia) ; (,) "
