context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (Ri) book (NULL) of (mam) the (qui) generation (NULL) of (mam) Jesus (Jesús) Christ (NULL) , (.) the (qui) son (rachalaxic) of (mam) David (David) , (.) the (qui) son (rachalaxic) of (mam) Abraham (Abraham) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (mam) Isaac (Isaac) ; (.) and (tat) Isaac (Isaac) begat (mam) Jacob (Jacob) ; (.) and (tat) Jacob (Jacob) begat (mam) Judas (Judá) and (tat) his (NULL) brethren (rachalal) ; (.) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (Ri) Judas (Judá) begat (are) Phares (Fares) and (xukujeˈ) Zara (Zara) of (ri) Thamar (Tamar) ; (.) and (xukujeˈ) Phares (Fares) begat (are) Esrom (Esrom) ; (.) and (xukujeˈ) Esrom (Esrom) begat (are) Aram (Aram) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (Ri) Aram (Aram) begat (mam) Aminadab (Aminadab) ; (.) and (Ri) Aminadab (Aminadab) begat (mam) Naasson (Naasón) ; (.) and (Ri) Naasson (Naasón) begat (mam) Salmon (Salmón) ; (.) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (Ri) Salmon (Salmón) begat (mam) Booz (NULL) of (mam) Rachab (Ru) ; (.) and (nan) Booz (NULL) begat (mam) Obed (Obed) of (mam) Ruth (Rut) ; (.) and (nan) Obed (Obed) begat (mam) Jesse (Isaí) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (Ri) Jesse (Isaí) begat (mam) David (David) the (nim) king (takanel) ; (.) and (tat) David (David) the (nim) king (takanel) begat (mam) Solomon (Salomón) of (nim) her (chichuˈ) that (ri) had (tat) been (NULL) the (nim) wife (xrixokilaj) of (nim) Urias (Urías) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (Ri) Solomon (Salomón) begat (mam) Roboam (Roboam) ; (.) and (Ri) Roboam (Roboam) begat (mam) Abia (Abías) ; (.) and (Ri) Abia (Abías) begat (mam) Asa (Asa) ; (.) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (Ri) Asa (Asa) begat (mam) Josaphat (Josafat) ; (.) and (Ri) Josaphat (Josafat) begat (mam) Joram (Joram) ; (.) and (Ri) Joram (Joram) begat (mam) Ozias (Uzías) ; (.) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (Ri) Ozias (Uzías) begat (mam) Joatham (Jotam) ; (.) and (Ri) Joatham (Jotam) begat (mam) Achaz (Acaz) ; (.) and (Ri) Achaz (Acaz) begat (mam) Ezekias (Ezequías) ; (.) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (Ri) Ezekias (Ezequías) begat (mam) Manasses (Manasés) ; (.) and (Ri) Manasses (Manasés) begat (mam) Amon (Amón) ; (.) and (Ri) Amon (Amón) begat (mam) Josias (Josías) ; (.) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (Ri) Josias (Josías) begat (mam) Jechonias (Jeconías) and (xukujeˈ) his (NULL) brethren (rachalal) , (.) about (e) the (NULL) time (kˈij) they (NULL) were (xeopan) carried (xecˈam) away (bi) to (tinimit) Babylon (Babilonia) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (tat) after (NULL) they (NULL) were (e) brought (NULL) to (tinimit) Babylon (Babilonia) , (chic) Jechonias (Jeconías) begat (mam) Salathiel (Salatiel) ; (.) and (Ri) Salathiel (Salatiel) begat (mam) Zorobabel (Zorobabel) ; (.) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (Ri) Zorobabel (Zorobabel) begat (mam) Abiud (Abiud) ; (.) and (Ri) Abiud (Abiud) begat (mam) Eliakim (Eliaquim) ; (.) and (Ri) Eliakim (Eliaquim) begat (mam) Azor (Azor) ; (.) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (Ri) Azor (Azor) begat (mam) Sadoc (Sadoc) ; (.) and (Ri) Sadoc (Sadoc) begat (mam) Achim (Aquim) ; (.) and (Ri) Achim (Aquim) begat (mam) Eliud (Eliud) ; (.) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (Ri) Eliud (Eliud) begat (mam) Eleazar (Eleazar) ; (.) and (Ri) Eleazar (Eleazar) begat (mam) Matthan (Matán) ; (.) and (Ri) Matthan (Matán) begat (mam) Jacob (Jacob) ; (.) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (Ri) Jacob (Jacob) begat (are) Joseph (José) the (ru) husband (rachajil) of (ri) Mary (María) , (NULL) of (ri) whom (NULL) was (NULL) born (NULL) Jesus (Jesús) , (NULL) who (NULL) is (NULL) called (cäbix) Christ (Cristo) . (.) "
