context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (e) generation (vitsa) of (NULL) Jesus (Jesus) Christ (Kristoski) , (,) the (e) son (NULL) of (NULL) David (David) , (,) the (e) son (NULL) of (NULL) Abraham (Abraham) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (dat) Isaac (Isaakosko) ; (;) and (NULL) Isaac (Isaakosko) begat (dat) Jacob (Jakovosko) ; (;) and (NULL) Jacob (Jakovosko) begat (dat) Judas (Judasko) and (NULL) his (leske) brethren (phralengo) ; (;) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (O) Judas (Judah) begat (dat) Phares (Pharesko) and (ai) Zara (Zarahosko) of (NULL) Thamar ()) ; (NULL) and (ai) Phares (Pharesko) begat (dat) Esrom (NULL) ; (NULL) and (ai) Esrom (NULL) begat (dat) Aram (Aramosko) ; (NULL) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (O) Aram (Aram) begat (dat) Aminadab (Aminadabosko) ; (;) and (NULL) Aminadab (Aminadabosko) begat (dat) Naasson (Naassonosko) ; (;) and (NULL) Naasson (Naassonosko) begat (dat) Salmon (Salmonosko) ; (;) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (O) Salmon (Salmon) begat (dat) Booz (Boazosko) of (NULL) Rachab (() ; (;) and (NULL) Booz (Boazosko) begat (dat) Obed (Obedosko) of (NULL) Ruth ()) ; (;) and (NULL) Obed (Obedosko) begat (dat) Jesse (Jessesko) ; (;) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (O) Jesse (Jesse) begat (dat) David (Davidosko) the (o) king (amperato) ; (NULL) and (NULL) David (Davidosko) the (o) king (amperato) begat (dat) Solomon (NULL) of (le) her (NULL) that (NULL) had (NULL) been (NULL) the (o) wife (NULL) of (le) Urias (NULL) ; (NULL) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (O) Solomon (Solomon) begat (dat) Roboam (Roboamosko) ; (;) and (NULL) Roboam (Roboamosko) begat (dat) Abia (Abiahosko) ; (;) and (NULL) Abia (Abiahosko) begat (dat) Asa (Asahosko) ; (;) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (O) Asa (Asa) begat (dat) Josaphat (Josaphatosko) ; (;) and (NULL) Josaphat (Josaphatosko) begat (dat) Joram (Joramosko) ; (;) and (NULL) Joram (Joramosko) begat (dat) Ozias (Oziasosko) ; (;) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (O) Ozias (Ozias) begat (dat) Joatham (Joathamosko) ; (;) and (NULL) Joatham (Joathamosko) begat (dat) Achaz (Achazosko) ; (;) and (NULL) Achaz (Achazosko) begat (dat) Ezekias (Ezekiasko) ; (;) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (O) Ezekias (Ezekias) begat (dat) Manasses (Manassesko) ; (;) and (NULL) Manasses (Manassesko) begat (dat) Amon (Amonosko) ; (;) and (NULL) Amon (Amonosko) begat (dat) Josias (Josiasko) ; (;) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (O) Josias (Josias) begat (dat) Jechonias (Jechoniasko) and (ai) his (leske) brethren (phralengo) , (,) about (pe) the (NULL) time (vriama) they (NULL) were (sas) carried (ningerde) away (narodos) to (ande) Babylon (Babylon) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (Kana) after (NULL) they (NULL) were (sas) brought (NULL) to (ande) Babylon (Babylon) , (,) Jechonias (Jechonias) begat (dat) Salathiel (Salathielosko) ; (;) and (NULL) Salathiel (Salathielosko) begat (dat) Zorobabel (Zorobabelosko) ; (;) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (O) Zorobabel (Zorobabel) begat (dat) Abiud (Abuidosko) ; (;) and (NULL) Abiud (Abuidosko) begat (dat) Eliakim (Eliakimosko) ; (;) and (NULL) Eliakim (Eliakimosko) begat (dat) Azor (Azorosko) ; (;) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (O) Azor (Azor) begat (dat) Sadoc (Zadocobosko) ; (;) and (NULL) Sadoc (Zadocobosko) begat (dat) Achim (Achimosko) ; (;) and (NULL) Achim (Achimosko) begat (dat) Eliud (Eliudosko) ; (;) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (O) Eliud (Eliud) begat (dat) Eleazar (Eleazarosko) ; (;) and (NULL) Eleazar (Eleazarosko) begat (dat) Matthan (Matthanosko) ; (;) and (NULL) Matthan (Matthanosko) begat (dat) Jacob (Jacobosko) ; (;) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (O) Jacob (Jacob) begat (dat) Joseph (NULL) the (o) husband (rhom) of (la) Mary (Josephosko) , (,) of (la) whom (kastar) was (NULL) born (biandilo) Jesus (Jesus) , (,) who (kai) is (NULL) called (akharen) Christ (Kristo) . (.) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,"b.MAT.1.17 (b.MAT.1.17) So (NULL) all (Sa) the (le) generations (vitsi) from (katar) Abraham (Abraham) to (ka) David (David) are (NULL) fourteen (shtar) generations (vitsi) ; (,) and (ai) from (katar) David (David) until (zhi) the (le) carrying (vriama) away (ningerde) into (ande) Babylon (Babylon) are (NULL) fourteen (shtar) generations (vitsi) ; (,) and (ai) from (katar) the (le) carrying (vriama) away (ningerde) into (ande) Babylon (Babylon) unto (zhi) Christ (Kristo) are (NULL) fourteen (shtar) generations (vitsi) . (.) "
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (NULL) the (NULL) birth (arakhadilo) of (NULL) Jesus (Jesus) Christ (Kristo) was (NULL) on (NULL) this (NULL) wise (NULL) : (.) When (NULL) as (sar) his (leski) mother (dei) Mary (Maria) was (NULL) espoused (tomnime) to (ka) Joseph (Josef) , (,) before (anglal) they (NULL) came (traiin) together (than) , (,) she (NULL) was (NULL) found (ashili) with (NULL) child (phari) of (NULL) the (NULL) Holy (Swuntone) Ghost (Duxoski) . (.) "
