context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (arra) of (n) the (NULL) generation (NULL) of (n) Jesus (yasuɛ) Christ (lmasih) , (NULL) the (NULL) son (yus) of (n) David (dawd) , (NULL) the (NULL) son (yus) of (n) Abraham (ibrahim) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (ibrahim) begat (yuru) Isaac (ish) ; (.) and (NULL) Isaac (ish) begat (yuru) Jacob (yaɛqub) ; (.) and (NULL) Jacob (yaɛqub) begat (yuru) Judas (yahuda) and (NULL) his (NULL) brethren (aytmas) ; (.) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (yahuda) begat (yuru) Phares (faris) and (d) Zara (zarah) of (innatsn) Thamar ()) ; (.) and (d) Phares (faris) begat (yuru) Esrom (run) ; (.) and (d) Esrom (run) begat (yuru) Aram (aram) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,"b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (aram) begat (yuru) Aminadab (ɛamminadab) ; (,) and (NULL) Aminadab (ɛamminadab) begat (yuru) Naasson (šun) ; (,) and (NULL) Naasson (šun) begat (yuru) Salmon (salmun) ; (,) "
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (salmun) begat (yuru) Booz (buɛaz) of (tga) Rachab (rah) ; (.) and (NULL) Booz (buɛaz) begat (yuru) Obed (ɛubid) of (tga) Ruth (raɛut) ; (.) and (NULL) Obed (ɛubid) begat (yuru) Jesse (yassa) ; (.) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (yassa) begat (yuru) David (NULL) the (NULL) king (agllid) ; (.) and (NULL) David (NULL) the (NULL) king (agllid) begat (yuru) Solomon (suliman) of (n) her (tamg) that (-) had (ttin) been (NULL) the (NULL) wife (art) of (n) Urias (urriyya) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,"b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (suliman) begat (yuru) Roboam (bɛam) ; (,) and (NULL) Roboam (bɛam) begat (yuru) Abia (abiyya) ; (,) and (NULL) Abia (abiyya) begat (yuru) Asa (asa) ; (,) "
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,"b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (asa) begat (yuru) Josaphat (yahušafat) ; (,) and (NULL) Josaphat (yahušafat) begat (yuru) Joram (yuram) ; (,) and (NULL) Joram (yuram) begat (yuru) Ozias (ɛuzziyya) ; (,) "
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,"b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (ɛuzziyya) begat (yuru) Joatham (yutam) ; (,) and (NULL) Joatham (yutam) begat (yuru) Achaz (az) ; (,) and (NULL) Achaz (az) begat (yuru) Ezekias (azqiyya) ; (,) "
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,"b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (azqiyya) begat (yuru) Manasses (manassa) ; (,) and (NULL) Manasses (manassa) begat (yuru) Amon (amun) ; (,) and (NULL) Amon (amun) begat (yuru) Josias (yušiyya) ; (,) "
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (yušiyya) begat (yuru) Jechonias (yakuniyya) and (d) his (NULL) brethren (aytmas) , (NULL) about (NULL) the (ayt) time (g) they (nkrn) were (NULL) carried (awin) away (NULL) to (s) Babylon (babil) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (NULL) after (tigira) they (tn) were (NULL) brought (NULL) to (s) Babylon (babil) , (NULL) Jechonias (yakuniyya) begat (yuru) Salathiel (šaltil) ; (,) and (NULL) Salathiel (šaltil) begat (yuru) Zorobabel (zarubbabil) ; (,) "
