context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (ܟܬܒܐ) of (NULL) the (NULL) generation (ܕܝܠܝܕܘܬܗ) of (NULL) Jesus (ܕܝܫܘܥ) Christ (ܡܫܝܚܐ) , (NULL) the (NULL) son (ܒܪܗ) of (NULL) David (ܕܕܘܝܕ) , (NULL) the (NULL) son (ܒܪܗ) of (NULL) Abraham (ܕܐܒܪܗܡ) . (NULL) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (ܐܒܪܗܡ) begat (ܐܘܠܕ) Isaac (ܠܐܝܤܚܩ) ; (NULL) and (NULL) Isaac (ܠܐܝܤܚܩ) begat (ܐܘܠܕ) Jacob (ܠܝܥܩܘܒ) ; (NULL) and (NULL) Jacob (ܠܝܥܩܘܒ) begat (ܐܘܠܕ) Judas (ܠܝܗܘܕܐ) and (NULL) his (NULL) brethren (ܘܠܐܚܘܗܝ) ; (NULL) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (ܝܗܘܕܐ) begat (ܐܘܠܕ) Phares (ܠܦܪܨ) and (NULL) Zara (ܘܠܙܪܚ) of (ܡܢ) Thamar (ܬܡܪ) ; (NULL) and (NULL) Phares (ܠܦܪܨ) begat (ܐܘܠܕ) Esrom (ܠܚܨܪܘܢ) ; (NULL) and (NULL) Esrom (ܠܚܨܪܘܢ) begat (ܐܘܠܕ) Aram (ܠܐܪܡ) ; (NULL) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (ܐܪܡ) begat (ܐܘܠܕ) Aminadab (ܠܥܡܝܢܕܒ) ; (NULL) and (NULL) Aminadab (ܠܥܡܝܢܕܒ) begat (ܐܘܠܕ) Naasson (ܠܢܚܫܘܢ) ; (NULL) and (NULL) Naasson (ܠܢܚܫܘܢ) begat (ܐܘܠܕ) Salmon (ܠܤܠܡܘܢ) ; (NULL) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (ܤܠܡܘܢ) begat (ܐܘܠܕ) Booz (ܠܒܥܙ) of (ܡܢ) Rachab (ܪܚܒ) ; (NULL) and (NULL) Booz (ܠܒܥܙ) begat (ܐܘܠܕ) Obed (ܠܥܘܒܝܕ) of (ܡܢ) Ruth (ܪܥܘܬ) ; (NULL) and (NULL) Obed (ܠܥܘܒܝܕ) begat (ܐܘܠܕ) Jesse (ܠܐܝܫܝ) ; (NULL) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (ܐܝܫܝ) begat (ܐܘܠܕ) David (ܠܕܘܝܕ) the (NULL) king (ܡܠܟܐ) ; (NULL) and (NULL) David (ܠܕܘܝܕ) the (NULL) king (ܡܠܟܐ) begat (ܐܘܠܕ) Solomon (ܠܫܠܝܡܘܢ) of (ܡܢ) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (ܐܢܬܬܗ) of (ܡܢ) Urias (ܕܐܘܪܝܐ) ; (NULL) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (ܫܠܝܡܘܢ) begat (ܐܘܠܕ) Roboam (ܠܪܚܒܥܡ) ; (NULL) and (NULL) Roboam (ܠܪܚܒܥܡ) begat (ܐܘܠܕ) Abia (ܠܐܒܝܐ) ; (NULL) and (NULL) Abia (ܠܐܒܝܐ) begat (ܐܘܠܕ) Asa (ܠܐܤܐ) ; (NULL) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (ܐܤܐ) begat (ܐܘܠܕ) Josaphat (ܠܝܗܘܫܦܛ) ; (NULL) and (NULL) Josaphat (ܠܝܗܘܫܦܛ) begat (ܐܘܠܕ) Joram (ܠܝܘܪܡ) ; (NULL) and (NULL) Joram (ܠܝܘܪܡ) begat (ܐܘܠܕ) Ozias (ܠܥܘܙܝܐ) ; (NULL) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (ܥܘܙܝܐ) begat (ܐܘܠܕ) Joatham (ܠܝܘܬܡ) ; (NULL) and (NULL) Joatham (ܠܝܘܬܡ) begat (ܐܘܠܕ) Achaz (ܠܐܚܙ) ; (NULL) and (NULL) Achaz (ܠܐܚܙ) begat (ܐܘܠܕ) Ezekias (ܠܚܙܩܝܐ) ; (NULL) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (ܚܙܩܝܐ) begat (ܐܘܠܕ) Manasses (ܠܡܢܫܐ) ; (NULL) and (NULL) Manasses (ܠܡܢܫܐ) begat (ܐܘܠܕ) Amon (ܠܐܡܘܢ) ; (NULL) and (NULL) Amon (ܠܐܡܘܢ) begat (ܐܘܠܕ) Josias (ܠܝܘܫܝܐ) ; (NULL) 
