context,targ
"b.GEN.1.2 And the earth was without form , and void ; and darkness was upon the face of the deep . And the Spirit of God moved upon the face of the waters .","b.GEN.1.2 (b.GEN.1.2) And (NULL) the (win) earth (adal) was (iga) without (waliyyat) form (təməwit) , (,) and (NULL) void (əlsan) ; (,) and (NULL) darkness (šiyyay) was (iga) upon (fəl) the (win) face (NULL) of (n) the (win) deep (NULL) . (.) And (NULL) the (win) Spirit (fas) of (n) God (Məššina) moved (ollay) upon (fəl) the (win) face (NULL) of (n) the (win) waters (am) . (.) "
"b.GEN.1.3 And God said , Let there be light : and there was light .","b.GEN.1.3 (b.GEN.1.3) And (In) God (Məššina) said («) , (,) Let (̣) there (NULL) be (NULL) light (ur) : (NULL) and (Təzzar) there (NULL) was (NULL) light (ur) . (») "
"b.GEN.1.4 And God saw the light , that it was good : and God divided the light from the darkness .","b.GEN.1.4 (b.GEN.1.4) And (NULL) God (Məššina) saw (Inay) the (n) light (ur) , (im) that (arat) it (NULL) was (os) good (olaɣan) : (,) and (təzzar) God (Məššina) divided (izammazzay) the (n) light (ur) from (NULL) the (n) darkness (šiyyay) . (.) "
"b.GEN.1.5 And God called the light Day , and the darkness he called Night . And the evening and the morning were the first day .","b.GEN.1.5 (b.GEN.1.5) And (NULL) God (Məššina) called (es) the (y) light (ur) Day (ehad) , (,) and (amaran) the (y) darkness (šiyyay) he (NULL) called (es) Night (ezal) . (NULL) And (NULL) the (y) evening (ahad) and (amaran) the (y) morning (tifawt) were (NULL) the (y) first (azzaran) day (əzəl) . (NULL) "
"b.GEN.1.6 And God said , Let there be a firmament in the midst of the waters , and let it divide the waters from the waters .","b.GEN.1.6 (b.GEN.1.6) And (In) God (Məššina) said («) , (:) Let (NULL) there (NULL) be (z) a (NULL) firmament (aɣarɣar) in (NULL) the (NULL) midst (Iməlet) of (NULL) the (NULL) waters (NULL) , (:) and (NULL) let (NULL) it (az) divide (izəmməzzəyan) the (NULL) waters (NULL) from (NULL) the (NULL) waters (NULL) . (.) "
"b.GEN.1.7 And God made the firmament , and divided the waters which were under the firmament from the waters which were above the firmament : and it was so .","b.GEN.1.7 (b.GEN.1.7) And (Təzzar) God (Məššina) made (iga) the (NULL) firmament (aɣarɣar) , (NULL) and (NULL) divided (izammazzay) the (NULL) waters (am) which (win) were (əllanen) under (daw) the (NULL) firmament (aɣarɣar) from (NULL) the (NULL) waters (am) which (win) were (əllanen) above (afalla) the (NULL) firmament (aɣarɣar) : (NULL) and (NULL) it (NULL) was (wen) so (da) . (NULL) "
b.GEN.1.8 And God called the firmament Heaven . And the evening and the morning were the second day .,"b.GEN.1.8 (b.GEN.1.8) And (NULL) God (Məššina) called (es) the (y) firmament (aɣarɣar) Heaven (ijənnawan) . (.) And (NULL) the (y) evening (ahad) and (,) the (y) morning (təga) were (NULL) the (y) second (əššin) day (əzəl) . (.) "
"b.GEN.1.9 And God said , Let the waters under the heaven be gathered together unto one place , and let the dry land appear : and it was so .","b.GEN.1.9 (b.GEN.1.9) And (In) God (Məššina) said («) , (:) Let (Am) the (NULL) waters (an) under (daw) the (NULL) heaven (jənnawan) be (NULL) gathered (iddawanet) together (NULL) unto (NULL) one (iyyanda) place (edagg) , (:) and (d) let (ad) the (NULL) dry (iqquran) land (əggəzan) appear (inəfiləl) : (NULL) and (d) it (NULL) was (wen) so (da) . (») "
b.GEN.1.10 And God called the dry land Earth ; and the gathering together of the waters called he Seas : and God saw that it was good .,b.GEN.1.10 (b.GEN.1.10) And (NULL) God (Məššina) called (es) the (y) dry (iqquran) land (adal) Earth (adag) ; (əm) and (NULL) the (y) gathering (adag) together (əddewan) of (NULL) the (y) waters (am) called (es) he (iga) Seas (igərwan) : (.) and (NULL) God (Məššina) saw (Inay) that (arat) it (NULL) was (NULL) good (olaɣ) . (.) 
"b.GEN.1.11 And God said , Let the earth bring forth grass , the herb yielding seed , and the fruit tree yielding fruit after his kind , whose seed is in itself , upon the earth : and it was so .","b.GEN.1.11 (b.GEN.1.11) And (Təzzar) God (NULL) said («) , (:) Let (Am) the (NULL) earth (adal) bring (təwəret) forth (-) grass (taddalət) , (:) the (NULL) herb (yel) yielding (ilan) seed (asa) , (:) and (əd) the (NULL) fruit (aratan) tree (eškan) yielding (ilan) fruit (aratan) after (rawan) his (NULL) kind (NULL) , (:) whose (təgat) seed (asa) is (NULL) in (NULL) itself (nasan) , (:) upon (NULL) the (NULL) earth (adal) : (NULL) and (əd) it (NULL) was (wen) so (da) . (») "
"b.GEN.1.12 And the earth brought forth grass , and herb yielding seed after his kind , and the tree yielding fruit , whose seed was in itself , after his kind : and God saw that it was good .","b.GEN.1.12 (b.GEN.1.12) And (̣) the (am) earth (adal) brought (NULL) forth (du) grass (taddalət) , (NULL) and (NULL) herb (yel) yielding (ilan) seed (asa) after (rawan) his (NULL) kind (NULL) , (NULL) and (NULL) the (am) tree (eškan) yielding (ilan) fruit (ətarawnen) , (NULL) whose (təgat) seed (asa) was (NULL) in (daɣ) itself (asa) , (NULL) after (rawan) his (NULL) kind (NULL) : (.) and (NULL) God (Məššina) saw (Inay) that (arat) it (NULL) was (NULL) good (olaɣ) . (.) "
b.GEN.1.13 And the evening and the morning were the third day .,"b.GEN.1.13 (b.GEN.1.13) And (Ig) the (NULL) evening (ahad) and (,) the (NULL) morning (təga) were (NULL) the (NULL) third (karad) day (əzəl) . (.) "
