context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (jbˈijak) of (NULL) the (yak) generation (jmam) of (NULL) Jesus (Kakaj) Christ (Jesucristo) , (ri) the (yak) son (NULL) of (NULL) David (David) , (ri) the (yak) son (NULL) of (NULL) Abraham (Abraham) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,"b.MAT.1.2 (b.MAT.1.2) Abraham (Abraham) begat (jkaj) Isaac (Isaac) ; (,) and (NULL) Isaac (Isaac) begat (jkaj) Jacob (Jacob) ; (,) and (NULL) Jacob (Jacob) begat (jkaj) Judas (NULL) and (NULL) his (yak) brethren (ratz) ; (,) "
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (NULL) begat (NULL) Phares (Fares) and (pach) Zara (Zara) of (NULL) Thamar (Tamar) ; (.) and (pach) Phares (Fares) begat (NULL) Esrom (Esrom) ; (.) and (pach) Esrom (Esrom) begat (NULL) Aram (Aram) ; (.) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,"b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (jkaj) Aminadab (Aminadab) ; (,) and (NULL) Aminadab (Aminadab) begat (jkaj) Naasson (Naasón) ; (,) and (NULL) Naasson (Naasón) begat (jkaj) Salmon (Salmón) ; (,) "
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,"b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmón) begat (jkaj) Booz (Booz) of (NULL) Rachab (Rahab) ; (,) and (y) Booz (Booz) begat (jkaj) Obed (Obed) of (NULL) Ruth (Rut) ; (,) and (y) Obed (Obed) begat (jkaj) Jesse (Isaí) ; (,) "
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,"b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isaí) begat (jkaj) David (David) the (NULL) king (rey) ; (,) and (y) David (David) the (NULL) king (rey) begat (jkaj) Solomon (Salomón) of (ri) her (anm) that (ri) had (NULL) been (NULL) the (NULL) wife (rixokl) of (ri) Urias (Urías) ; (,) "
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,"b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Salomón) begat (jkaj) Roboam (Roboam) ; (,) and (NULL) Roboam (Roboam) begat (jkaj) Abia (Abías) ; (,) and (NULL) Abia (Abías) begat (jkaj) Asa (Asa) ; (,) "
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,"b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asa) begat (jkaj) Josaphat (Josafat) ; (,) and (NULL) Josaphat (Josafat) begat (jkaj) Joram (Joram) ; (,) and (NULL) Joram (Joram) begat (jkaj) Ozias (Uzías) ; (,) "
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,"b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Uzías) begat (jkaj) Joatham (Jotam) ; (,) and (NULL) Joatham (Jotam) begat (jkaj) Achaz (Acaz) ; (,) and (NULL) Achaz (Acaz) begat (jkaj) Ezekias (Ezequías) ; (,) "
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,"b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Ezequías) begat (jkaj) Manasses (Manasés) ; (,) and (NULL) Manasses (Manasés) begat (jkaj) Amon (Amón) ; (,) and (NULL) Amon (Amón) begat (jkaj) Josias (Josías) ; (,) "
