context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (maxaafaa) of (NULL) the (NULL) generation (yeletaa) of (NULL) Jesus (Yesuus) Christ (Kiristtoosa) , (NULL) the (NULL) son (NULL) of (NULL) David (Daawita) , (NULL) the (NULL) son (NULL) of (NULL) Abraham (Abrahaama) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Abrahaami) begat (yeliis) Isaac (Yisaaqa) ; (;) and (NULL) Isaac (Yisaaqa) begat (yeliis) Jacob (Yaaqooba) ; (;) and (NULL) Jacob (Yaaqooba) begat (yeliis) Judas (Yihudaanne) and (NULL) his (a) brethren (ishantta) ; (;) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Yihudai) begat (yeliis) Phares (Ti7imaaro) and (NULL) Zara (Paareesanne) of (NULL) Thamar (Zaraaha) ; (;) and (NULL) Phares (Ti7imaaro) begat (yeliis) Esrom (Hexiroona) ; (;) and (NULL) Esrom (Hexiroona) begat (yeliis) Aram (Raama) ; (;) 
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Raami) begat (yeliis) Aminadab (Aminadaaba) ; (;) and (NULL) Aminadab (Aminadaaba) begat (yeliis) Naasson (Na7asoona) ; (;) and (NULL) Naasson (Na7asoona) begat (yeliis) Salmon (Na7asooni) ; (;) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Ra7aabo) begat (yeliis) Booz (Boo7eeza) of (NULL) Rachab (maccaaseeppe) ; (;) and (NULL) Booz (Boo7eeza) begat (yeliis) Obed (Yobeeda) of (NULL) Ruth (Uruto) ; (;) and (NULL) Obed (Yobeeda) begat (yeliis) Jesse (Isseya) ; (;) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (Isseyi) begat (yeliis) David (Daawita) the (NULL) king (Kawuwaa) ; (.) and (NULL) David (Daawita) the (NULL) king (Kawuwaa) begat (yeliis) Solomon (Solomona) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (machchiyo) of (NULL) Urias (Ooriyoona) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Solomoni) begat (yeliis) Roboam (Robi7aama) ; (;) and (NULL) Roboam (Robi7aama) begat (yeliis) Abia (Abiiya) ; (;) and (NULL) Abia (Abiiya) begat (yeliis) Asa (Asaafa) ; (;) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asaafi) begat (yeliis) Josaphat (Yoosaafixa) ; (;) and (NULL) Josaphat (Yoosaafixa) begat (yeliis) Joram (Yoraama) ; (;) and (NULL) Joram (Yoraama) begat (yeliis) Ozias (Ooziyaana) ; (;) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Ooziyaani) begat (yeliis) Joatham (Yo7aataama) ; (;) and (NULL) Joatham (Yo7aataama) begat (yeliis) Achaz (Akaaza) ; (;) and (NULL) Achaz (Akaaza) begat (yeliis) Ezekias (Hizqqiyaasa) ; (;) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Hizqqiyaasi) begat (yeliis) Manasses (Minaasa) ; (;) and (NULL) Manasses (Minaasa) begat (yeliis) Amon (Amoona) ; (;) and (NULL) Amon (Amoona) begat (yeliis) Josias (Yoosiyaasa) ; (;) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Yoosiyaasi) begat (yeliis) Jechonias (NULL) and (NULL) his (a) brethren (ishantta) , (,) about (NULL) the (NULL) time (wode) they (asai) were (NULL) carried (Yo7aakiinanne) away (omoodettidi) to (,) Babylon (Baabiloone) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (NULL) after (guyyiyan) they (Asai) were (NULL) brought (omoodetti) to (NULL) Babylon (Baabiloone) , (,) Jechonias (Yo7aakiini) begat (yeliis) Salathiel (Salaatiyaala) ; (;) and (NULL) Salathiel (Salaatiyaala) begat (yeliis) Zorobabel (Zarubaabeela) ; (;) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (Zarubaabeeli) begat (yeliis) Abiud (Abiyuuda) ; (;) and (NULL) Abiud (Abiyuuda) begat (yeliis) Eliakim (Eliyaaqiima) ; (;) and (NULL) Eliakim (Eliyaaqiima) begat (yeliis) Azor (Azoora) ; (;) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Azoori) begat (yeliis) Sadoc (Xaadooqa) ; (;) and (NULL) Sadoc (Xaadooqa) begat (yeliis) Achim (Akiima) ; (;) and (NULL) Achim (Akiima) begat (yeliis) Eliud (Eliyuuda) ; (;) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Eliyuudi) begat (yeliis) Eleazar (El77aazara) ; (;) and (NULL) Eleazar (El77aazara) begat (yeliis) Matthan (Maataana) ; (;) and (NULL) Matthan (Maataana) begat (yeliis) Jacob (Yaaqooba) ; (;) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Yaaqoobi) begat (yeliis) Joseph (Yooseefa) the (NULL) husband (azinaa) of (NULL) Mary (Mairaami) , (NULL) of (NULL) whom (NULL) was (NULL) born (NULL) Jesus (Yesuusa) , (NULL) who (yelida) is (NULL) called (giyo) Christ (Kiristtoosa) . (.) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,"b.MAT.1.17 (b.MAT.1.17) So (Hegaa) all (ubbai) the (NULL) generations (NULL) from (,) Abraham (Abrahaamappe) to (NULL) David (Daawita) are (NULL) fourteen (tammanne) generations (NULL) ; (;) and (NULL) from (,) David (Daawita) until (gakkanaassi) the (NULL) carrying (NULL) away (omoodettidi) into (biitti) Babylon (Baabiloone) are (NULL) fourteen (tammanne) generations (NULL) ; (;) and (NULL) from (,) the (NULL) carrying (NULL) away (omoodettidi) into (biitti) Babylon (Baabiloone) unto (NULL) Christ (Kiristtoosi) are (NULL) fourteen (tammanne) generations (NULL) . (.) "
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (NULL) the (he) birth (yeletai) of (NULL) Jesus (Yesuus) Christ (Kiristtoosa) was (;) on (NULL) this (hagaa) wise (NULL) : (;) When (wode) as (mala) his (a) mother (aayyiyaa) Mary (Mairaama) was (;) espoused (giigaasu) to (NULL) Joseph (Yooseefayyo) , (,) before (NULL) they (NULL) came (gaittennan) together (NULL) , (,) she (shahaaraasu) was (;) found (NULL) with (NULL) child (Yooseefaara) of (NULL) the (he) Holy (Geeshsha) Ghost (NULL) . (.) "
"b.MAT.1.19 Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) Then (O) Joseph (Yooseefi) her (NULL) husband (NULL) , (,) being (gididaagee) a (NULL) just (xillo) man (asa) , (,) and (NULL) not (NULL) willing (NULL) to (NULL) make (kaushshanau) her (NULL) a (NULL) publick (koyibeenna) example (qonccissennan) , (,) was (;) minded (ibaa) to (NULL) put (NULL) her (NULL) away (aggi) privily (bayanau) . (.) "
"b.MAT.1.20 But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost .","b.MAT.1.20 (b.MAT.1.20) But (SHin) while (NULL) he (i) thought (qoppishin) on (NULL) these (hegaa) things (NULL) , (,) behold (NULL) , (,) the (NULL) angel (kiitanchchai) of (NULL) the (NULL) Lord (Godaa) appeared (gaittidi) unto (NULL) him (aara) in (NULL) a (NULL) dream (aimuwan) , (,) saying (“) , (,) Joseph (NULL) , (,) thou (na7au) son (NULL) of (NULL) David (Daawita) , (,) fear (NULL) not (NULL) to (NULL) take (Ayyaanau) unto (NULL) thee (Yooseefaa) Mary (Mairaama) thy (NULL) wife (NULL) : (NULL) for (gishshau) that (NULL) which (NULL) is (NULL) conceived (shahaarido) in (NULL) her (o) is (NULL) of (NULL) the (NULL) Holy (Geeshsha) Ghost (NULL) . (.) "
"b.MAT.1.21 And she shall bring forth a son , and thou shalt call his name JESUS : for he shall save his people from their sins .","b.MAT.1.21 (b.MAT.1.21) And (NULL) she (a) shall (;) bring (yelana) forth (NULL) a (NULL) son (na7a) , (NULL) and (qassi) thou (neeni) shalt (NULL) call (sunttana) his (a) name (NULL) JESUS (Yesuusa) : (NULL) for (giikko) he (i) shall (;) save (ashshana) his (a) people (asaa) from (NULL) their (eta) sins (nagaraappe) . (.) "
"b.MAT.1.22 Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying ,","b.MAT.1.22 (b.MAT.1.22) Now (Qassi) all (ubbai) this (hagee) was (;) done (haniis) , (.) that (NULL) it (giyoogaa) might (mala) be (polettana) fulfilled (giidoogee) which (giyoogee) was (;) spoken (Geela7iyaa) of (NULL) the (NULL) Lord (Godai) by (baggaara) the (NULL) prophet (yootiyaagaa) , (.) saying (“) , (.) "
"b.MAT.1.24 Then Joseph being raised from sleep did as the angel of the Lord had bidden him , and took unto him his wife :","b.MAT.1.24 (b.MAT.1.24) Then (NULL) Joseph (Yooseefi) being (NULL) raised (NULL) from (,) sleep (xiskkuwaappe) did (beegottidi) as (NULL) the (NULL) angel (kiitanchchai) of (NULL) the (NULL) Lord (Godaa) had (NULL) bidden (azazidoogaadan) him (bana) , (,) and (NULL) took (efiis) unto (NULL) him (bana) his (NULL) wife (NULL) : (.) "
b.MAT.1.25 And knew her not till she had brought forth her firstborn son : and he called his name JESUS .,b.MAT.1.25 (b.MAT.1.25) And (NULL) knew (NULL) her (NULL) not (NULL) till (gakkanaassi) she (a) had (NULL) brought (NULL) forth (bochchibeenna) her (NULL) firstborn (baira) son (na7aa) : (;) and (qassi) he (NULL) called (giidi) his (Yesuusa) name (NULL) JESUS (sunttiis) . (.) 
"b.MAT.2.1 Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king , behold , there came wise men from the east to Jerusalem ,","b.MAT.2.1 (b.MAT.2.1) Now (NULL) when (guyyiyan) Jesus (Yesuusi) was (kataman) born (yelettiis) in (NULL) Bethlehem (Beetaliheeme) of (NULL) Judaea (Yihudaa) in (NULL) the (NULL) days (wode) of (NULL) Herod (Heeroodisi) the (NULL) king (kawotidi) , (,) behold (NULL) , (,) there (paidiya) came (yiidi) wise (baggappe) men (asati) from (hegaappe) the (NULL) east (arshsho) to (NULL) Jerusalem (Yerusalaame) , (,) "
"b.MAT.2.2 Saying , Where is he that is born King of the Jews ? for we have seen his star in the east , and are come to worship him .","b.MAT.2.2 (b.MAT.2.2) Saying (“) , (NULL) Where (awan) is (NULL) he (NULL) that (NULL) is (NULL) born (yelettida) King (kawo) of (NULL) the (NULL) Jews (Aihuda) ? (?) for (giikko) we (nuuni) have (NULL) seen (kiyida) his (a) star (xoolinttiyaa) in (baggaara) the (NULL) east (arshsho) , (NULL) and (NULL) are (NULL) come (,) to (NULL) worship (goinnanau) him (ayyo) . (.) "
"b.MAT.2.3 When Herod the king had heard these things , he was troubled , and all Jerusalem with him .","b.MAT.2.3 (b.MAT.2.3) When (NULL) Herod (Heeroodisi) the (NULL) king (Kawoi) had (,) heard (siyidi) these (hegaa) things (NULL) , (NULL) he (NULL) was (NULL) troubled (dagammiis) , (NULL) and (NULL) all (ubbaikka) Jerusalem (Yerusalaamen) with (dagammiis) him (NULL) . (.) "
"b.MAT.2.4 And when he had gathered all the chief priests and scribes of the people together , he demanded of them where Christ should be born .","b.MAT.2.4 (b.MAT.2.4) And (NULL) when (NULL) he (NULL) had (NULL) gathered (ubbatanne) all (NULL) the (NULL) chief (halaqata) priests (qeese) and (NULL) scribes (higgiyaa) of (NULL) the (NULL) people (NULL) together (NULL) , (,) he (NULL) demanded (yelettanddeeshsha) of (NULL) them (NULL) where (awan) Christ (Kiristtoosi) should (NULL) be (NULL) born (NULL) . (.) "
"b.MAT.2.5 And they said unto him , In Bethlehem of Judaea : for thus it is written by the prophet ,","b.MAT.2.5 (b.MAT.2.5) And (Oichchin) they (eti) said (“) unto (,) him (zaaridi) , (.) In (NULL) Bethlehem (Beetaliheeme) of (,) Judaea (Yihudaa) : (.) for (giikko) thus (giidi) it (NULL) is (NULL) written (Beetaliheemee) by (,) the (de7iya) prophet (yootiyaagee) , (.) "
"b.MAT.2.7 Then Herod , when he had privily called the wise men , inquired of them diligently what time the star appeared .","b.MAT.2.7 (b.MAT.2.7) Then (Hegaappe) Herod (Heeroodisi) , (,) when (NULL) he (NULL) had (guyyiyan) privily (geeman) called (xeesidi) the (NULL) wise (baggappe) men (asata) , (,) inquired (NULL) of (NULL) them (etau) diligently (NULL) what (NULL) time (wodiyaa) the (NULL) star (xoolinttee) appeared (beettido) . (.) "
"b.MAT.2.8 And he sent them to Bethlehem , and said , Go and search diligently for the young child ; and when ye have found him , bring me word again , that I may come and worship him also .","b.MAT.2.8 (b.MAT.2.8) And (NULL) he (NULL) sent (yeddiiddi) them (eta) to (NULL) Bethlehem (Beetaliheeme) , (,) and (NULL) said (“) , (,) Go (Biidi) and (NULL) search (koyite) diligently (NULL) for (NULL) the (NULL) young (NULL) child (na7aa) ; (;) and (NULL) when (wode) ye (NULL) have (”) found (demmido) him (a) , (,) bring (erissite) me (tana) word (NULL) again (NULL) , (,) that (NULL) I (taanikka) may (,) come (baada) and (NULL) worship (goinnanaadan) him (a) also (NULL) . (.) "
"b.MAT.2.9 When they had heard the king , they departed ; and , lo , the star , which they saw in the east , went before them , till it came and stood over where the young child was .","b.MAT.2.9 (b.MAT.2.9) When (NULL) they (Eti) had (NULL) heard (siyidi) the (NULL) king (kawoi) , (NULL) they (Eti) departed (biidosona) ; (;) and (NULL) , (NULL) lo (NULL) , (NULL) the (NULL) star (xoolinttiyaa) , (NULL) which (NULL) they (Eti) saw (be7ido) in (baggaara) the (NULL) east (arshsho) , (NULL) went (NULL) before (kase) them (eta) , (NULL) till (gakkanaassi) it (he) came (biiddi) and (NULL) stood (kaalettiis) over (NULL) where (de7iyoosaa) the (NULL) young (xoolinttee) child (na7ai) was (;) . (.) "
"b.MAT.2.10 When they saw the star , they rejoiced with exceeding great joy .","b.MAT.2.10 (b.MAT.2.10) When (wode) they (NULL) saw (be7ido) the (NULL) star (xoolinttiyaa) , (,) they (NULL) rejoiced (ufaittidosona) with (NULL) exceeding (zawai) great (daro) joy (ufaissaa) . (.) "
"b.MAT.2.11 And when they were come into the house , they saw the young child with Mary his mother , and fell down , and worshipped him : and when they had opened their treasures , they presented unto him gifts ; gold , and frankincense , and myrrh .","b.MAT.2.11 (b.MAT.2.11) And (Soo) when (NULL) they (NULL) were (NULL) come (NULL) into (gelidi) the (NULL) house (NULL) , (NULL) they (NULL) saw (be7idosona) the (NULL) young (Mairaamiira) child (na7ai) with (,) Mary (NULL) his (ba) mother (aayee) , (NULL) and (NULL) fell (NULL) down (gulbbatidi) , (NULL) and (NULL) worshipped (goinnidosona) him (ayyo) : (;) and (NULL) when (NULL) they (NULL) had (NULL) opened (dooyidi) their (bantta) treasures (saaxiniyaa) , (NULL) they (NULL) presented (NULL) unto (NULL) him (ayyo) gifts (NULL) ; (ixaanaanne) gold (worqqaa) , (NULL) and (NULL) frankincense (karbbiyaa) , (NULL) and (NULL) myrrh (immidosona) . (.) "
"b.MAT.2.12 And being warned of God in a dream that they should not return to Herod , they departed into their own country another way .","b.MAT.2.12 (b.MAT.2.12) And (NULL) being (,) warned (simmenna) of (,) God (Xoossai) in (NULL) a (NULL) dream (aimuwan) that (NULL) they (NULL) should (mala) not (NULL) return (NULL) to (NULL) Herod (Heeroodisakko) , (NULL) they (NULL) departed (NULL) into (NULL) their (eta) own (bantta) country (dere) another (hara) way (ogiyaara) . (.) "
"b.MAT.2.13 And when they were departed , behold , the angel of the Lord appeareth to Joseph in a dream , saying , Arise , and take the young child and his mother , and flee into Egypt , and be thou there until I bring thee word : for Herod will seek the young child to destroy him .","b.MAT.2.13 (b.MAT.2.13) And (NULL) when (NULL) they (Eti) were (,) departed (guyyiyan) , (,) behold (biidoogaappe) , (,) the (NULL) angel (kiitanchchai) of (NULL) the (NULL) Lord (Godaa) appeareth (beettidi) to (NULL) Joseph (Yooseefayyo) in (NULL) a (NULL) dream (aimuwan) , (,) saying (“) , (,) Arise (denddada) , (,) and (NULL) take (NULL) the (NULL) young (na7aanne) child (na7aa) and (NULL) his (NULL) mother (aayyiyo) , (,) and (NULL) flee (baqata) into (biitti) Egypt (Gibxxe) , (,) and (NULL) be (NULL) thou (NULL) there (yan) until (gakkanaassi) I (taani) bring (odana) thee (neeyyo) word (NULL) : (;) for (gishshau) Herod (Heeroodisi) will (yaagiis) seek (NULL) the (NULL) young (na7aanne) child (na7aa) to (NULL) destroy (uttaashsha) him (”) . (.) "
"b.MAT.2.14 When he arose , he took the young child and his mother by night , and departed into Egypt :","b.MAT.2.14 (b.MAT.2.14) When (de7iis) he (i) arose (denddidi) , (,) he (i) took (ekkidi) the (NULL) young (na7aanne) child (na7aa) and (NULL) his (xeesaas) mother (aayyiyo) by (baggaara) night (qammi) , (,) and (NULL) departed (biis) into (biitti) Egypt (Gibxxe) : (.) "
