context,targ
"b.MAT.1.1 The book of the generation of Jesus Christ , the son of David , the son of Abraham .","b.MAT.1.1 (b.MAT.1.1) The (NULL) book (NULL) of (NULL) the (mooy) generation (cosaanu) of (NULL) Jesus (Yeesu) Christ (Kirist) , (,) the (mooy) son (sëtu) of (NULL) David (Daawuda) , (,) the (mooy) son (sëtu) of (NULL) Abraham (Ibraayma) . (.) "
b.MAT.1.2 Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;,b.MAT.1.2 (b.MAT.1.2) Abraham (Ibraayma) begat (jur) Isaac (Isaaxa) ; (;) and (NULL) Isaac (Isaaxa) begat (jur) Jacob (Yanqóoba) ; (;) and (NULL) Jacob (Yanqóoba) begat (jur) Judas (Yuda) and (NULL) his (i) brethren (doomi) ; (;) 
b.MAT.1.3 And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;,"b.MAT.1.3 (b.MAT.1.3) And (NULL) Judas (Yuda) begat (,) Phares (Fares) and (ak) Zara (Sara) of (ci) Thamar (Tamar) ; (;) and (ak) Phares (Fares) begat (,) Esrom (Esrom) ; (;) and (ak) Esrom (Esrom) begat (,) Aram (Aram) ; (;) "
b.MAT.1.4 And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;,b.MAT.1.4 (b.MAT.1.4) And (NULL) Aram (Aram) begat (NULL) Aminadab (Aminadab) ; (;) and (NULL) Aminadab (Aminadab) begat (NULL) Naasson (Naason) ; (;) and (NULL) Naasson (Naason) begat (NULL) Salmon (Salmon) ; (;) 
b.MAT.1.5 And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;,b.MAT.1.5 (b.MAT.1.5) And (NULL) Salmon (Salmon) begat (jur) Booz (Bowas) of (NULL) Rachab (Raxab) ; (;) and (ak) Booz (Bowas) begat (jur) Obed (Obedd) of (NULL) Ruth (Ruut) ; (;) and (ak) Obed (Obedd) begat (jur) Jesse (Yese) ; (;) 
b.MAT.1.6 And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;,b.MAT.1.6 (b.MAT.1.6) And (NULL) Jesse (NULL) begat (baayu) David (Daawuda) the (NULL) king (NULL) ; (.) and (NULL) David (Daawuda) the (NULL) king (NULL) begat (baayu) Solomon (Suleymaan) of (ci) her (NULL) that (ki) had (NULL) been (Uri) the (NULL) wife (NULL) of (ci) Urias (jabari) ; (.) 
b.MAT.1.7 And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;,b.MAT.1.7 (b.MAT.1.7) And (NULL) Solomon (Suleymaan) begat (jur) Roboam (Robowam) ; (;) and (NULL) Roboam (Robowam) begat (jur) Abia (Abiya) ; (;) and (NULL) Abia (Abiya) begat (jur) Asa (Asaf) ; (;) 
b.MAT.1.8 And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;,b.MAT.1.8 (b.MAT.1.8) And (NULL) Asa (Asaf) begat (NULL) Josaphat (Yosafat) ; (;) and (NULL) Josaphat (Yosafat) begat (NULL) Joram (Yoram) ; (;) and (NULL) Joram (Yoram) begat (NULL) Ozias (Osiyas) ; (;) 
b.MAT.1.9 And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;,b.MAT.1.9 (b.MAT.1.9) And (NULL) Ozias (Osiyas) begat (jur) Joatham (Yowatam) ; (;) and (NULL) Joatham (Yowatam) begat (jur) Achaz (Akas) ; (;) and (NULL) Achaz (Akas) begat (jur) Ezekias (Esekiyas) ; (;) 
b.MAT.1.10 And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;,b.MAT.1.10 (b.MAT.1.10) And (NULL) Ezekias (Esekiyas) begat (NULL) Manasses (Manase) ; (;) and (NULL) Manasses (Manase) begat (NULL) Amon (NULL) ; (;) and (NULL) Amon (NULL) begat (NULL) Josias (Yosiyas) ; (;) 
"b.MAT.1.11 And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :","b.MAT.1.11 (b.MAT.1.11) And (NULL) Josias (Yosiyas) begat (jur) Jechonias (Yekoñas) and (ak) his (i) brethren (doomi) , (NULL) about (ca) the (,) time (jamono) they (ñu) were (ya) carried (yóbbu) away (,) to (NULL) Babylon (Babilon) : (.) "
"b.MAT.1.12 And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;","b.MAT.1.12 (b.MAT.1.12) And (Ba) after (NULL) they (ñu) were (NULL) brought (yóbboo) to (NULL) Babylon (Babilon) , (,) Jechonias (Yekoñas) begat (jur) Salathiel (Salacel) ; (;) and (NULL) Salathiel (Salacel) begat (jur) Zorobabel (Sorobabel) ; (;) "
b.MAT.1.13 And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;,b.MAT.1.13 (b.MAT.1.13) And (NULL) Zorobabel (NULL) begat (baayu) Abiud (Abiyudd) ; (;) and (NULL) Abiud (Abiyudd) begat (baayu) Eliakim (Eliyakim) ; (;) and (NULL) Eliakim (Eliyakim) begat (baayu) Azor (Asor) ; (;) 
b.MAT.1.14 And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;,b.MAT.1.14 (b.MAT.1.14) And (NULL) Azor (Asor) begat (NULL) Sadoc (Sadog) ; (;) and (NULL) Sadoc (Sadog) begat (NULL) Achim (Akim) ; (;) and (NULL) Achim (Akim) begat (NULL) Eliud (Eliyudd) ; (;) 
b.MAT.1.15 And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;,b.MAT.1.15 (b.MAT.1.15) And (NULL) Eliud (Eliyudd) begat (NULL) Eleazar (Eleyasar) ; (;) and (NULL) Eleazar (Eleyasar) begat (NULL) Matthan (Matan) ; (;) and (NULL) Matthan (Matan) begat (NULL) Jacob (Yanqóoba) ; (;) 
"b.MAT.1.16 And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .","b.MAT.1.16 (b.MAT.1.16) And (NULL) Jacob (Yanqóoba) begat (jur) Joseph (Yuusufa) the (NULL) husband (jëkkëru) of (NULL) Mary (Maryaama) , (;) of (NULL) whom (te) was (,) born (juddoo) Jesus (Yeesu) , (;) who (mi) is (NULL) called (ñuy) Christ (Kirist) . (.) "
b.MAT.1.17 So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .,"b.MAT.1.17 (b.MAT.1.17) So (NULL) all (Mboolem) the (,) generations (NULL) from (ca) Abraham (Ibraayma) to (NULL) David (Daawuda) are (,) fourteen (ñeent) generations (NULL) ; (;) and (ak) from (ca) David (Daawuda) until (ba) the (,) carrying (njaam) away (NULL) into (ca) Babylon (Babilon) are (,) fourteen (ñeent) generations (NULL) ; (;) and (ak) from (ca) the (,) carrying (njaam) away (NULL) into (ca) Babylon (Babilon) unto (ci) Christ (Kirist) are (,) fourteen (ñeent) generations (NULL) . (.) "
"b.MAT.1.18 Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .","b.MAT.1.18 (b.MAT.1.18) Now (NULL) the (NULL) birth (NULL) of (NULL) Jesus (Yeesu) Christ (Kirist) was (juddoo) on (NULL) this (NULL) wise (NULL) : (.) When (Bi) as (NULL) his (NULL) mother (ndeyam) Mary (Maryaama) was (juddoo) espoused (mayee) to (NULL) Joseph (Yuusufa) , (,) before (laata) they (NULL) came (NULL) together (NULL) , (,) she (dafa) was (juddoo) found (gis) with (ànd) child (ëmb) of (NULL) the (NULL) Holy (Sell) Ghost (mi) . (.) "
"b.MAT.1.19 Then Joseph her husband , being a just man , and not willing to make her a publick example , was minded to put her away privily .","b.MAT.1.19 (b.MAT.1.19) Then (NULL) Joseph (Yuusufa) her (NULL) husband (jëkkëram) , (,) being (nekkoon) a (NULL) just (jub) man (nit) , (,) and (te) not (NULL) willing (NULL) to (NULL) make (NULL) her (NULL) a (NULL) publick (nar) example (NULL) , (,) was (woon) minded (xàccook) to (NULL) put (NULL) her (NULL) away (NULL) privily (sutura) . (.) "
