		eng	acu	afr	ake	alb	amu	ara	arm	baq	bsn	bul	cak	ceb	cha	chi	chq	chr	chu	cjp	cni	cop	crp	cze	dan	deu	dik	dje	dop	epo	est	ewe	fin	fra	gbi	glv	got	grc	gre	guj	hin	hrv	hun	ind	isl	ita	jak	jap	jiv	kab	kbh	kor	lat	lav	lit	mam	mao	mar	mya	nep	nhg	nld	nor	ojb	pck	pes	plt	pol	por	pot	ppk	quc	quw	rom	rum	rus	shi	slk	slv	sna	som	spa	srp	ssw	swe	syr	tel	tgl	tha	tmh	tur	ukr	usp	wal	wol	xho	zul
0	b.MAT.1.18a	when	NULL	toe	NULL	NULL	quia	لما	NULL	NULL	NULL	като	tek	NULL	nobian	NULL	mɨ	NULL	NA	ná	itimantacari	NULL	NULL	když	da	NULL	NULL	alwaato	wei	kiam	kui	NULL	kun	ayant	NULL	erreish	NA	NULL	αφου	NULL	जब	NULL	NULL	NULL	NULL	NULL	yet	キリストの誕生の次第はこうであった	NULL	NULL	ora	NULL	cum	kad	NULL	NULL	NULL	NULL	NULL	NULL	ijcuac	toen	da	NULL	lai	چون	rehefa	gdy	estando	kakishknontwat	NULL	aretak	NULL	NULL	NULL	NULL	NULL	keď	ko	NULL	kolkii	NULL	kad	NULL	sedan	ܟܕ	NULL	nang	คร	NA	NULL	NULL	NULL	wode	bi	ukuba	NULL
1	b.MAT.2.1a	when	NULL	toe	tʉpo	pasi	NULL	ولما	երբ	NULL	bajisere	когато	tek	NULL	NULL	候	mɨ	NULL	NA	NULL	ari	ⲇⲉ	NULL	když	da	da	wen	alwaato	NULL	kiam	kui	NULL	kun	NULL	orasi	tra	NA	δὲ	αφου	ય	जब	kad	mikor	waktu	þegar	NULL	yet	NULL	pépru	NULL	ora	때에	cum	kad	NULL	tej	i	NULL	NULL	जब	ijcuac	toen	da	NULL	laia	چون	rehefa	gdy	tendo	ci	NULL	chiˈ	NULL	NULL	NULL	когда	NULL	keď	ko	wakati	goortii	NULL	kad	NULL	när	ܟܕ	ప	nang	นออกคร	NA	sonra	як	cuando	wode	xamee	NULL	NULL
2	b.MAT.2.3a	when	NULL	toe	tai	kur	quia	فلما	երբ	bada	ju	като	tek	pagkadungog	anae	NULL	mɨ	NULL	NA	NULL	NULL	ⲇⲉ	lè	NULL	da	da	wen	waato	ɩlɛna	kiam	kui	esi	kun	NULL	de	tra	NA	δὲ	δε	ય	NULL	kada	NULL	ketika	þegar	NULL	yet	NULL	NULL	mi	ora	NULL	NULL	NULL	NULL	atzaj	no	NULL	NULL	जब	ijcuac	toen	da	ᐊᐲ	huan	چون	nony	gdy	NULL	pic	konce	aretak	NULL	kana	cînd	NULL	llig	keď	ko	NULL	goortuu	cuando	kad	NULL	när	ܕܝܢ	నప	nang	คร	NA	NULL	почувши	cuando	NULL	bi	ke	NULL
3	b.MAT.2.4a	when	NULL	NULL	tai	mbasi	chii	NULL	NULL	NULL	acõari	NULL	ri	sa	anae	NULL	NULL	NULL	NA	ite	impoiji	NULL	NULL	NULL	NULL	NULL	wen	NULL	ɩlɛna	NULL	NULL	NULL	NULL	NULL	NULL	tra	NA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	irutis	NULL	NULL	NULL	NULL	NULL	NULL	bˈeˈx	NULL	NULL	NULL	ल	NULL	NULL	og	NULL	NULL	NULL	NULL	NULL	reunindo	pic	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	habiendo	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NA	NULL	NULL	NULL	heeroodisi	nag	ke	NULL
4	b.MAT.2.7a	when	NULL	toe	NULL	kur	quia	NULL	NULL	NULL	ajicõari	когато	tek	ni	anae	NULL	NULL	ꭲᏻꮙ	NA	NULL	NULL	NULL	NULL	NULL	da	wann	NULL	NULL	wei	NULL	NULL	megbe	NULL	NULL	de	fys	NA	NULL	NULL	ર	NULL	kad	NULL	sesudah	NULL	NULL	lahwi	NULL	NULL	melmi	ntseco	NULL	NULL	NULL	NULL	NULL	ka	ह	NULL	NULL	NULL	wanneer	da	NULL	nungin	NULL	NULL	NULL	NULL	pic	epe	jampaˈ	NULL	NULL	NULL	NULL	NULL	NULL	kdaj	NULL	goortay	NULL	NULL	NULL	NULL	NULL	NULL	at	NULL	NA	NULL	закликавши	NULL	NULL	bi	NULL	NULL
5	b.MAT.2.8a	when	NULL	as	tai	kur	quia	ومتى	երբ	duqueçuenean	i	като	tek	na	yaguin	了	mɨ	ꭲᏻꮓ	NA	ra	NULL	ⲉϣⲱⲡ	lè	když	når	wenn	te	waati	waatʋ	kiam	kui	ne	kun	quand	nakoso	tra	NA	ἐπὰν	αφου	ય	जब	kad	mihelyt	kalau	er	quando	lahwi	NULL	werin	m	ora	NULL	cum	kad	NULL	ajtzin	ka	वर	NULL	जब	ijcuac	als	når	NULL	NULL	چون	rehefa	gdy	quando	ici	ane	aretak	NULL	kana	cînd	когда	akud	keď	ko	kana	goortaad	NULL	kad	NULL	när	ܘܡܐ	NULL	pagkasumpong	เม	NA	NULL	як	cuando	wode	bu	xa	nxa
6	b.MAT.2.9a	when	pujamunam	nadat	nokon	pasi	quia	فلما	երբ	bada	NULL	а	tek	NULL	anae	見	mɨ	NULL	NA	NULL	ari	ⲇⲉ	apre	NULL	da	als	wen	NULL	ɩlɛna	kaj	kui	esi	NULL	après	NA	erreish	NA	δὲ	δε	ય	NULL	NULL	NULL	NULL	NULL	NULL	lahwi	NULL	NA	mi	NULL	NULL	cum	NULL	NULL	bˈeˈx	NULL	ह	NULL	ल	ijcuac	toen	da	NULL	huan	چون	rehefa	NULL	tendo	pic	NA	NULL	NULL	kana	după	NULL	llig	a	ko	vakati	goortay	después	i	baada	när	ܕܝܢ	NULL	at	คร	NA	NULL	NULL	cuando	NULL	ba	ke	NULL
7	b.MAT.2.10a	when	NA	toe	NA	kur	quia	فلما	NULL	eta	NULL	като	tek	NULL	anae	見	NULL	NULL	NA	ra	NULL	ⲇⲉ	lè	NULL	da	da	te	waato	ɩlɛna	kaj	NULL	NULL	NULL	quand	orasi	tra	NA	δὲ	NULL	ય	NULL	kad	mikor	NA	þegar	NULL	hayet	NULL	nui	mi	orna	NULL	NULL	bet	NULL	tej	to	ह	အခ	NULL	ijcuac	NULL	da	ᐊᐲ	huan	وچون	nony	gdy	ao	pic	NULL	aretak	NULL	kana	cînd	NULL	NA	NULL	ko	vakati	goortay	al	kad	NULL	när	ܟܕ	NULL	nang	เม	NA	NULL	побачивши	cuando	wode	ba	NULL	NULL
8	b.MAT.2.11a	when	NULL	NULL	tai	mbasi	NULL	NULL	երբ	NULL	NULL	като	tek	na	anae	NULL	mɨ	ꭰꮣꮑꮈꮓ	NA	ra	impoiji	NULL	NULL	NULL	og	und	wen	NULL	ɣʋ	veninte	NULL	NULL	NULL	NULL	gila	goll	NA	NULL	NULL	NULL	चकर	NULL	NULL	NULL	NULL	NULL	hayet	NULL	tura	NULL	ora	NULL	NULL	NULL	NULL	atzaj	ka	व	NULL	NULL	NULL	NULL	og	ᒦᑕᔥ	NULL	NULL	rehefa	NULL	entrando	pic	karata	NULL	NULL	kana	NULL	NULL	NULL	keď	NULL	NULL	NULL	cuando	ušavši	basi	och	NULL	ప	nagsipasok	คร	NA	NULL	ввійшовши	cuando	NULL	NULL	NULL	zase
9	b.MAT.2.11b	when	NULL	NULL	tai	mbasi	NULL	NULL	երբ	NULL	NULL	като	tek	na	anae	NULL	mɨ	ꭰꮣꮑꮈꮓ	NA	ra	impoiji	NULL	NULL	NULL	og	und	wen	NULL	ɣʋ	veninte	NULL	NULL	NULL	NULL	gila	goll	NA	NULL	NULL	NULL	चकर	NULL	NULL	NULL	NULL	NULL	hayet	NULL	tura	NULL	ora	NULL	NULL	NULL	NULL	atzaj	ka	व	NULL	NULL	NULL	NULL	og	ᒦᑕᔥ	NULL	NULL	rehefa	NULL	entrando	pic	karata	NULL	NULL	kana	NULL	NULL	NULL	keď	NULL	NULL	NULL	cuando	ušavši	basi	och	NULL	ప	nagsipasok	คร	NA	NULL	ввійшовши	cuando	NULL	NULL	NULL	zase
