sent_id,context,eng,acu,afr,ake,alb,amh,amu,ara,arm,baq,bsn,bul,cak,ceb,cha,chi,chq,chr,chu,cjp,cni,cop,crp,cze,dan,deu,dik,dje,dop,epo,est,ewe,fin,fra,gbi,gla,glv,got,grc,gre,guj,heb,hin,hrv,hun,ind,isl,ita,jak,jap,jiv,kab,kbh,kor,lat,lav,lit,mam,mao,mar,mya,nep,nhg,nld,nor,ojb,pck,pes,plt,pol,por,pot,ppk,quc,quw,rom,rum,rus,shi,slk,slv,sna,som,spa,srp,ssw,swe,syr,tel,tgl,tha,tmh,tur,ukr,usp,wal,wol,xho,zul
b.GEN.8.22,while the earth remaineth seedtime and harvest and cold and heat and summer and winter and day and night shall not cease,while,NA,dae,NA,sa,NULL,NA,مدة,քանի,NA,NA,догде,NA,samtang,NA,候,NA,NA,NA,NA,NA,NA,toutotan,NULL,længe,solange,NA,waati,NA,longe,kui,NA,kauan,tant,NA,NA,NA,NA,NA,οσω,NA,עד,जब,dok,míg,selama,meðan,finché,NA,NULL,NA,NA,NA,NULL,NULL,NA,kol,NA,ana,NULL,NULL,NA,NA,zolang,lenge,NA,NULL,مادامی,raha,póki,enquanto,NA,NA,NA,NA,NA,cît,NULL,NA,dokiaľ,dokler,nguva,intuu,mientras,dokle,NA,länge,NA,లమ,samantalang,ในขณะท,iket,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.19.16,and while he lingered the men laid hold upon his hand and upon the hand of his wife and upon the hand of his two daughters the lord being merciful unto him and they brought him forth and set him without the city,while,NA,NULL,NA,duke,NULL,NA,توانى,քանի,NA,NA,NULL,NA,NULL,NA,NULL,NA,NA,NA,NA,NA,NA,t,když,da,da,NA,waati,NA,cxar,kui,NA,kun,comme,NA,NA,NA,NA,NA,NULL,NA,ויתמהמה,NULL,NULL,mikor,NULL,er,NULL,NA,NULL,NA,NA,NA,NULL,NULL,NA,NULL,NA,i,NULL,NULL,NULL,NA,nog,da,NA,lai,چون,nitaredretra,gdy,NULL,NA,NA,NA,NA,NA,NULL,NULL,NA,keď,NULL,NULL,NULL,cuando,NULL,NA,då,NA,NULL,NULL,ขณะท,NULL,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.25.6,but unto the sons of the concubines which abraham had abraham gave gifts and sent them away from isaac his son while he yet lived eastward unto the east country,while,NA,NULL,NA,sa,ሳለ,NA,NULL,քանի,NA,NA,докато,NA,pa,NA,候,NA,NA,NA,NA,NA,NA,NULL,NULL,medens,dieweil,NA,za,NA,dum,eluajal,NA,NULL,tandis,NA,NA,NA,NA,NA,NULL,NA,בעודנו,NULL,NULL,mellõl,NULL,meðan,mentre,NA,NULL,NA,NA,NA,생전에,dum,NA,NULL,NA,NULL,NA,စဉ,NA,NA,NULL,mens,NA,NULL,NULL,dieny,NULL,NULL,NA,NA,NA,NA,NA,cînd,NULL,NA,kým,dokler,achiri,intuu,mientras,NULL,NA,medan,NA,NULL,samantalang,เม,NULL,i̇shaktan,NA,NA,NA,NA,NULL,NA
b.GEN.29.9,and while he yet spake with them rachel came with her father s sheep for she kept them,while,NA,terwyl,NA,kur,NULL,NA,NULL,մինչ,NA,NA,докато,NA,samtang,NA,候,NA,NA,NA,NA,NA,NA,lè,když,medens,als,NA,NULL,NA,dum,kui,NA,NULL,comme,NA,NA,NA,NA,NA,ενω,NA,עודנו,NULL,dok,mikor,selagi,áður,NULL,NA,NULL,NA,NA,NA,NULL,adhuc,NA,NULL,NA,i,असत,စဉ,रह,NA,NULL,mens,NA,laiin,NULL,raha,gdy,enquanto,NA,NA,NA,NA,NA,cînd,NULL,NA,kým,ko,achiri,intuu,estando,dok,NA,medan,NA,డగ,samantalang,เม,immigrad,konuşurken,NA,NA,NA,NA,NULL,NA
b.GEN.45.1,then joseph could not refrain himself before all them that stood by him and he cried cause every man to go out from me and there stood no man with him while joseph made himself known unto his brethren,while,NA,toe,NA,kur,NULL,NA,حين,NULL,NA,NA,когато,NA,samtang,NA,時,NA,NA,NA,NA,NA,NA,lè,když,da,da,NA,waato,NA,kiam,kui,NA,kun,quand,NA,NA,NA,NA,NA,ενω,NA,בהתודע,रह,NULL,mikor,NULL,NULL,mentre,NA,NULL,NA,NA,NA,때에,NULL,NA,kai,NA,i,NULL,အခ,NULL,NA,bedienden,da,NA,sung,وقتی,raha,gdy,quando,NA,NA,NA,NA,NA,cînd,когда,NA,keď,ko,NULL,NULL,cuando,kad,NA,när,NA,NULL,samantalang,ขณะท,NA,NULL,NA,NA,NA,NA,NULL,NA
b.GEN.46.29,and joseph made ready his chariot and went up to meet israel his father to goshen and presented himself unto him and he fell on his neck and wept on his neck a good while,while,NA,lank,NA,sa,አቅፎትም,NA,زمانا,հեկեկալով,NA,NA,NULL,NA,dugay,NA,NULL,NA,NA,NA,NA,NA,NA,tan,NULL,længe,NULL,NA,gay,NA,longe,kaua,NA,kauan,NULL,NA,NA,NA,NA,NA,NULL,NA,עוד,NULL,NULL,ideig,lama,NULL,NULL,NA,くびをかかえて久しく泣いた,NA,NA,NA,얼마동안,amplexus,NA,apsikabinęs,NA,i,NULL,NULL,रसम,NA,NULL,lenge,NA,kigena,چون,raha,chwilę,tempo,NA,NA,NA,NA,NA,vreme,NULL,NA,keď,NULL,nguva,wakhti,tiempo,NULL,NA,länge,NA,NULL,matagal,นเวลานาน,NULL,sarılıp,NA,NA,NA,NA,NULL,NA
b.EXO.33.22,and it shall come to pass while my glory passeth by that i will put thee in a clift of the rock and will cover thee with my hand while i pass by,while,NA,as,NA,ndërsa,NULL,NA,NULL,NULL,NA,NA,когато,NA,samtang,NA,候,NA,NA,NA,NA,NA,NA,lè,NULL,da,wenn,NA,NULL,NA,kiam,NA,NA,kun,NULL,NA,NA,NA,NA,NA,οταν,NA,NULL,जब,dok,mikor,kumasukkan,NULL,quando,NA,NULL,NA,NA,NA,때에,NULL,NA,kai,NA,NULL,NULL,NULL,NULL,NA,NULL,når,NA,NULL,چون,raha,NULL,quando,NA,NA,NA,NA,NA,NULL,NULL,NA,keď,ko,NULL,NULL,cuando,NULL,NA,när,NA,NULL,samantalang,NULL,NA,NULL,NA,NA,NA,NA,ekudluleni,NA
b.EXO.33.22,and it shall come to pass while my glory passeth by that i will put thee in a clift of the rock and will cover thee with my hand while i pass by,while,NA,as,NA,ndërsa,NULL,NA,NULL,NULL,NA,NA,когато,NA,samtang,NA,候,NA,NA,NA,NA,NA,NA,lè,NULL,da,wenn,NA,NULL,NA,kiam,NA,NA,kun,NULL,NA,NA,NA,NA,NA,οταν,NA,NULL,जब,dok,mikor,kumasukkan,NULL,quando,NA,NULL,NA,NA,NA,때에,NULL,NA,kai,NA,NULL,NULL,NULL,NULL,NA,NULL,når,NA,NULL,چون,raha,NULL,quando,NA,NA,NA,NA,NA,NULL,NULL,NA,keď,ko,NULL,NULL,cuando,NULL,NA,när,NA,NULL,samantalang,NULL,NA,NULL,NA,NA,NA,NA,ekudluleni,NA
b.EXO.34.29,and it came to pass when moses came down from mount sinai with the two tables of testimony in moses hand when he came down from the mount that moses wist not that the skin of his face shone while he talked with him,while,NA,omdat,NA,NULL,የፊቱ,NA,NULL,ճառագում,NA,NA,понеже,NA,tungod,NA,NULL,NA,NA,NA,NA,NA,NA,lè,když,NULL,davon,NA,NULL,NA,NULL,NULL,NA,NULL,parce,NA,NA,NA,NA,NA,ενω,NA,NULL,रह,NULL,NULL,NULL,NULL,NULL,NA,NULL,NA,NA,NA,말씀하였음을,NULL,NA,NULL,NA,i,NULL,NULL,रह,NA,gloeide,fordi,NA,sung,NULL,NULL,gdy,NULL,NA,NA,NA,NA,NA,NULL,лучами,NA,NULL,ker,richibwinya,NULL,estado,dokle,NA,NULL,NA,డగ,NULL,NULL,NA,rable,NA,NA,NA,NA,NULL,NA
b.LEV.4.27,and if any one of the common people sin through ignorance while he doeth somewhat against any of the commandments of the lord concerning things which ought not to be done and be guilty,while,NA,omdat,NA,duke,NULL,NA,NULL,NA,NA,NA,като,NA,nakabuhat,NA,NULL,NA,NA,NA,NA,NA,NA,NULL,NULL,NULL,NULL,NA,NULL,NA,NULL,NULL,NA,NULL,NULL,NA,NA,NA,NA,NA,NULL,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,主のいましめにそむいて,NA,NA,NA,NULL,NULL,NA,NULL,NA,ana,NULL,NULL,NULL,NA,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NA,NA,NA,NA,NA,NULL,NULL,NA,NULL,NULL,NULL,NULL,NULL,NULL,NA,därigenom,NA,NULL,NULL,NULL,NA,NULL,NA,NA,NA,NA,NULL,NA
