context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (papinum) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (jesucristo) christ (jesucristo) the (NULL) son (NULL) of (NULL) david (davidcha) the (NULL) son (NULL) of (NULL) abraham (abrahama) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (NULL) isaac (isaacan) and (NULL) isaac (isaacan) begat (NULL) jacob (jacobon) and (NULL) jacob (jacobon) begat (NULL) judas (judán) and (NULL) his (NULL) brethren (yachí) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (tamaran) begat (yajutmarmiayi) phares (judá) and (NULL) zara (naartinun) of (NULL) thamar (zara) and (NULL) phares (judá) begat (yajutmarmiayi) esrom (fares) and (NULL) esrom (fares) begat (yajutmarmiayi) aram (esroman) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (esrom) begat (yajutmarmiayi) aminadab (araman) and (NULL) aminadab (araman) begat (yajutmarmiayi) naasson (aminadaban) and (NULL) naasson (aminadaban) begat (yajutmarmiayi) salmon (naasónkan) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (rahaban) begat (yajutmarmiayi) booz (NULL) of (NULL) rachab (boozan) and (NULL) booz (NULL) begat (yajutmarmiayi) obed (obed) of (NULL) ruth (rutan) and (NULL) obed (obed) begat (yajutmarmiayi) jesse (isaín) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (isaí) begat (yajutmarmiayi) david (davidtan) the (NULL) king (apu) and (NULL) david (davidtan) the (NULL) king (apu) begat (yajutmarmiayi) solomon (salomónkan) of (NULL) her (ni) that (NULL) had (NULL) been (NULL) the (NULL) wife (nuwarin) of (NULL) urias (uríasa) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomón) begat (yajutmarmiayi) roboam (roboaman) and (NULL) roboam (roboaman) begat (yajutmarmiayi) abia (roboam) and (NULL) abia (roboam) begat (yajutmarmiayi) asa (abíasan) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (josafatan) begat (yajutmarmiayi) josaphat (joraman) and (NULL) josaphat (joraman) begat (yajutmarmiayi) joram (joram) and (NULL) joram (joram) begat (yajutmarmiayi) ozias (oseasan) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (oseas) begat (yajutmarmiayi) joatham (acazan) and (NULL) joatham (acazan) begat (yajutmarmiayi) achaz (NULL) and (NULL) achaz (NULL) begat (yajutmarmiayi) ezekias (ezequíasan) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (ezequías) begat (yajutmarmiayi) manasses (manasésan) and (NULL) manasses (manasésan) begat (yajutmarmiayi) amon (amónkan) and (NULL) amon (amónkan) begat (yajutmarmiayi) josias (josíasan) 
