context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (ton) book (NULL) of (NULL) the (ton) generation (NULL) of (NULL) jesus (sises) christ (asi) the (ton) son (kin) of (NULL) david (tepi) the (ton) son (kin) of (NULL) abraham (epʉra) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (epʉra) begat (kʉipʉnʉ) isaac (aisi) and (pʉ) isaac (aisi) begat (kʉipʉnʉ) jacob (seko) and (pʉ) jacob (seko) begat (kʉipʉnʉ) judas (isuta) and (pʉ) his (NULL) brethren (iyakon) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (mɨrɨ) judas (isuta) begat (kʉipʉnʉ) phares (peres) and (mɨrɨ) zara (sera) of (san) thamar (temarʉ) and (mɨrɨ) phares (peres) begat (kʉipʉnʉ) esrom (esuran) and (mɨrɨ) esrom (esuran) begat (kʉipʉnʉ) aram (ran) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (pʉ) aram (ran) begat (kʉipʉnʉ) aminadab (aminatapu) and (pʉ) aminadab (aminatapu) begat (kʉipʉnʉ) naasson (naisan) and (pʉ) naasson (naisan) begat (kʉipʉnʉ) salmon (sarʉman) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (pʉ) salmon (sarʉman) begat (kʉipʉnʉ) booz (powas) of (esi) rachab (reyapu) and (pʉ) booz (powas) begat (kʉipʉnʉ) obed (ope) of (esi) ruth (isan) and (pʉ) obed (ope) begat (kʉipʉnʉ) jesse (ise) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (si) jesse (ise) begat (kʉipʉnʉ) david (tepi) the (te) king (kin) and (si) david (tepi) the (te) king (kin) begat (kʉipʉnʉ) solomon (saraman) of (sen) her (NULL) that (ne) had (NULL) been (NULL) the (te) wife (no) of (sen) urias (iuraya) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (saraman) begat (kʉipʉnʉ) roboam (reyopowan) and (NULL) roboam (reyopowan) begat (kʉipʉnʉ) abia (NULL) and (NULL) abia (NULL) begat (kʉipʉnʉ) asa (apaya) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (pʉ) asa (NULL) begat (kʉipʉnʉ) josaphat (iseyosapa) and (pʉ) josaphat (iseyosapa) begat (kʉipʉnʉ) joram (iseyoran) and (pʉ) joram (iseyoran) begat (kʉipʉnʉ) ozias (usaya) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (pʉ) ozias (usaya) begat (kʉipʉnʉ) joatham (iso) and (pʉ) joatham (iso) begat (kʉipʉnʉ) achaz (eyas) and (pʉ) achaz (eyas) begat (kʉipʉnʉ) ezekias (kaya) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (pʉ) ezekias (kaya) begat (kʉipʉnʉ) manasses (mana) and (pʉ) manasses (mana) begat (kʉipʉnʉ) amon (eman) and (pʉ) amon (eman) begat (kʉipʉnʉ) josias (saya) 
