context,targ
b.GEN.1.1 in the beginning god created the heaven and the earth,b.GEN.1.1 (b.GEN.1.1) in (NULL) the (NULL) beginning (սկզբանէ) god (աստուած) created (ստեղծեց) the (NULL) heaven (երկինքն) and (ու) the (NULL) earth (երկիրը) 
b.GEN.1.2 and the earth was without form and void and darkness was upon the face of the deep and the spirit of god moved upon the face of the waters,b.GEN.1.2 (b.GEN.1.2) and (NULL) the (NULL) earth (երկիրն) was (էր) without (անձեւ) form (NULL) and (NULL) void (NULL) and (NULL) darkness (խաւար) was (էր) upon (վրայ) the (NULL) face (NULL) of (NULL) the (NULL) deep (շրջում) and (NULL) the (NULL) spirit (հոգին) of (NULL) god (աստծու) moved (NULL) upon (վրայ) the (NULL) face (NULL) of (NULL) the (NULL) waters (ջրերի) 
b.GEN.1.3 and god said let there be light and there was light,b.GEN.1.3 (b.GEN.1.3) and (եւ) god (աստուած) said (ասաց) let (թող) there (NULL) be (լինի) light (լոյս) and (եւ) there (NULL) was (եղաւ) light (լոյս) 
b.GEN.1.4 and god saw the light that it was good and god divided the light from the darkness,b.GEN.1.4 (b.GEN.1.4) and (NULL) god (աստուած) saw (տեսաւ) the (NULL) light (լոյսը) that (NULL) it (NULL) was (NULL) good (լաւ) and (NULL) god (աստուած) divided (բաժանեց) the (NULL) light (լոյսը) from (NULL) the (NULL) darkness (խաւարից) 
b.GEN.1.5 and god called the light day and the darkness he called night and the evening and the morning were the first day,b.GEN.1.5 (b.GEN.1.5) and (NULL) god (աստուած) called (կոչեց) the (NULL) light (լոյսը) day (ցերեկ) and (NULL) the (NULL) darkness (խաւարը) he (NULL) called (կոչեց) night (գիշեր) and (NULL) the (NULL) evening (երեկոյ) and (NULL) the (NULL) morning (առաւօտ) were (NULL) the (NULL) first (առաջին) day (ցերեկ) 
b.GEN.1.6 and god said let there be a firmament in the midst of the waters and let it divide the waters from the waters,b.GEN.1.6 (b.GEN.1.6) and (NULL) god (աստուած) said (ասաց) let (թող) there (տարածութիւն) be (NULL) a (NULL) firmament (առաջանայ) in (NULL) the (NULL) midst (NULL) of (NULL) the (NULL) waters (ջրերի) and (NULL) let (թող) it (եղաւ) divide (բաժանուեն) the (NULL) waters (ջրերի) from (եւ) the (NULL) waters (ջրերի) 
b.GEN.1.7 and god made the firmament and divided the waters which were under the firmament from the waters which were above the firmament and it was so,b.GEN.1.7 (b.GEN.1.7) and (NULL) god (աստուած) made (ստեղծեց) the (NULL) firmament (տարածութիւնը) and (NULL) divided (ներքեւում) the (NULL) waters (ջրերը) which (NULL) were (եղած) under (NULL) the (NULL) firmament (տարածութիւնը) from (NULL) the (NULL) waters (ջրերը) which (NULL) were (եղած) above (վրայ) the (NULL) firmament (տարածութիւնը) and (NULL) it (NULL) was (NULL) so (NULL) 
b.GEN.1.8 and god called the firmament heaven and the evening and the morning were the second day,b.GEN.1.8 (b.GEN.1.8) and (NULL) god (աստուած) called (կոչեց) the (NULL) firmament (տարածութիւնը) heaven (երկինք) and (NULL) the (NULL) evening (երեկոյ) and (NULL) the (NULL) morning (առաւօտ) were (NULL) the (NULL) second (երկրորդ) day (օր) 
b.GEN.1.9 and god said let the waters under the heaven be gathered together unto one place and let the dry land appear and it was so,b.GEN.1.9 (b.GEN.1.9) and (ու) god (աստուած) said (ասաց) let (թող) the (գտնուող) waters (ջրերը) under (տակ) the (գտնուող) heaven (երկնքի) be (NULL) gathered (NULL) together (NULL) unto (NULL) one (մի) place (տեղ) and (ու) let (թող) the (գտնուող) dry (ցամաքը) land (տակի) appear (երեւայ) and (ու) it (NULL) was (եղաւ) so (այդպէս) 
b.GEN.1.10 and god called the dry land earth and the gathering together of the waters called he seas and god saw that it was good,b.GEN.1.10 (b.GEN.1.10) and (NULL) god (աստուած) called (կոչեց) the (NULL) dry (ցամաքը) land (NULL) earth (երկիր) and (NULL) the (NULL) gathering (հաւաքուած) together (NULL) of (NULL) the (NULL) waters (ջրերը) called (կոչեց) he (NULL) seas (ծով) and (NULL) god (աստուած) saw (տեսաւ) that (որ) it (է) was (NULL) good (լաւ) 
