context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (u) book (NULL) of (cu) the (u) generation (NULL) of (cu) jesus (jesús) christ (rotimu) the (u) son (NULL) of (cu) david (david) the (u) son (NULL) of (cu) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (ñamasiñuju) isaac (isaac) and (macu) isaac (isaac) begat (ñamasiñuju) jacob (jacob) and (macu) jacob (jacob) begat (ñamasiñuju) judas (NULL) and (macu) his (NULL) brethren (bederã) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (yicõari) judas (NULL) begat (ñamasiñuju) phares (NULL) and (yicõari) zara (fares) of (NULL) thamar (zara) and (yicõari) phares (NULL) begat (ñamasiñuju) esrom (esrom) and (yicõari) esrom (esrom) begat (ñamasiñuju) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (macu) aram (aram) begat (ñamasiñuju) aminadab (aminadab) and (macu) aminadab (aminadab) begat (ñamasiñuju) naasson (naasón) and (macu) naasson (naasón) begat (ñamasiñuju) salmon (salmón) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (macu) salmon (salmón) begat (ñamasiñuju) booz (booz) of (ñamasiñuju) rachab (jaco) and (macu) booz (booz) begat (ñamasiñuju) obed (obed) of (ñamasiñuju) ruth (rut) and (macu) obed (obed) begat (ñamasiñuju) jesse (isa) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (vãme) jesse (isa) begat (ñamasiñuju) david (NULL) the (NULL) king (ju) and (vãme) david (NULL) the (NULL) king (ju) begat (ñamasiñuju) solomon (salomón) of (ñamasiñuju) her (NULL) that (NULL) had (i) been (NULL) the (NULL) wife (manajo) of (ñamasiñuju) urias (ur) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (macu) solomon (salomón) begat (ñamasiñuju) roboam (roboam) and (macu) roboam (roboam) begat (ñamasiñuju) abia (NULL) and (macu) abia (NULL) begat (ñamasiñuju) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (macu) asa (asa) begat (ñamasiñuju) josaphat (josafat) and (macu) josaphat (josafat) begat (ñamasiñuju) joram (joram) and (macu) joram (joram) begat (ñamasiñuju) ozias (uz) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (macu) ozias (uz) begat (ñamasiñuju) joatham (jotam) and (macu) joatham (jotam) begat (ñamasiñuju) achaz (acaz) and (macu) achaz (acaz) begat (ñamasiñuju) ezekias (ezequ) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (macu) ezekias (ezequ) begat (ñamasiñuju) manasses (manasés) and (macu) manasses (manasés) begat (ñamasiñuju) amon (amón) and (macu) amon (amón) begat (ñamasiñuju) josias (jos) 
