context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (re) book (wuj) of (ri) the (re) generation (rumamaˈ) of (ri) jesus (jesucristo) christ (riyaˈ) the (re) son (ralcˈual) of (ri) david (david) the (re) son (ralcˈual) of (ri) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (xalcˈualan) isaac (isaac) and (NULL) isaac (isaac) begat (xalcˈualan) jacob (jacob) and (NULL) jacob (jacob) begat (xalcˈualan) judas (NULL) and (NULL) his (NULL) brethren (rachˈalal) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (yacˈa) judas (tamar) begat (xralcˈualaj) phares (judá) and (yacˈa) zara (xecalcˈualaj) of (ri) thamar (zara) and (yacˈa) phares (judá) begat (xralcˈualaj) esrom (esrom) and (yacˈa) esrom (esrom) begat (xralcˈualaj) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (y) aram (aram) begat (xralcˈualaj) aminadab (aminadab) and (y) aminadab (aminadab) begat (xralcˈualaj) naasson (naasón) and (y) naasson (naasón) begat (xralcˈualaj) salmon (salmón) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (y) salmon (salmón) begat (NULL) booz (booz) of (ri) rachab (xcalcˈualaj) and (y) booz (booz) begat (NULL) obed (obed) of (ri) ruth (rut) and (y) obed (obed) begat (NULL) jesse (isaí) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (y) jesse (isaí) begat (xralcˈualaj) david (david) the (ri) king (rey) and (y) david (david) the (ri) king (rey) begat (xralcˈualaj) solomon (salomón) of (ri) her (NULL) that (ya) had (ca) been (NULL) the (ri) wife (rixjayil) of (ri) urias (urías) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (yacˈa) solomon (salomón) begat (xralcˈualaj) roboam (roboam) and (yacˈa) roboam (roboam) begat (xralcˈualaj) abia (abías) and (yacˈa) abia (abías) begat (xralcˈualaj) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (y) asa (asa) begat (xralcˈualaj) josaphat (josafat) and (y) josaphat (josafat) begat (xralcˈualaj) joram (joram) and (y) joram (joram) begat (xralcˈualaj) ozias (uzías) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (y) ozias (uzías) begat (xralcˈualaj) joatham (jotam) and (y) joatham (jotam) begat (xralcˈualaj) achaz (acaz) and (y) achaz (acaz) begat (xralcˈualaj) ezekias (ezequías) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (y) ezekias (ezequías) begat (xralcˈualaj) manasses (manasés) and (y) manasses (manasés) begat (xralcˈualaj) amon (amón) and (y) amon (amón) begat (xralcˈualaj) josias (josías) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (y) josias (josías) begat (xralcˈualaj) jechonias (jeconías) and (y) his (NULL) brethren (rachˈalal) about (nicˈaj) the (aj) time (tiempo) they (NULL) were (ye) carried (xechapatej) away (el) to (pa) babylon (babilonia) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (y) after (tek) they (chiriˈ) were (yecˈo) brought (NULL) to (pa) babylon (babilonia) jechonias (jeconías) begat (xralcˈualaj) salathiel (salatiel) and (y) salathiel (salatiel) begat (xralcˈualaj) zorobabel (zorobabel) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (y) zorobabel (zorobabel) begat (xralcˈualaj) abiud (abiud) and (y) abiud (abiud) begat (xralcˈualaj) eliakim (eliaquim) and (y) eliakim (eliaquim) begat (xralcˈualaj) azor (azor) 
