context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (ʉˈ) the (NULL) generation (NULL) of (ʉˈ) jesus (NULL) christ (jmáangˉ) the (NULL) son (NULL) of (ʉˈ) david (davíˈˆ) the (NULL) son (NULL) of (ʉˈ) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (calɨsíˋ) isaac (isáaˊ) and (jo) isaac (isáaˊ) begat (calɨsíˋ) jacob (jacóoˆ) and (jo) jacob (jacóoˆ) begat (calɨsíˋ) judas (NULL) and (jo) his (rúiñˈˋ) brethren (NULL) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (jo) judas (zara) begat (calɨsíˋ) phares (fares) and (jo) zara (có) of (tiquiáˈˆ) thamar (tamar) and (jo) phares (fares) begat (calɨsíˋ) esrom (esrom) and (jo) esrom (esrom) begat (calɨsíˋ) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (jo) aram (aram) begat (calɨsíˋ) aminadab (aminadab) and (jo) aminadab (aminadab) begat (calɨsíˋ) naasson (naasón) and (jo) naasson (naasón) begat (calɨsíˋ) salmon (salmón) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (jo) salmon (salmón) begat (calɨsíˋ) booz (booz) of (tiquiáˈˆ) rachab (niquiáˈrˆ) and (jo) booz (booz) begat (calɨsíˋ) obed (obed) of (tiquiáˈˆ) ruth (rut) and (jo) obed (obed) begat (calɨsíˋ) jesse (isaí) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (guɨ) jesse (isaí) begat (calɨsíˋ) david (davíˈˆ) the (íbˋ) king (NULL) and (guɨ) david (davíˈˆ) the (íbˋ) king (NULL) begat (calɨsíˋ) solomon (salomón) of (tiquiáˈˆ) her (NULL) that (i) had (calɨ) been (NULL) the (íbˋ) wife (dseamɨ) of (tiquiáˈˆ) urias (urías) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (jo) solomon (salomón) begat (calɨsíˋ) roboam (roboam) and (jo) roboam (roboam) begat (calɨsíˋ) abia (abías) and (jo) abia (abías) begat (calɨsíˋ) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (jo) asa (asa) begat (calɨsíˋ) josaphat (josafat) and (jo) josaphat (josafat) begat (calɨsíˋ) joram (joram) and (jo) joram (joram) begat (calɨsíˋ) ozias (uzías) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (jo) ozias (uzías) begat (calɨsíˋ) joatham (jotam) and (jo) joatham (jotam) begat (calɨsíˋ) achaz (acaz) and (jo) achaz (acaz) begat (calɨsíˋ) ezekias (ezequías) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (jo) ezekias (ezequías) begat (calɨsíˋ) manasses (manasés) and (jo) manasses (manasés) begat (calɨsíˋ) amon (amón) and (jo) amon (amón) begat (calɨsíˋ) josias (josías) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (có) josias (josías) begat (calɨsíˋ) jechonias (jeconías) and (có) his (NULL) brethren (NULL) about (fɨˊ) the (israel) time (ie) they (rúiñˈˋ) were (do) carried (ˈñúuiñˈ) away (NULL) to (fɨˊ) babylon (babilonia) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (jo) after (mɨ) they (cangɨ) were (NULL) brought (NULL) to (NULL) babylon (NULL) jechonias (jeconías) begat (calɨsíˋ) salathiel (salatiel) and (jo) salathiel (salatiel) begat (calɨsíˋ) zorobabel (zorobabel) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (jo) zorobabel (zorobabel) begat (calɨsíˋ) abiud (abiud) and (jo) abiud (abiud) begat (calɨsíˋ) eliakim (eliaquim) and (jo) eliakim (eliaquim) begat (calɨsíˋ) azor (azor) 
b.MAT.1.14 and azor begat sadoc and sadoc begat achim and achim begat eliud,b.MAT.1.14 (b.MAT.1.14) and (jo) azor (azor) begat (calɨsíˋ) sadoc (sadoc) and (jo) sadoc (sadoc) begat (calɨsíˋ) achim (aquim) and (jo) achim (aquim) begat (calɨsíˋ) eliud (eliud) 
b.MAT.1.15 and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,b.MAT.1.15 (b.MAT.1.15) and (jo) eliud (eliud) begat (calɨsíˋ) eleazar (eleazar) and (jo) eleazar (eleazar) begat (calɨsíˋ) matthan (matán) and (jo) matthan (matán) begat (calɨsíˋ) jacob (jacóoˆ) 
b.MAT.1.16 and jacob begat joseph the husband of mary of whom was born jesus who is called christ,b.MAT.1.16 (b.MAT.1.16) and (jo) jacob (jacóoˆ) begat (calɨsíˋ) joseph (séˆ) the (ɨngˊ) husband (dseañʉˈˋ) of (quiáˈˉ) mary (yáˆ) of (quiáˈˉ) whom (i) was (calɨ) born (mesías) jesus (jesús) who (i) is (NULL) called (NULL) christ (NULL) 
b.MAT.1.17 so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) so (NULL) all (NULL) the (ˊ) generations (ˈléˈˋ) from (catɨˊ) abraham (abraham) to (cartɨˊ) david (davíˈˆ) are (NULL) fourteen (NULL) generations (ˈléˈˋ) and (jo) from (catɨˊ) david (davíˈˆ) until (cartɨˊ) the (ˊ) carrying (cangojéengˋ) away (NULL) into (fɨˊ) babylon (babilonia) are (NULL) fourteen (NULL) generations (ˈléˈˋ) and (jo) from (catɨˊ) the (ˊ) carrying (cangojéengˋ) away (NULL) into (fɨˊ) babylon (babilonia) unto (cartɨˊ) christ (dseaˋ) are (NULL) fourteen (NULL) generations (ˈléˈˋ) 
b.MAT.1.18 now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,b.MAT.1.18 (b.MAT.1.18) now (NULL) the (NULL) birth (nɨninéeˊ) of (ˉ) jesus (NULL) christ (jmáangˉ) was (calɨ) on (jo) this (NULL) wise (NULL) when (mɨ) as (NULL) his (NULL) mother (NULL) mary (yáˆ) was (calɨ) espoused (sɨmɨ) to (ˆ) joseph (séˆ) before (ˈˉguɨ) they (NULL) came (NULL) together (lɨɨng) she (yáˆ) was (calɨ) found (ˋ) with (có) child (ʉ) of (ˉ) the (NULL) holy (jmɨguíˋ) ghost (fidiéeˇ) 
