context,targ
b.MAT.5.24 leave there thy gift before the altar and go thy way first be reconciled to thy brother and then come and offer thy gift,b.MAT.5.24 (b.MAT.5.24) leave (остави) there (тоу) thy (твои) gift (даръ) before (прѣдъ) the (NULL) altar (олътаремъ) and (ꙇ) go (шедъ) thy (твои) way (NULL) first (прѣжде) be (сѧ) reconciled (съмири) to (NULL) thy (твои) brother (братромъ) and (ꙇ) then (тогда) come (пришедъ) and (ꙇ) offer (принеси) thy (твои) gift (даръ) 
b.MAT.5.25 agree with thine adversary quickly whiles thou art in the way with him lest at any time the adversary deliver thee to the judge and the judge deliver thee to the officer and thou be cast into prison,b.MAT.5.25 (b.MAT.5.25) agree (оувѣщаѩ) with (съ) thine (NULL) adversary (сѫпьремь) quickly (скоро) whiles (своимь) thou (NULL) art (еси) in (на) the (NULL) way (пѫти) with (съ) him (нимь) lest (да) at (NULL) any (не) time (NULL) the (NULL) adversary (сѫпьремь) deliver (прѣдастъ) thee (тебе) to (NULL) the (NULL) judge (сѫдии) and (ꙇ) the (NULL) judge (сѫдии) deliver (прѣдастъ) thee (тебе) to (NULL) the (NULL) officer (слоуѕѣ) and (ꙇ) thou (NULL) be (тѧ) cast (въвръжетъ) into (въ) prison (темьницѫ) 
b.MAT.5.26 verily i say unto thee thou shalt by no means come out thence till thou hast paid the uttermost farthing,b.MAT.5.26 (b.MAT.5.26) verily (аминь) i (NULL) say (лѭ) unto (NULL) thee (тебѣ) thou (NULL) shalt (въздаси) by (NULL) no (не) means (изидеши) come (NULL) out (отъ) thence (тѫдѣ) till (доньдеже) thou (NULL) hast (NULL) paid (NULL) the (NULL) uttermost (NULL) farthing (кодрантъ) 
b.MAT.5.27 ye have heard that it was said by them of old time thou shalt not commit adultery,b.MAT.5.27 (b.MAT.5.27) ye (NULL) have (слꙑшасте) heard (NULL) that (ѣко) it (бꙑ) was (NULL) said (речено) by (NULL) them (NULL) of (NULL) old (древънимъ) time (NULL) thou (NULL) shalt (NULL) not (не) commit (прѣлюбꙑ) adultery (сътвориши) 
b.MAT.5.28 but i say unto you that whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart,b.MAT.5.28 (b.MAT.5.28) but (же) i (азъ) say (лѭ) unto (NULL) you (вамъ) that (ѣко) whosoever (вьсѣкъ) looketh (вьзьритъ) on (на) a (NULL) woman (NULL) to (NULL) lust (женѫ) after (NULL) her (NULL) hath (сътвори) committed (похотиѭ) adultery (любꙑ) with (съ) her (NULL) already (юже) in (въ) his (своемь) heart (рдци) 
b.MAT.5.29 and if thy right eye offend thee pluck it out and cast it from thee for it is profitable for thee that one of thy members should perish and not that thy whole body should be cast into hell,b.MAT.5.29 (b.MAT.5.29) and (NULL) if (аще) thy (твое) right (десное) eye (око) offend (съблажнаатъ) thee (тѧ) pluck (ꙇзьми) it (е) out (NULL) and (NULL) cast (връзи) it (е) from (отъ) thee (тѧ) for (бо) it (е) is (естъ) profitable (оунѣе) for (бо) thee (тѧ) that (NULL) one (единъ) of (NULL) thy (твое) members (оудъ) should (да) perish (погꙑблетъ) and (NULL) not (не) that (NULL) thy (твое) whole (вьсе) body (тѣло) should (да) be (бѫдетъ) cast (връзи) into (въ) hell (ꙉеонѫ) 
b.MAT.5.30 and if thy right hand offend thee cut if off and cast it from thee for it is profitable for thee that one of thy members should perish and not that thy whole body should be cast into hell,b.MAT.5.30 (b.MAT.5.30) and (ꙇ) if (аште) thy (твоѣ) right (десна) hand (рѫка) offend (съблажнаатъ) thee (тѧ) cut (оусѣци) if (аште) off (ѭ) and (ꙇ) cast (връзи) it (NULL) from (отъ) thee (тѧ) for (бо) it (NULL) is (естъ) profitable (оунѣе) for (бо) thee (тѧ) that (NULL) one (единъ) of (NULL) thy (твоѣ) members (оудъ) should (да) perish (погꙑблетъ) and (ꙇ) not (не) that (NULL) thy (твоѣ) whole (вьсе) body (тѣло) should (да) be (NULL) cast (връзи) into (въ) hell (ꙉеонѫ) 
b.MAT.5.31 it hath been said whosoever shall put away his wife let him give her a writing of divorcement,b.MAT.5.31 (b.MAT.5.31) it (бꙑстъ) hath (речено) been (NULL) said (NULL) whosoever (ꙇже) shall (аште) put (поуститъ) away (NULL) his (своѭ) wife (женѫ) let (да) him (NULL) give (дастъ) her (еи) a (NULL) writing (кънигꙑ) of (NULL) divorcement (распоустънꙑѩ) 
b.MAT.5.32 but i say unto you that whosoever shall put away his wife saving for the cause of fornication causeth her to commit adultery and whosoever shall marry her that is divorced committeth adultery,b.MAT.5.32 (b.MAT.5.32) but (же) i (азъ) say (лѭ) unto (NULL) you (вамъ) that (ѣко) whosoever (вьсѣкъ) shall (NULL) put (поуштаѩи) away (NULL) his (своѭ) wife (женѫ) saving (развѣ) for (NULL) the (NULL) cause (любодѣинааго) of (NULL) fornication (словесе) causeth (творитъ) her (ѭ) to (NULL) commit (прѣлюбꙑ) adultery (дѣати) and (ꙇ) whosoever (вьсѣкъ) shall (NULL) marry (подъпѣгѫ) her (ѭ) that (ѣко) is (NULL) divorced (поемлетъ) committeth (прѣлюбꙑ) adultery (дѣати) 
b.MAT.5.33 again ye have heard that it hath been said by them of old time thou shalt not forswear thyself but shalt perform unto the lord thine oaths,b.MAT.5.33 (b.MAT.5.33) again (пакꙑ) ye (NULL) have (слꙑшасте) heard (NULL) that (ѣко) it (бꙑ) hath (NULL) been (NULL) said (NULL) by (древьниимъ) them (NULL) of (NULL) old (NULL) time (NULL) thou (NULL) shalt (NULL) not (не) forswear (лъжѫ) thyself (клънеши) but (же) shalt (NULL) perform (въздаси) unto (NULL) the (NULL) lord (ви) thine (твоѩ) oaths (клѧтвꙑ) 
b.MAT.5.34 but i say unto you swear not at all neither by heaven for it is god s throne,b.MAT.5.34 (b.MAT.5.34) but (же) i (азъ) say (лѭ) unto (NULL) you (вамъ) swear (клѧти) not (не) at (NULL) all (отънѫдъ) neither (ни) by (NULL) heaven (н) for (ѣко) it (NULL) is (естъ) god (б) s (бмь) throne (прѣстолъ) 
b.MAT.5.35 nor by the earth for it is his footstool neither by jerusalem for it is the city of the great king,b.MAT.5.35 (b.MAT.5.35) nor (ни) by (NULL) the (NULL) earth (землеѭ) for (ѣко) it (подъножие) is (естъ) his (его) footstool (ногама) neither (ни) by (NULL) jerusalem (ерслмъмъ) for (ѣко) it (подъножие) is (естъ) the (NULL) city (NULL) of (NULL) the (NULL) great (великааго) king (срѣ) 
b.MAT.5.36 neither shalt thou swear by thy head because thou canst not make one hair white or black,b.MAT.5.36 (b.MAT.5.36) neither (ни) shalt (главоѭ) thou (NULL) swear (NULL) by (NULL) thy (своеѭ) head (клъни) because (ѣко) thou (NULL) canst (можеши) not (не) make (власа) one (единого) hair (бѣла) white (NULL) or (ли) black (чръна) 
b.MAT.5.37 but let your communication be yea yea nay nay for whatsoever is more than these cometh of evil,b.MAT.5.37 (b.MAT.5.37) but (же) let (NULL) your (ваше) communication (слово) be (бѫди) yea (еи) yea (еи) nay (ни) nay (ни) for (бо) whatsoever (лихое) is (естъ) more (NULL) than (NULL) these (NULL) cometh (сеѭ) of (отъ) evil (неприѣзни) 
