context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (äyëí) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (jesucristo) christ (NULL) the (NULL) son (yäbei) of (NULL) david (david) the (NULL) son (yäbei) of (NULL) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (wätsikiwa) isaac (isaac) and (te) isaac (isaac) begat (wätsikiwa) jacob (jacob) and (te) jacob (jacob) begat (wätsikiwa) judas (NULL) and (te) his (NULL) brethren (iel) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (irä) judas (tamar) begat (wätsikiwa) phares (fares) and (irä) zara (da) of (NULL) thamar (zara) and (irä) phares (fares) begat (wätsikiwa) esrom (esrom) and (irä) esrom (esrom) begat (wätsikiwa) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (te) aram (aram) begat (wätsikiwa) aminadab (aminadab) and (te) aminadab (aminadab) begat (wätsikiwa) naasson (naasón) and (te) naasson (naasón) begat (wätsikiwa) salmon (salmón) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (te) salmon (salmón) begat (wätsikiwa) booz (booz) of (NULL) rachab (rahab) and (te) booz (booz) begat (wätsikiwa) obed (obed) of (NULL) ruth (da) and (te) obed (obed) begat (wätsikiwa) jesse (isaí) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (te) jesse (isaí) begat (wätsikiwa) david (david) the (NULL) king (tsa) and (te) david (david) the (NULL) king (tsa) begat (wätsikiwa) solomon (salomón) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (alaklä) of (NULL) urias (urías) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (te) solomon (salomón) begat (wätsikiwa) roboam (roboam) and (te) roboam (roboam) begat (wätsikiwa) abia (abías) and (te) abia (abías) begat (wätsikiwa) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (te) asa (asa) begat (wätsikiwa) josaphat (josafat) and (te) josaphat (josafat) begat (wätsikiwa) joram (joram) and (te) joram (joram) begat (wätsikiwa) ozias (uzías) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (te) ozias (uzías) begat (wätsikiwa) joatham (jotam) and (te) joatham (jotam) begat (wätsikiwa) achaz (acaz) and (te) achaz (acaz) begat (wätsikiwa) ezekias (ezequías) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (te) ezekias (ezequías) begat (wätsikiwa) manasses (manasés) and (te) manasses (manasés) begat (wätsikiwa) amon (amón) and (te) amon (amón) begat (wätsikiwa) josias (josías) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (te) josias (josías) begat (wätsikiwa) jechonias (jeconías) and (te) his (NULL) brethren (iel) about (ke) the (ska) time (i) they (NULL) were (wa) carried (jalemi) away (NULL) to (ska) babylon (babilonia) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (ska) after (ukä) they (NULL) were (NULL) brought (NULL) to (ska) babylon (babilonia) jechonias (jeconías) begat (wätsikiwa) salathiel (salatiel) and (ska) salathiel (salatiel) begat (wätsikiwa) zorobabel (zorobabel) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (te) zorobabel (zorobabel) begat (wätsikiwa) abiud (abiud) and (te) abiud (abiud) begat (wätsikiwa) eliakim (eliaquim) and (te) eliakim (eliaquim) begat (wätsikiwa) azor (azor) 
b.MAT.1.14 and azor begat sadoc and sadoc begat achim and achim begat eliud,b.MAT.1.14 (b.MAT.1.14) and (te) azor (azor) begat (wätsikiwa) sadoc (sadoc) and (te) sadoc (sadoc) begat (wätsikiwa) achim (aquim) and (te) achim (aquim) begat (wätsikiwa) eliud (eliud) 
b.MAT.1.15 and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,b.MAT.1.15 (b.MAT.1.15) and (te) eliud (eliud) begat (wätsikiwa) eleazar (eleazar) and (te) eleazar (eleazar) begat (wätsikiwa) matthan (matán) and (te) matthan (matán) begat (wätsikiwa) jacob (jacob) 
b.MAT.1.16 and jacob begat joseph the husband of mary of whom was born jesus who is called christ,b.MAT.1.16 (b.MAT.1.16) and (ata) jacob (jacob) begat (wätsikiwa) joseph (josé) the (NULL) husband (naklä) of (NULL) mary (maría) of (NULL) whom (ne) was (NULL) born (NULL) jesus (jesús) who (NULL) is (rä) called (kinak) christ (säbäkäkksa) 
