context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (ivajiropee) of (NULL) the (NULL) generation (icharinepeeni) of (NULL) jesus (NULL) christ (jesoquirishito) the (NULL) son (NULL) of (NULL) david (iravirini) the (NULL) son (NULL) of (NULL) abraham (avaramani) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (avarama) begat (iri) isaac (NULL) and (NULL) isaac (NULL) begat (iri) jacob (jacovo) and (NULL) jacob (jacovo) begat (iri) judas (jora) and (NULL) his (NULL) brethren (irirentipee) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (jora) begat (iri) phares (NULL) and (NULL) zara (itomipee) of (NULL) thamar (iro) and (NULL) phares (NULL) begat (iri) esrom (eshiromo) and (NULL) esrom (eshiromo) begat (iri) aram (arama) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (arama) begat (iri) aminadab (aminarava) and (NULL) aminadab (aminarava) begat (iri) naasson (naso) and (NULL) naasson (naso) begat (iri) salmon (saramo) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (saramo) begat (iri) booz (voso) of (NULL) rachab (irinironi) and (NULL) booz (voso) begat (iri) obed (overe) of (NULL) ruth (opajitani) and (NULL) obed (overe) begat (iri) jesse (jese) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (jese) begat (iri) david (iraviri) the (yora) king (NULL) and (NULL) david (iraviri) the (yora) king (NULL) begat (iri) solomon (saromo) of (NULL) her (NULL) that (NULL) had (oriashi) been (NULL) the (yora) wife (NULL) of (NULL) urias (yaaveitaniri) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (saromo) begat (iri) roboam (orovoama) and (NULL) roboam (orovoama) begat (iri) abia (aviashi) and (NULL) abia (aviashi) begat (iri) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (iri) josaphat (josavata) and (NULL) josaphat (josavata) begat (iri) joram (jorama) and (NULL) joram (jorama) begat (iri) ozias (oshiashi) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (oshiashi) begat (iri) joatham (joatama) and (NULL) joatham (joatama) begat (iri) achaz (acasa) and (NULL) achaz (acasa) begat (iri) ezekias (eshequiashi) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (eshequiashi) begat (iri) manasses (manasheshi) and (NULL) manasses (manasheshi) begat (iri) amon (amo) and (NULL) amon (amo) begat (iri) josias (joshiashi) 
