context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (yesu) christ (kilisiti) the (NULL) son (NULL) of (NULL) david (tafiiti) the (NULL) son (NULL) of (NULL) abraham (apəlaham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (apəlaham) begat (lʋla) isaac (ɩsaaka) and (na) isaac (ɩsaaka) begat (lʋla) jacob (yakɔpʋ) and (na) jacob (yakɔpʋ) begat (lʋla) judas (NULL) and (na) his (ɩ) brethren (newaa) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (ná) judas (NULL) begat (lʋla) phares (falɛsɩ) and (ná) zara (sela) of (NULL) thamar (ná) and (ná) phares (falɛsɩ) begat (lʋla) esrom (NULL) and (ná) esrom (NULL) begat (lʋla) aram (alam) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (na) aram (alam) begat (lʋlɩ) aminadab (aminatapɩ) and (na) aminadab (aminatapɩ) begat (lʋlɩ) naasson (naasɔŋ) and (na) naasson (naasɔŋ) begat (lʋlɩ) salmon (saləma) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (ná) salmon (saləma) begat (lʋla) booz (poosi) of (NULL) rachab (lahapɩ) and (ná) booz (poosi) begat (lʋla) obed (opɛtɩ) of (NULL) ruth (NULL) and (ná) obed (opɛtɩ) begat (lʋla) jesse (sesee) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (na) jesse (sesee) begat (lʋləna) david (NULL) the (NULL) king (wulaʋ) and (na) david (NULL) the (NULL) king (wulaʋ) begat (lʋləna) solomon (salʋmɔŋ) of (sɔsɔ) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (alʋ) of (sɔsɔ) urias (yulii) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (ná) solomon (salʋmɔŋ) begat (lʋla) roboam (lʋpʋwam) and (ná) roboam (lʋpʋwam) begat (lʋla) abia (apiya) and (ná) abia (apiya) begat (lʋla) asa (asafɩ) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (na) asa (asafɩ) begat (lʋlɩ) josaphat (yosafatɩ) and (na) josaphat (yosafatɩ) begat (lʋlɩ) joram (yolam) and (na) joram (yolam) begat (lʋlɩ) ozias (osiyasɩ) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (ná) ozias (osiyasɩ) begat (lʋla) joatham (yowatam) and (ná) joatham (yowatam) begat (lʋla) achaz (akasɩ) and (ná) achaz (akasɩ) begat (lʋla) ezekias (ɩsekiyasɩ) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (na) ezekias (ɩsekiyasɩ) begat (lʋlɩ) manasses (manasee) and (na) manasses (manasee) begat (lʋlɩ) amon (amoŋ) and (na) amon (amoŋ) begat (lʋlɩ) josias (yosiyasɩ) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (ná) josias (yosiyasɩ) begat (lʋləna) jechonias (cekoniyasɩ) and (ná) his (ɩ) brethren (newaa) about (NULL) the (nyə) time (waatʋ) they (NULL) were (pá) carried (NULL) away (NULL) to (pona) babylon (papiloni) 
