context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (nye) the (NULL) generation (dzidzime) of (nye) jesus (yesu) christ (kristo) the (NULL) son (NULL) of (nye) david (david) the (NULL) son (NULL) of (nye) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (dzi) isaac (isak) and (NULL) isaac (isak) begat (dzi) jacob (yakɔb) and (NULL) jacob (yakɔb) begat (dzi) judas (yuda) and (NULL) his (NULL) brethren (nɔviawo) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (yuda) begat (dzi) phares (perez) and (NULL) zara (zera) of (nye) thamar (temar) and (NULL) phares (perez) begat (dzi) esrom (hezrɔn) and (NULL) esrom (hezrɔn) begat (dzi) aram (ram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (ram) begat (dzi) aminadab (aminadab) and (NULL) aminadab (aminadab) begat (dzi) naasson (nahesɔn) and (NULL) naasson (nahesɔn) begat (dzi) salmon (salmo) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmo) begat (dzi) booz (boaz) of (nye) rachab (rahab) and (NULL) booz (boaz) begat (dzi) obed (obed) of (nye) ruth (NULL) and (NULL) obed (obed) begat (dzi) jesse (yese) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (yese) begat (dzi) david (david) the (NULL) king (fia) and (NULL) david (david) the (NULL) king (fia) begat (dzi) solomon (salomo) of (nye) her (batseba) that (ame) had (NULL) been (NULL) the (NULL) wife (srɔ) of (nye) urias (uria) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomo) begat (dzi) roboam (rehoboam) and (NULL) roboam (rehoboam) begat (dzi) abia (abiya) and (NULL) abia (abiya) begat (dzi) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (dzi) josaphat (yehosafat) and (NULL) josaphat (yehosafat) begat (dzi) joram (yoram) and (NULL) joram (yoram) begat (dzi) ozias (uzia) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzia) begat (dzi) joatham (yotam) and (NULL) joatham (yotam) begat (dzi) achaz (ahaz) and (NULL) achaz (ahaz) begat (dzi) ezekias (hezekia) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (hezekia) begat (dzi) manasses (manase) and (NULL) manasses (manase) begat (dzi) amon (amɔn) and (NULL) amon (amɔn) begat (dzi) josias (yosia) 
