context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (awi) book (NULL) of (sihino) the (awi) generation (manena) of (sihino) jesus (yesus) christ (kristus) the (awi) son (topora) of (sihino) david (daud) the (awi) son (topora) of (sihino) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (yanau) isaac (ishak) and (o) isaac (ishak) begat (yanau) jacob (yakub) and (o) jacob (yakub) begat (yanau) judas (yehuda) and (o) his (awi) brethren (gianongoru) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (de) judas (yehuda) begat (yanau) phares (peres) and (de) zara (tamar) of (ena) thamar (NULL) and (de) phares (peres) begat (yanau) esrom (hezron) and (de) esrom (hezron) begat (yanau) aram (ram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (o) aram (ram) begat (yanau) aminadab (abinadab) and (o) aminadab (abinadab) begat (yanau) naasson (nahason) and (o) naasson (nahason) begat (yanau) salmon (salmon) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (de) salmon (salmon) begat (yanau) booz (boas) of (o) rachab (ongo) and (de) booz (boas) begat (yanau) obed (obed) of (o) ruth (rut) and (de) obed (obed) begat (yanau) jesse (isai) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (de) jesse (isai) begat (yanau) david (daud) the (NULL) king (kolano) and (de) david (daud) the (NULL) king (kolano) begat (yanau) solomon (salomo) of (ma) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (balo) of (ma) urias (uria) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomo) begat (yanau) roboam (rehabeam) and (NULL) roboam (rehabeam) begat (yanau) abia (abia) and (NULL) abia (abia) begat (yanau) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (de) asa (asa) begat (yanau) josaphat (yosafat) and (de) josaphat (yosafat) begat (yanau) joram (yoram) and (de) joram (yoram) begat (yanau) ozias (uzia) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzia) begat (yanau) joatham (yotam) and (NULL) joatham (yotam) begat (yanau) achaz (ahas) and (NULL) achaz (ahas) begat (yanau) ezekias (hizkia) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (o) ezekias (hizkia) begat (yanau) manasses (manasye) and (o) manasses (manasye) begat (yanau) amon (amon) and (o) amon (amon) begat (yanau) josias (yosia) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (de) josias (yosia) begat (yanau) jechonias (yekhonya) and (de) his (awi) brethren (gianongoru) about (NULL) the (yahudika) time (orasi) they (NULL) were (NULL) carried (NULL) away (NULL) to (o) babylon (babel) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (so) after (NULL) they (NULL) were (NULL) brought (NULL) to (o) babylon (babel) jechonias (yekhonya) begat (yanau) salathiel (sealtiel) and (so) salathiel (sealtiel) begat (yanau) zorobabel (zerubabel) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (o) zorobabel (zerubabel) begat (yanau) abiud (abihud) and (o) abiud (abihud) begat (yanau) eliakim (elyakim) and (o) eliakim (elyakim) begat (yanau) azor (azor) 
b.MAT.1.14 and azor begat sadoc and sadoc begat achim and achim begat eliud,b.MAT.1.14 (b.MAT.1.14) and (de) azor (azor) begat (yanau) sadoc (zadok) and (de) sadoc (zadok) begat (yanau) achim (akhim) and (de) achim (akhim) begat (yanau) eliud (eliud) 
b.MAT.1.15 and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,b.MAT.1.15 (b.MAT.1.15) and (de) eliud (eliud) begat (yanau) eleazar (eleazar) and (de) eleazar (eleazar) begat (yanau) matthan (matan) and (de) matthan (matan) begat (yanau) jacob (yakub) 
b.MAT.1.16 and jacob begat joseph the husband of mary of whom was born jesus who is called christ,b.MAT.1.16 (b.MAT.1.16) and (kagena) jacob (yakub) begat (yanau) joseph (yusuf) the (NULL) husband (roka) of (NULL) mary (maria) of (NULL) whom (NULL) was (NULL) born (NULL) jesus (yesus) who (una) is (magena) called (mowisibubuo) christ (salamati) 
b.MAT.1.17 so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) so (lo) all (NULL) the (NULL) generations (yaruha) from (bati) abraham (abrahamka) to (o) david (NULL) are (NULL) fourteen (yaumoka) generations (yaruha) and (de) from (bati) david (NULL) until (sidago) the (NULL) carrying (dala) away (de) into (yaumo) babylon (babel) are (NULL) fourteen (yaumoka) generations (yaruha) and (de) from (bati) the (NULL) carrying (dala) away (de) into (yaumo) babylon (babel) unto (NULL) christ (salamati) are (NULL) fourteen (yaumoka) generations (yaruha) 
b.MAT.1.18 now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,b.MAT.1.18 (b.MAT.1.18) now (NULL) the (awi) birth (sibuo) of (o) jesus (yesus) christ (kristus) was (magena) on (NULL) this (komanena) wise (NULL) when (NULL) as (NULL) his (NULL) mother (awa) mary (maria) was (magena) espoused (moroheka) to (he) joseph (yusuf) before (waasi) they (yasinoto) came (NULL) together (NULL) she (NULL) was (magena) found (NULL) with (NULL) child (imakiidu) of (o) the (awi) holy (qatetebi) ghost (gurumi) 
b.MAT.1.19 then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) then (so) joseph (yusuf) her (magena) husband (bobai) being (NULL) a (moi) just (sininga) man (qaloha) and (de) not (upa) willing (womisimaqe) to (NULL) make (ngale) her (magena) a (moi) publick (bobai) example (NULL) was (ma) minded (NULL) to (NULL) put (NULL) her (magena) away (NULL) privily (NULL) 
