context,targ
b.MAR.1.1 the beginning of the gospel of jesus christ the son of god,b.MAR.1.1 (b.MAR.1.1) the (t) beginning (oiseachd) of (NULL) the (t) gospel (soisgeul) of (NULL) jesus (iosa) christ (criosda) the (t) son (mac) of (NULL) god (dhe) 
b.MAR.1.2 as it is written in the prophets behold i send my messenger before thy face which shall prepare thy way before thee,b.MAR.1.2 (b.MAR.1.2) as (mar) it (reir) is (tha) written (sgriobhte) in (san) the (NULL) prophets (fhaidh) behold (seall) i (mi) send (NULL) my (m) messenger (aingeal) before (NULL) thy (do) face (ghnuis) which (a) shall (cuiridh) prepare (reiticheas) thy (do) way (shlighe) before (NULL) thee (NULL) 
b.MAR.1.3 the voice of one crying in the wilderness prepare ye the way of the lord make his paths straight,b.MAR.1.3 (b.MAR.1.3) the (NULL) voice (guth) of (ag) one (neach) crying (eigheach) in (san) the (NULL) wilderness (fhasach) prepare (reitichibh) ye (NULL) the (NULL) way (slighe) of (ag) the (NULL) lord (tighearna) make (rathadain) his (a) paths (direach) straight (dianaibh) 
b.MAR.1.4 john did baptize in the wilderness and preach the baptism of repentance for the remission of sins,b.MAR.1.4 (b.MAR.1.4) john (eoin) did (bha) baptize (NULL) in (anns) the (an) wilderness (fhasach) and (sa) preach (searmonachadh) the (an) baptism (baisteadh) of (NULL) repentance (aithreachais) for (gu) the (an) remission (mathanas) of (NULL) sins (pheacannan) 
b.MAR.1.5 and there went out unto him all the land of judaea and they of jerusalem and were all baptized of him in the river of jordan confessing their sins,b.MAR.1.5 (b.MAR.1.5) and (agus) there (duthaich) went (chaidh) out (mach) unto (ionnsuidh) him (ga) all (uile) the (NULL) land (NULL) of (NULL) judaea (iudea) and (agus) they (iad) of (NULL) jerusalem (ierusalem) and (agus) were (NULL) all (uile) baptized (bhaisteadh) of (NULL) him (ga) in (ann) the (NULL) river (abhuinn) of (NULL) jordan (iordain) confessing (aideachadh) their (am) sins (peacannan) 
b.MAR.1.6 and john was clothed with camel s hair and with a girdle of a skin about his loins and he did eat locusts and wild honey,b.MAR.1.6 (b.MAR.1.6) and (agus) john (eoin) was (bha) clothed (eideadh) with (le) camel (NULL) s (NULL) hair (NULL) and (agus) with (le) a (NULL) girdle (NULL) of (mu) a (NULL) skin (mheadhon) about (dh) his (locuist) loins (mil) and (agus) he (e) did (NULL) eat (ith) locusts (fhiadhaich) and (agus) wild (shearmonaich) honey (leathair) 
b.MAR.1.7 and preached saying there cometh one mightier than i after me the latchet of whose shoes i am not worthy to stoop down and unloose,b.MAR.1.7 (b.MAR.1.7) and (NULL) preached (nas) saying (NULL) there (cumhachdaiche) cometh (tighinn) one (fear) mightier (mo) than (na) i (mise) after (NULL) me (NULL) the (NULL) latchet (NULL) of (as) whose (NULL) shoes (neach) i (mise) am (bhrogan) not (nach) worthy (NULL) to (NULL) stoop (cromadh) down (sios) and (NULL) unloose (fhuasgladh) 
b.MAR.1.8 i indeed have baptized you with water but he shall baptize you with the holy ghost,b.MAR.1.8 (b.MAR.1.8) i (mise) indeed (bhaist) have (NULL) baptized (NULL) you (sibh) with (le) water (uisge) but (ach) he (esan) shall (NULL) baptize (baistidh) you (sibh) with (le) the (NULL) holy (naomh) ghost (spiorad) 
b.MAR.1.9 and it came to pass in those days that jesus came from nazareth of galilee and was baptized of john in jordan,b.MAR.1.9 (b.MAR.1.9) and (is) it (NULL) came (thachair) to (le) pass (NULL) in (anns) those (na) days (laithean) that (gun) jesus (iosa) came (thachair) from (bho) nazareth (nasareth) of (NULL) galilee (ghalile) and (is) was (abhuinn) baptized (bhaisteadh) of (NULL) john (eoin) in (anns) jordan (iordan) 
b.MAR.1.10 and straightway coming up out of the water he saw the heavens opened and the spirit like a dove descending upon him,b.MAR.1.10 (b.MAR.1.10) and (s) straightway (ball) coming (direadh) up (NULL) out (as) of (NULL) the (an) water (uisge) he (e) saw (chunnaic) the (an) heavens (neamh) opened (fosgailte) and (s) the (an) spirit (spiorad) like (chalman) a (NULL) dove (tearnadh) descending (sa) upon (fantuinn) him (air) 
b.MAR.1.11 and there came a voice from heaven saying thou art my beloved son in whom i am well pleased,b.MAR.1.11 (b.MAR.1.11) and (agus) there (NULL) came (thainig) a (NULL) voice (guth) from (bho) heaven (neamh) saying (NULL) thou (is) art (tusa) my (mo) beloved (thlachd) son (mhac) in (mor) whom (gaolach) i (NULL) am (is) well (dhiot) pleased (NULL) 
b.MAR.1.12 and immediately the spirit driveth him into the wilderness,b.MAR.1.12 (b.MAR.1.12) and (agus) immediately (ghrad) the (an) spirit (spiorad) driveth (ghreas) him (e) into (dhan) the (an) wilderness (fhasach) 
b.MAR.1.13 and he was there in the wilderness forty days tempted of satan and was with the wild beasts and the angels ministered unto him,b.MAR.1.13 (b.MAR.1.13) and (agus) he (e) was (bha) there (agus) in (san) the (NULL) wilderness (fhasach) forty (fhichead) days (latha) tempted (bhuaireadh) of (NULL) satan (satan) and (agus) was (bha) with (comhla) the (NULL) wild (h) beasts (ainmhidhean) and (agus) the (NULL) angels (ainglean) ministered (frithealadh) unto (ris) him (dha) 
b.MAR.1.14 now after that john was put in prison jesus came into galilee preaching the gospel of the kingdom of god,b.MAR.1.14 (b.MAR.1.14) now (s) after (deigh) that (a) john (eoin) was (dh) put (chuir) in (air) prison (greim) jesus (iosa) came (thainig) into (do) galilee (ghalile) preaching (searmonachadh) the (NULL) gospel (soisgeul) of (NULL) the (NULL) kingdom (rioghachd) of (NULL) god (dhe) 
b.MAR.1.15 and saying the time is fulfilled and the kingdom of god is at hand repent ye and believe the gospel,b.MAR.1.15 (b.MAR.1.15) and (s) saying (radh) the (t) time (am) is (tha) fulfilled (choimhlionadh) and (s) the (t) kingdom (rioghachd) of (NULL) god (dhe) is (tha) at (aig) hand (laimh) repent (aithreachas) ye (deanaibh) and (s) believe (creidibh) the (t) gospel (soisgeul) 
b.MAR.1.16 now as he walked by the sea of galilee he saw simon and andrew his brother casting a net into the sea for they were fishers,b.MAR.1.16 (b.MAR.1.16) now (sa) as (gabhail) he (NULL) walked (ri) by (taobh) the (NULL) sea (muir) of (NULL) galilee (ghalile) he (NULL) saw (chunnaic) simon (simon) and (agus) andrew (anndra) his (a) brother (bhrathair) casting (lion) a (NULL) net (sa) into (NULL) the (NULL) sea (muir) for (oir) they (iad) were (b) fishers (iasgairean) 
b.MAR.1.17 and jesus said unto them come ye after me and i will make you to become fishers of men,b.MAR.1.17 (b.MAR.1.17) and (agus) jesus (iosa) said (thuirt) unto (NULL) them (riutha) come (thigibh) ye (NULL) after (leanaibh) me (mise) and (agus) i (mi) will (ni) make (NULL) you (NULL) to (NULL) become (dhibh) fishers (iasgairean) of (NULL) men (dhaoine) 
b.MAR.1.18 and straightway they forsook their nets and followed him,b.MAR.1.18 (b.MAR.1.18) and (agus) straightway (ghrad) they (iad) forsook (fhag) their (NULL) nets (lin) and (agus) followed (lean) him (e) 
b.MAR.1.19 and when he had gone a little further thence he saw james the son of zebedee and john his brother who also were in the ship mending their nets,b.MAR.1.19 (b.MAR.1.19) and (sa) when (a) he (gabhail) had (NULL) gone (ceum) a (air) little (beag) further (adhart) thence (sin) he (gabhail) saw (chunnaic) james (seumas) the (NULL) son (mac) of (as) zebedee (shebede) and (sa) john (eoin) his (a) brother (bhrathair) who (NULL) also (NULL) were (iad) in (sa) the (NULL) ship (bhata) mending (caradh) their (nan) nets (lion) 
b.MAR.1.20 and straightway he called them and they left their father zebedee in the ship with the hired servants and went after him,b.MAR.1.20 (b.MAR.1.20) and (agus) straightway (uair) he (e) called (ghairm) them (iad) and (agus) they (iad) left (fagail) their (an) father (athar) zebedee (sebede) in (san) the (NULL) ship (bhata) with (maille) the (NULL) hired (luchd) servants (thuarasdail) and (agus) went (NULL) after (NULL) him (NULL) 
b.MAR.1.21 and they went into capernaum and straightway on the sabbath day he entered into the synagogue and taught,b.MAR.1.21 (b.MAR.1.21) and (agus) they (iad) went (chaidh) into (stigh) capernaum (chapharnaum) and (agus) straightway (dhol) on (air) the (na) sabbath (sabaid) day (NULL) he (NULL) entered (stigh) into (stigh) the (na) synagogue (sinagog) and (agus) taught (theagaisg) 
