context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (βίβλος) of (NULL) the (NULL) generation (γενέσεως) of (NULL) jesus (ἰησοῦ) christ (χριστοῦ) the (NULL) son (υἱοῦ) of (NULL) david (δαυεὶδ) the (NULL) son (υἱοῦ) of (NULL) abraham (ἀβραάμ) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (ἀβραὰμ) begat (ἐγέννησεν) isaac (ἰσαάκ) and (δὲ) isaac (ἰσαάκ) begat (ἐγέννησεν) jacob (ἰακώβ) and (δὲ) jacob (ἰακώβ) begat (ἐγέννησεν) judas (ἰούδαν) and (δὲ) his (αὐτοῦ) brethren (ἀδελφοὺς) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (δὲ) judas (ἰούδας) begat (ἐγέννησεν) phares (φάρες) and (δὲ) zara (ζάρα) of (τῆς) thamar (θαμάρ) and (δὲ) phares (φάρες) begat (ἐγέννησεν) esrom (ἑσρώμ) and (δὲ) esrom (ἑσρώμ) begat (ἐγέννησεν) aram (ἀράμ) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (δὲ) aram (ἀρὰμ) begat (ἐγέννησεν) aminadab (ἀμιναδάβ) and (δὲ) aminadab (ἀμιναδάβ) begat (ἐγέννησεν) naasson (ναασσών) and (δὲ) naasson (ναασσών) begat (ἐγέννησεν) salmon (σαλμών) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (δὲ) salmon (σαλμὼν) begat (ἐγέννησεν) booz (βόες) of (τῆς) rachab (ῥαχάβ) and (δὲ) booz (βόες) begat (ἐγέννησεν) obed (ἰωβὴδ) of (τῆς) ruth (ῥούθ) and (δὲ) obed (ἰωβὴδ) begat (ἐγέννησεν) jesse (ἰεσσαί) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (δὲ) jesse (ἰεσσαὶ) begat (ἐγέννησεν) david (δαυεὶδ) the (τὸν) king (βασιλέα) and (δὲ) david (δαυεὶδ) the (τὸν) king (βασιλέα) begat (ἐγέννησεν) solomon (σολομῶνα) of (ἐκ) her (NULL) that (NULL) had (NULL) been (NULL) the (τὸν) wife (NULL) of (ἐκ) urias (οὐρίου) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (δὲ) solomon (σολομὼν) begat (ἐγέννησεν) roboam (ῥοβοάμ) and (δὲ) roboam (ῥοβοάμ) begat (ἐγέννησεν) abia (ἀβιά) and (δὲ) abia (ἀβιά) begat (ἐγέννησεν) asa (ἀσάφ) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (δὲ) asa (ἀσὰφ) begat (ἐγέννησεν) josaphat (ἰωσαφάτ) and (δὲ) josaphat (ἰωσαφάτ) begat (ἐγέννησεν) joram (ἰωράμ) and (δὲ) joram (ἰωράμ) begat (ἐγέννησεν) ozias (ὀζείαν) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (ὀζείας) begat (ἐγέννησεν) joatham (ἰωαθάμ) and (NULL) joatham (ἰωαθάμ) begat (ἐγέννησεν) achaz (ἀχάζ) and (NULL) achaz (ἀχάζ) begat (ἐγέννησεν) ezekias (ἑζεκίαν) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (δὲ) ezekias (ἑζεκίας) begat (ἐγέννησεν) manasses (μανασσῆ) and (δὲ) manasses (μανασσῆ) begat (ἐγέννησεν) amon (ἀμώς) and (δὲ) amon (ἀμώς) begat (ἐγέννησεν) josias (ἰωσείαν) 
