context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (પર) book (NULL) of (વ) the (પર) generation (NULL) of (વ) jesus (ઈસ) christ (ખ) the (પર) son (NULL) of (વ) david (ઉદન) the (પર) son (NULL) of (વ) abraham (ઈબ) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (ઈબ) begat (NULL) isaac (ઈસહ) and (NULL) isaac (ઈસહ) begat (NULL) jacob (NULL) and (NULL) jacob (NULL) begat (NULL) judas (યહ) and (NULL) his (ન) brethren (ઈઓન) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (યહ) begat (NULL) phares (હ) and (NULL) zara (હન) of (નન) thamar (ઓન) and (NULL) phares (હ) begat (NULL) esrom (NULL) and (NULL) esrom (NULL) begat (NULL) aram (આર) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (બ) aram (આર) begat (NULL) aminadab (હશ) and (બ) aminadab (હશ) begat (NULL) naasson (NULL) and (બ) naasson (NULL) begat (NULL) salmon (NULL) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (બ) salmon (સલ) begat (NULL) booz (ઓબ) of (NULL) rachab (આઝન) and (બ) booz (ઓબ) begat (NULL) obed (NULL) of (NULL) ruth (ઈન) and (બ) obed (NULL) begat (NULL) jesse (યશ) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (યશ) begat (NULL) david (NULL) the (NULL) king (જ) and (NULL) david (NULL) the (NULL) king (જ) begat (NULL) solomon (નન) of (દ) her (NULL) that (ત) had (હત) been (મ) the (NULL) wife (પત) of (દ) urias (NULL) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (બ) solomon (NULL) begat (NULL) roboam (NULL) and (બ) roboam (NULL) begat (NULL) abia (NULL) and (બ) abia (NULL) begat (NULL) asa (આસ) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (આસ) begat (NULL) josaphat (ટન) and (NULL) josaphat (ટન) begat (NULL) joram (મન) and (NULL) joram (મન) begat (NULL) ozias (ઉઝ) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (ઉઝ) begat (NULL) joatham (આહ) and (NULL) joatham (આહ) begat (NULL) achaz (NULL) and (NULL) achaz (NULL) begat (NULL) ezekias (ઝક) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (શ) ezekias (હ) begat (NULL) manasses (ઝક) and (શ) manasses (ઝક) begat (NULL) amon (આમ) and (શ) amon (આમ) begat (NULL) josias (NULL) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (ય) josias (NULL) begat (NULL) jechonias (યખ) and (ય) his (ન) brethren (ઈઓન) about (બ) the (બન) time (સમય) they (લ) were (હત) carried (NULL) away (NULL) to (વવ) babylon (NULL) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (બ) after (પછ) they (ઓન) were (હત) brought (લઈ) to (NULL) babylon (NULL) jechonias (શલથ) begat (NULL) salathiel (NULL) and (બ) salathiel (NULL) begat (NULL) zorobabel (લન) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (ઝર) begat (NULL) abiud (અબ) and (NULL) abiud (અબ) begat (NULL) eliakim (એલ) and (NULL) eliakim (એલ) begat (NULL) azor (રન) 
b.MAT.1.14 and azor begat sadoc and sadoc begat achim and achim begat eliud,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (અઝ) begat (NULL) sadoc (કન) and (NULL) sadoc (કન) begat (NULL) achim (NULL) and (NULL) achim (NULL) begat (NULL) eliud (હ) 
b.MAT.1.15 and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (એલ) begat (NULL) eleazar (દ) and (NULL) eleazar (દ) begat (NULL) matthan (ઝર) and (NULL) matthan (ઝર) begat (NULL) jacob (બન) 
b.MAT.1.16 and jacob begat joseph the husband of mary of whom was born jesus who is called christ,b.MAT.1.16 (b.MAT.1.16) and (ગ) jacob (NULL) begat (NULL) joseph (સફન) the (બ) husband (પત) of (NULL) mary (મર) of (NULL) whom (NULL) was (હત) born (NULL) jesus (ઈસ) who (અન) is (NULL) called (વ) christ (ખ) 
b.MAT.1.17 so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) so (આમ) all (પ) the (NULL) generations (NULL) from (મથ) abraham (ઈબ) to (ન) david (NULL) are (NULL) fourteen (NULL) generations (NULL) and (બ) from (મથ) david (NULL) until (ધ) the (NULL) carrying (જન) away (લઈ) into (લમ) babylon (NULL) are (NULL) fourteen (NULL) generations (NULL) and (બ) from (મથ) the (NULL) carrying (જન) away (લઈ) into (લમ) babylon (NULL) unto (સ) christ (ખ) are (NULL) fourteen (NULL) generations (NULL) 
b.MAT.1.18 now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,b.MAT.1.18 (b.MAT.1.18) now (છ) the (ણ) birth (જન) of (ષ) jesus (ઈસ) christ (ખ) was (હત) on (NULL) this (છ) wise (NULL) when (NULL) as (NULL) his (ત) mother (મ) mary (મર) was (હત) espoused (સગ) to (NULL) joseph (સફ) before (પહ) they (લ) came (NULL) together (સ) she (લગ) was (હત) found (ય) with (થ) child (ભવત) of (ષ) the (ણ) holy (પવ) ghost (આત) 
b.MAT.1.19 then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) then (NULL) joseph (સફ) her (NULL) husband (પત) being (NULL) a (મ) just (ભલ) man (ણસ) and (NULL) not (NULL) willing (ઈચ) to (છત) make (કર) her (NULL) a (મ) publick (લજ) example (NULL) was (હત) minded (NULL) to (છત) put (ટ) her (NULL) away (NULL) privily (NULL) 
b.MAT.1.20 but while he thought on these things behold the angel of the lord appeared unto him in a dream saying joseph thou son of david fear not to take unto thee mary thy wife for that which is conceived in her is of the holy ghost,b.MAT.1.20 (b.MAT.1.20) but (ત) while (ય) he (ત) thought (ચ) on (NULL) these (આ) things (વ) behold (NULL) the (NULL) angel (દ) of (NULL) the (NULL) lord (રભ) appeared (કહય) unto (NULL) him (ન) in (રહ) a (NULL) dream (NULL) saying (ય) joseph (સફ) thou (ત) son (દ) of (NULL) david (ઉદન) fear (અચક) not (નહ) to (રવ) take (ન) unto (NULL) thee (NULL) mary (મર) thy (ર) wife (પત) for (રણ) that (NULL) which (જ) is (NULL) conceived (ગર) in (રહ) her (NULL) is (NULL) of (NULL) the (NULL) holy (પવ) ghost (આત) 
b.MAT.1.21 and she shall bring forth a son and thou shalt call his name jesus for he shall save his people from their sins,b.MAT.1.21 (b.MAT.1.21) and (અન) she (ત) shall (આપશ) bring (NULL) forth (NULL) a (ત) son (કર) and (અન) thou (NULL) shalt (NULL) call (આપજ) his (ન) name (ન) jesus (ઈસ) for (રણ) he (ત) shall (આપશ) save (NULL) his (ન) people (લ) from (થ) their (મન) sins (પ) 
b.MAT.1.22 now all this was done that it might be fulfilled which was spoken of the lord by the prophet saying,b.MAT.1.22 (b.MAT.1.22) now (NULL) all (બધ) this (આ) was (NULL) done (ય) that (NULL) it (NULL) might (થ) be (થશ) fulfilled (ણ) which (ત) was (NULL) spoken (NULL) of (ષ) the (NULL) lord (રભ) by (રણ) the (NULL) prophet (રબ) saying (કહ) 
b.MAT.1.23 behold a virgin shall be with child and shall bring forth a son and they shall call his name emmanuel which being interpreted is god with us,b.MAT.1.23 (b.MAT.1.23) behold (NULL) a (એક) virgin (NULL) shall (થશ) be (NULL) with (ર) child (ભવત) and (NULL) shall (થશ) bring (NULL) forth (NULL) a (એક) son (કર) and (NULL) they (ઓ) shall (થશ) call (NULL) his (ત) name (ન) emmanuel (ઈમ) which (એટલ) being (NULL) interpreted (ઈમ) is (છ) god (દ) with (ર) us (આપણ) 
b.MAT.1.24 then joseph being raised from sleep did as the angel of the lord had bidden him and took unto him his wife,b.MAT.1.24 (b.MAT.1.24) then (NULL) joseph (સફ) being (NULL) raised (NULL) from (NULL) sleep (NULL) did (ય) as (જ) the (ગ) angel (દ) of (NULL) the (ગ) lord (રભ) had (ય) bidden (NULL) him (ન) and (અન) took (લ) unto (તર) him (ન) his (ત) wife (પત) 
b.MAT.1.25 and knew her not till she had brought forth her firstborn son and he called his name jesus,b.MAT.1.25 (b.MAT.1.25) and (NULL) knew (ણ) her (મર) not (નહ) till (ધ) she (NULL) had (NULL) brought (ય) forth (કર) her (મર) firstborn (જન) son (NULL) and (NULL) he (ઈસ) called (NULL) his (NULL) name (મ) jesus (NULL) 
b.MAT.2.1 now when jesus was born in bethlehem of judaea in the days of herod the king behold there came wise men from the east to jerusalem,b.MAT.2.1 (b.MAT.2.1) now (NULL) when (ય) jesus (ઈસ) was (હત) born (જન) in (NULL) bethlehem (થલ) of (NULL) judaea (યહ) in (NULL) the (NULL) days (સમયમ) of (NULL) herod (હ) the (NULL) king (જ) behold (મ) there (NULL) came (આવ) wise (ઞ) men (ણસ) from (શમ) the (NULL) east (NULL) to (શ) jerusalem (યર) 
b.MAT.2.2 saying where is he that is born king of the jews for we have seen his star in the east and are come to worship him,b.MAT.2.2 (b.MAT.2.2) saying (NULL) where (ય) is (છ) he (ત) that (NULL) is (છ) born (જન) king (જ) of (NULL) the (શ) jews (યહ) for (ક) we (અમ) have (છ) seen (ય) his (ન) star (NULL) in (મ) the (શ) east (વમ) and (અન) are (છ) come (આવ) to (કરવ) worship (ભજન) him (ન) 
b.MAT.2.3 when herod the king had heard these things he was troubled and all jerusalem with him,b.MAT.2.3 (b.MAT.2.3) when (ય) herod (હ) the (લ) king (જ) had (NULL) heard (ભળ) these (આ) things (NULL) he (ત) was (ગય) troubled (NULL) and (અન) all (બધ) jerusalem (યર) with (NULL) him (NULL) 
b.MAT.2.4 and when he had gathered all the chief priests and scribes of the people together he demanded of them where christ should be born,b.MAT.2.4 (b.MAT.2.4) and (બ) when (NULL) he (NULL) had (ય) gathered (NULL) all (બધ) the (NULL) chief (ખ) priests (જક) and (બ) scribes (સ) of (NULL) the (NULL) people (NULL) together (NULL) he (NULL) demanded (છય) of (NULL) them (ઓન) where (ય) christ (ખ) should (મ) be (થવ) born (જન) 
b.MAT.2.5 and they said unto him in bethlehem of judaea for thus it is written by the prophet,b.MAT.2.5 (b.MAT.2.5) and (બ) they (ઓએ) said (ઉત) unto (આપ) him (તર) in (મ) bethlehem (થલ) of (NULL) judaea (યહ) for (ક) thus (NULL) it (આ) is (છ) written (લખ) by (ર) the (દ) prophet (રબ) 
b.MAT.2.6 and thou bethlehem in the land of juda art not the least among the princes of juda for out of thee shall come a governor that shall rule my people israel,b.MAT.2.6 (b.MAT.2.6) and (બ) thou (ત) bethlehem (થલ) in (મ) the (NULL) land (NULL) of (ન) juda (NULL) art (હ) not (નથ) the (NULL) least (NULL) among (NULL) the (NULL) princes (નગર) of (ન) juda (NULL) for (NULL) out (થ) of (ન) thee (ર) shall (આપશ) come (NULL) a (એક) governor (NULL) that (જ) shall (આપશ) rule (રવણ) my (મ) people (રજ) israel (એલન) 
b.MAT.2.7 then herod when he had privily called the wise men inquired of them diligently what time the star appeared,b.MAT.2.7 (b.MAT.2.7) then (પછ) herod (હ) when (ર) he (ત) had (NULL) privily (NULL) called (ન) the (ધ) wise (ઞ) men (ણસ) inquired (વમ) of (દ) them (NULL) diligently (NULL) what (NULL) time (સમય) the (ધ) star (NULL) appeared (NULL) 
b.MAT.2.8 and he sent them to bethlehem and said go and search diligently for the young child and when ye have found him bring me word again that i may come and worship him also,b.MAT.2.8 (b.MAT.2.8) and (NULL) he (ણસ) sent (કલ) them (NULL) to (ન) bethlehem (થલ) and (NULL) said (ય) go (જઈ) and (NULL) search (પત) diligently (કહય) for (મ) the (શ) young (ળકન) child (ળકન) and (NULL) when (ય) ye (તમન) have (NULL) found (મળ) him (NULL) bring (કર) me (મન) word (NULL) again (NULL) that (ત) i (હ) may (થ) come (આવ) and (NULL) worship (ભજન) him (NULL) also (પણ) 
b.MAT.2.9 when they had heard the king they departed and lo the star which they saw in the east went before them till it came and stood over where the young child was,b.MAT.2.9 (b.MAT.2.9) when (ય) they (NULL) had (NULL) heard (ભળ) the (NULL) king (ર) they (NULL) departed (કળ) and (અન) lo (મણ) the (NULL) star (NULL) which (કર) they (NULL) saw (ય) in (અન) the (NULL) east (NULL) went (હત) before (આગળ) them (મન) till (NULL) it (ત) came (ય) and (અન) stood (NULL) over (ર) where (જગ) the (NULL) young (NULL) child (ળક) was (હત) 
b.MAT.2.10 when they saw the star they rejoiced with exceeding great joy,b.MAT.2.10 (b.MAT.2.10) when (ય) they (ત) saw (NULL) the (શ) star (NULL) they (ત) rejoiced (થય) with (NULL) exceeding (બજ) great (NULL) joy (NULL) 
b.MAT.2.11 and when they were come into the house they saw the young child with mary his mother and fell down and worshipped him and when they had opened their treasures they presented unto him gifts gold and frankincense and myrrh,b.MAT.2.11 (b.MAT.2.11) and (NULL) when (NULL) they (ઓએ) were (હત) come (આવ) into (NULL) the (NULL) house (ઘર) they (ઓએ) saw (ય) the (NULL) young (ળકન) child (ળક) with (સ) mary (મર) his (ત) mother (ન) and (NULL) fell (NULL) down (ય) and (NULL) worshipped (નમન) him (ત) and (NULL) when (NULL) they (ઓએ) had (ય) opened (ઉઘ) their (ત) treasures (ખજ) they (ઓએ) presented (NULL) unto (એ) him (ત) gifts (NULL) gold (NULL) and (NULL) frankincense (અર) and (NULL) myrrh (NULL) 
b.MAT.2.12 and being warned of god in a dream that they should not return to herod they departed into their own country another way,b.MAT.2.12 (b.MAT.2.12) and (પણ) being (NULL) warned (તવણ) of (NULL) god (વ) in (નમ) a (ત) dream (વપ) that (છ) they (NULL) should (NULL) not (નહ) return (NULL) to (જવ) herod (હ) they (NULL) departed (ગય) into (NULL) their (મન) own (પ) country (શમ) another (જ) way (ત) 
