context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (comam) christ (jesucristo) the (NULL) son (NULL) of (NULL) david (david) the (NULL) son (NULL) of (NULL) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (ismam) isaac (isaac) and (NULL) isaac (isaac) begat (ismam) jacob (NULL) and (NULL) jacob (NULL) begat (ismam) judas (NULL) and (NULL) his (NULL) brethren (NULL) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (naj) judas (NULL) begat (ismam) phares (fares) and (naj) zara (zara) of (haˈ) thamar (tamar) and (naj) phares (fares) begat (ismam) esrom (esrom) and (naj) esrom (esrom) begat (ismam) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (naj) aram (aram) begat (ismam) aminadab (aminadab) and (naj) aminadab (aminadab) begat (ismam) naasson (naasón) and (naj) naasson (naasón) begat (ismam) salmon (salmón) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmón) begat (ismam) booz (booz) of (NULL) rachab (booz) and (NULL) booz (booz) begat (ismam) obed (obed) of (NULL) ruth (rut) and (NULL) obed (obed) begat (ismam) jesse (isaí) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (isaí) begat (ismam) david (david) the (NULL) king (naj) and (NULL) david (david) the (NULL) king (naj) begat (ismam) solomon (salomón) of (NULL) her (ix) that (ton) had (tuˈ) been (NULL) the (NULL) wife (NULL) of (NULL) urias (yixalticˈa) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (naj) solomon (salomón) begat (ismam) roboam (roboam) and (naj) roboam (roboam) begat (ismam) abia (abías) and (naj) abia (abías) begat (ismam) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (naj) asa (asa) begat (ismam) josaphat (josafat) and (naj) josaphat (josafat) begat (ismam) joram (joram) and (naj) joram (joram) begat (ismam) ozias (uzías) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (naj) ozias (uzías) begat (ismam) joatham (jotam) and (naj) joatham (jotam) begat (ismam) achaz (acaz) and (naj) achaz (acaz) begat (ismam) ezekias (ezequías) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (naj) ezekias (ezequías) begat (ismam) manasses (manasés) and (naj) manasses (manasés) begat (ismam) amon (amón) and (naj) amon (amón) begat (ismam) josias (josías) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (josías) begat (ismam) jechonias (jeconías) and (NULL) his (naj) brethren (NULL) about (yin) the (haˈ) time (istiempohal) they (NULL) were (ebnaj) carried (ilaxto) away (jeconías) to (ob) babylon (babilonia) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (NULL) after (NULL) they (ebnaj) were (NULL) brought (naj) to (NULL) babylon (babilonia) jechonias (jeconías) begat (ismam) salathiel (salatiel) and (NULL) salathiel (salatiel) begat (ismam) zorobabel (zorobabel) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (naj) zorobabel (zorobabel) begat (ismam) abiud (abiud) and (naj) abiud (abiud) begat (ismam) eliakim (eliaquim) and (naj) eliakim (eliaquim) begat (ismam) azor (azor) 
b.MAT.1.14 and azor begat sadoc and sadoc begat achim and achim begat eliud,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (azor) begat (ismam) sadoc (sadoc) and (NULL) sadoc (sadoc) begat (ismam) achim (aquim) and (NULL) achim (aquim) begat (ismam) eliud (eliud) 
b.MAT.1.15 and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (eliud) begat (ismam) eleazar (eleazar) and (NULL) eleazar (eleazar) begat (ismam) matthan (matán) and (NULL) matthan (matán) begat (ismam) jacob (jacob) 
b.MAT.1.16 and jacob begat joseph the husband of mary of whom was born jesus who is called christ,b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (jacob) begat (ismam) joseph (josé) the (NULL) husband (yichamil) of (haˈ) mary (maría) of (haˈ) whom (haˈ) was (naj) born (NULL) jesus (jesús) who (comam) is (ton) called (NULL) christ (cristo) 
b.MAT.1.17 so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) so (NULL) all (NULL) the (NULL) generations (NULL) from (mame) abraham (abraham) to (ob) david (david) are (NULL) fourteen (lahon) generations (NULL) and (NULL) from (mame) david (david) until (masanto) the (NULL) carrying (tzujanxa) away (ebnaj) into (yilaxto) babylon (babilonia) are (NULL) fourteen (lahon) generations (NULL) and (NULL) from (mame) the (NULL) carrying (tzujanxa) away (ebnaj) into (yilaxto) babylon (babilonia) unto (NULL) christ (jesucristo) are (NULL) fourteen (lahon) generations (NULL) 
b.MAT.1.18 now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,b.MAT.1.18 (b.MAT.1.18) now (NULL) the (NULL) birth (ispitzcˈa) of (NULL) jesus (comam) christ (jesucristo) was (ix) on (yin) this (NULL) wise (NULL) when (yet) as (wal) his (NULL) mother (NULL) mary (maría) was (ix) espoused (takˈwebilxa) to (NULL) joseph (josé) before (maẍto) they (NULL) came (NULL) together (NULL) she (ix) was (ix) found (ispitzcˈatiˈ) with (NULL) child (nichˈan) of (NULL) the (NULL) holy (comam) ghost (espíritu) 
b.MAT.1.19 then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) then (NULL) joseph (josé) her (NULL) husband (NULL) being (tuˈ) a (NULL) just (NULL) man (NULL) and (NULL) not (mach) willing (isje) to (NULL) make (NULL) her (NULL) a (NULL) publick (iskˈanaˈ) example (NULL) was (naj) minded (isnabal) to (NULL) put (NULL) her (NULL) away (NULL) privily (ewantajil) 
b.MAT.1.20 but while he thought on these things behold the angel of the lord appeared unto him in a dream saying joseph thou son of david fear not to take unto thee mary thy wife for that which is conceived in her is of the holy ghost,b.MAT.1.20 (b.MAT.1.20) but (NULL) while (lan) he (NULL) thought (NULL) on (NULL) these (NULL) things (NULL) behold (huneˈ) the (NULL) angel (yángel) of (NULL) the (NULL) lord (dios) appeared (isyeni) unto (tet) him (NULL) in (yul) a (isnabal) dream (iswayic) saying (yalni) joseph (josé) thou (hach) son (naj) of (NULL) david (david) fear (hamohyi) not (mach) to (NULL) take (chinanon) unto (tet) thee (NULL) mary (maría) thy (hacˈul) wife (yeb) for (yuto) that (NULL) which (NULL) is (haˈ) conceived (nichˈan) in (yul) her (ix) is (haˈ) of (NULL) the (NULL) holy (comam) ghost (espíritu) 
