context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (weatrí) of (ashí) the (NULL) generation (NULL) of (ashí) jesus (NULL) christ (jesukrístu) the (NULL) son (NULL) of (ashí) david (tawitcha) the (NULL) son (NULL) of (ashí) abraham (apraámsha) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (apraáma) begat (uchirí) isaac (isak) and (tura) isaac (isak) begat (uchirí) jacob (jakup) and (tura) jacob (jakup) begat (uchirí) judas (NULL) and (tura) his (ni) brethren (yachijiai) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (tura) judas (NULL) begat (uchirísha) phares (sarancha) and (tura) zara (páresan) of (NULL) thamar (NULL) and (tura) phares (sarancha) begat (uchirísha) esrom (páresa) and (tura) esrom (páresa) begat (uchirísha) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (NULL) begat (uchirísha) aminadab (aminiatáp) and (NULL) aminadab (aminiatáp) begat (uchirísha) naasson (nasun) and (NULL) naasson (nasun) begat (uchirísha) salmon (sarmun) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (sarmunka) begat (jurermiayi) booz (puusa) of (NULL) rachab (púusan) and (NULL) booz (puusa) begat (jurermiayi) obed (NULL) of (NULL) ruth (uwitia) and (NULL) obed (NULL) begat (jurermiayi) jesse (isaí) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (NULL) begat (uchirísha) david (NULL) the (NULL) king (uunt) and (NULL) david (NULL) the (NULL) king (uunt) begat (uchirísha) solomon (patsepa) of (NULL) her (nuweeyayi) that (uríasa) had (NULL) been (NULL) the (NULL) wife (NULL) of (NULL) urias (patsepasha) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (sarumúnka) begat (uchirí) roboam (NULL) and (NULL) roboam (NULL) begat (uchirí) abia (NULL) and (NULL) abia (NULL) begat (uchirí) asa (NULL) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (NULL) begat (uchirísha) josaphat (jusapát) and (NULL) josaphat (jusapát) begat (uchirísha) joram (juram) and (NULL) joram (juram) begat (uchirísha) ozias (usías) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (usíasa) begat (uchirí) joatham (jutam) and (NULL) joatham (jutam) begat (uchirí) achaz (akas) and (NULL) achaz (akas) begat (uchirí) ezekias (esekías) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (esekíasa) begat (uchirí) manasses (manasés) and (NULL) manasses (manasés) begat (uchirí) amon (amun) and (NULL) amon (amun) begat (uchirí) josias (jusías) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (jusíasa) begat (uchirí) jechonias (jekunías) and (NULL) his (ni) brethren (yachi) about (NULL) the (NULL) time (papirúnianmaya) they (NULL) were (achirar) carried (mesetjai) away (nupetkar) to (NULL) babylon (papirúnia) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (tura) after (NULL) they (NULL) were (NULL) brought (jekuníasa) to (NULL) babylon (NULL) jechonias (NULL) begat (NULL) salathiel (ukunmanka) and (tura) salathiel (ukunmanka) begat (NULL) zorobabel (surupapír) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (surupapíra) begat (uchirí) abiud (awiut) and (NULL) abiud (awiut) begat (uchirí) eliakim (iriakím) and (NULL) eliakim (iriakím) begat (uchirí) azor (asur) 
b.MAT.1.14 and azor begat sadoc and sadoc begat achim and achim begat eliud,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (asura) begat (uchirí) sadoc (satuk) and (NULL) sadoc (satuk) begat (uchirí) achim (akim) and (NULL) achim (akim) begat (uchirí) eliud (eriut) 
b.MAT.1.15 and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (eriuta) begat (uchirí) eleazar (ereasár) and (NULL) eleazar (ereasár) begat (uchirí) matthan (matan) and (NULL) matthan (matan) begat (uchirí) jacob (jakup) 
b.MAT.1.16 and jacob begat joseph the husband of mary of whom was born jesus who is called christ,b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (jakupa) begat (uchirí) joseph (jusé) the (NULL) husband (NULL) of (NULL) mary (marí) of (NULL) whom (aishriya) was (NULL) born (jurermiayi) jesus (jesusan) who (NULL) is (NULL) called (uwemtikiartin) christ (kristu) 
b.MAT.1.17 so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) so (asamtai) all (NULL) the (NULL) generations (apraámnumia) from (NULL) abraham (tawitnium) to (NULL) david (weatrí) are (NULL) fourteen (katurse) generations (apraámnumia) and (NULL) from (NULL) david (weatrí) until (tawitniumiasha) the (NULL) carrying (NULL) away (NULL) into (NULL) babylon (NULL) are (NULL) fourteen (katurse) generations (apraámnumia) and (NULL) from (NULL) the (NULL) carrying (NULL) away (NULL) into (NULL) babylon (NULL) unto (NULL) christ (jukimiunmayasha) are (NULL) fourteen (katurse) generations (apraámnumia) 
b.MAT.1.18 now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,b.MAT.1.18 (b.MAT.1.18) now (tura) the (NULL) birth (akiiniamu) of (NULL) jesus (NULL) christ (jesukrístu) was (NULL) on (NULL) this (NULL) wise (NULL) when (NULL) as (NULL) his (ni) mother (nukurí) mary (marí) was (NULL) espoused (jusejai) to (NULL) joseph (NULL) before (anajmanairuyayi) they (NULL) came (NULL) together (NULL) she (ajaprumtikiamiayi) was (NULL) found (NULL) with (NULL) child (tsaníatsain) of (NULL) the (NULL) holy (yusa) ghost (wakaní) 
b.MAT.1.19 then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) then (ajaprukmataisha) joseph (jusé) her (NULL) husband (NULL) being (NULL) a (NULL) just (pénker) man (aents) and (tura) not (NULL) willing (NULL) to (NULL) make (NULL) her (NULL) a (NULL) publick (iniaisatniun) example (NULL) was (NULL) minded (NULL) to (NULL) put (asa) her (NULL) away (ajapatniun) privily (nékainiatsain) 
b.MAT.1.20 but while he thought on these things behold the angel of the lord appeared unto him in a dream saying joseph thou son of david fear not to take unto thee mary thy wife for that which is conceived in her is of the holy ghost,b.MAT.1.20 (b.MAT.1.20) but (NULL) while (enentáimia) he (NULL) thought (NULL) on (NULL) these (NULL) things (nuna) behold (NULL) the (NULL) angel (suntari) of (NULL) the (NULL) lord (weatrum) appeared (NULL) unto (chicharuk) him (NULL) in (NULL) a (juséá) dream (mesekranam) saying (NULL) joseph (tawitchakait) thou (asam) son (NULL) of (NULL) david (wakaníniuiti) fear (ashamkaip) not (NULL) to (NULL) take (NULL) unto (chicharuk) thee (NULL) mary (marijiai) thy (ame) wife (NULL) for (tuma) that (NULL) which (NULL) is (NULL) conceived (NULL) in (NULL) her (jurertatna) is (NULL) of (NULL) the (NULL) holy (yusa) ghost (yusa) 
b.MAT.1.21 and she shall bring forth a son and thou shalt call his name jesus for he shall save his people from their sins,b.MAT.1.21 (b.MAT.1.21) and (NULL) she (NULL) shall (NULL) bring (NULL) forth (takustatui) a (NULL) son (NULL) and (NULL) thou (NULL) shalt (NULL) call (anaikiattame) his (NULL) name (naari) jesus (jesus) for (NULL) he (NULL) shall (NULL) save (NULL) his (NULL) people (ashí) from (shuárin) their (ni) sins (anaikiatniuiti) 
