context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (ɛisa) christ (lmasih) the (NULL) son (NULL) of (NULL) david (dawed) the (NULL) son (NULL) of (NULL) abraham (ibr) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (ibr) begat (yeg) isaac (ish) and (g) isaac (ish) begat (yeg) jacob (yeɛqub) and (g) jacob (yeɛqub) begat (yeg) judas (yahuda) and (g) his (is) brethren (watmaten) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (akk) judas (yahuda) begat (NULL) phares (NULL) and (akk) zara (an) of (NULL) thamar (zirah) and (akk) phares (NULL) begat (NULL) esrom (NULL) and (akk) esrom (NULL) begat (NULL) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (g) aram (aram) begat (yeg) aminadab (ɛaminadab) and (g) aminadab (ɛaminadab) begat (yeg) naasson (nah) and (g) naasson (nah) begat (yeg) salmon (salmun) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (g) salmon (salmun) begat (NULL) booz (NULL) of (NULL) rachab (rah) and (g) booz (NULL) begat (NULL) obed (ɛubed) of (NULL) ruth (rut) and (g) obed (ɛubed) begat (NULL) jesse (yassa) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (yassa) begat (yeg) david (dawed) the (NULL) king (NULL) and (NULL) david (dawed) the (NULL) king (NULL) begat (yeg) solomon (sliman) of (NULL) her (tmet) that (NULL) had (NULL) been (NULL) the (NULL) wife (ut) of (NULL) urias (uryah) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (sidna) solomon (sliman) begat (yeg) roboam (rah) and (sidna) roboam (rah) begat (yeg) abia (abiya) and (sidna) abia (abiya) begat (yeg) asa (asaf) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asaf) begat (yeg) josaphat (yehucafat) and (NULL) josaphat (yehucafat) begat (yeg) joram (yihuram) and (NULL) joram (yihuram) begat (yeg) ozias (ɛuzya) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (ɛuzya) begat (yeg) joatham (yut) and (NULL) joatham (yut) begat (yeg) achaz (ah) and (NULL) achaz (ah) begat (yeg) ezekias (izeqya) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (g) ezekias (izeqya) begat (yeg) manasses (mennac) and (g) manasses (mennac) begat (yeg) amon (ɛamun) and (g) amon (ɛamun) begat (yeg) josias (yuciya) 
