context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (imnamna) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (jesucristbe) christ (NULL) the (NULL) son (NULL) of (NULL) david (david) the (NULL) son (NULL) of (NULL) abraham (abrahámbents) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (taitá) isaac (isaacbe) and (NULL) isaac (isaacbe) begat (taitá) jacob (yojamna) and (NULL) jacob (yojamna) begat (taitá) judas (fares) and (NULL) his (chabe) brethren (cats) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomón) begat (josafatbe) roboam (abíasna) and (NULL) roboam (abíasna) begat (josafatbe) abia (uzíasbe) and (NULL) abia (uzíasbe) begat (josafatbe) asa (uzías) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (y) after (jeconías) they (jesusbe) were (NULL) brought (ndutámenënga) to (NULL) babylon (zorobabelbe) jechonias (zorobabel) begat (taitá) salathiel (sadoc) and (y) salathiel (sadoc) begat (taitá) zorobabel (eleazar) 
b.MAT.1.17 so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) so (chcasna) all (NULL) the (NULL) generations (davidbentscoñe) from (ana) abraham (abrahámbents) to (y) david (NULL) are (imojanëtamenëntscuana) fourteen (canta) generations (davidbentscoñe) and (y) from (ana) david (NULL) until (imojëftsemna) the (NULL) carrying (NULL) away (NULL) into (NULL) babylon (NULL) are (imojanëtamenëntscuana) fourteen (canta) generations (davidbentscoñe) and (y) from (ana) the (NULL) carrying (NULL) away (NULL) into (NULL) babylon (NULL) unto (NULL) christ (cristo) are (imojanëtamenëntscuana) fourteen (canta) generations (davidbentscoñe) 
b.MAT.1.18 now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,b.MAT.1.18 (b.MAT.1.18) now (NULL) the (NULL) birth (jónÿnanamna) of (NULL) jesus (jesucristo) christ (NULL) was (NULL) on (NULL) this (mënts) wise (NULL) when (ora) as (NULL) his (NULL) mother (ibontsiyena) mary (NULL) was (NULL) espoused (joséftaca) to (NULL) joseph (NULL) before (cabá) they (NULL) came (NULL) together (cánÿiñe) she (maría) was (NULL) found (yojoquéda) with (NULL) child (ngomamaná) of (NULL) the (NULL) holy (uámana) ghost (espíritbe) 
b.MAT.1.19 then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) then (NULL) joseph (josé) her (NULL) husband (boyá) being (NULL) a (canÿe) just (abá) man (á) and (NULL) not (ndoñe) willing (yontsebos) to (NULL) make (NULL) her (NULL) a (canÿe) publick (tojanjuabó) example (NULL) was (inamna) minded (jtsojuánañana) to (NULL) put (NULL) her (NULL) away (maríybents) privily (iytëcana) 
b.MAT.1.20 but while he thought on these things behold the angel of the lord appeared unto him in a dream saying joseph thou son of david fear not to take unto thee mary thy wife for that which is conceived in her is of the holy ghost,b.MAT.1.20 (b.MAT.1.20) but (NULL) while (NULL) he (NULL) thought (NULL) on (yojtsejuabnantscuana) these (NULL) things (chca) behold (tbojáninÿe) the (bëtsabe) angel (ángel) of (NULL) the (bëtsabe) lord (bëngbe) appeared (NULL) unto (NULL) him (NULL) in (y) a (mo) dream (otjenayoquëcá) saying (á) joseph (josé) thou (NULL) son (es) of (NULL) david (davídbents) fear (NULL) not (ndoñe) to (NULL) take (NULL) unto (NULL) thee (matenócochinÿenana) mary (maríaftaca) thy (NULL) wife (NULL) for (er) that (NULL) which (chë) is (NULL) conceived (bochántsebomna) in (y) her (chë) is (NULL) of (NULL) the (bëtsabe) holy (uámana) ghost (espíritbe) 
b.MAT.1.21 and she shall bring forth a son and thou shalt call his name jesus for he shall save his people from their sins,b.MAT.1.21 (b.MAT.1.21) and (NULL) she (maría) shall (NULL) bring (NULL) forth (NULL) a (canÿe) son (es) and (NULL) thou (NULL) shalt (ca) call (cochjuabaye) his (NULL) name (NULL) jesus (jesús) for (er) he (cha) shall (NULL) save (NULL) his (NULL) people (anga) from (ana) their (chëngbe) sins (bacna) 
b.MAT.1.22 now all this was done that it might be fulfilled which was spoken of the lord by the prophet saying,b.MAT.1.22 (b.MAT.1.22) now (NULL) all (lempe) this (NULL) was (NULL) done (NULL) that (NULL) it (chca) might (NULL) be (chaotsemnama) fulfilled (tojanochnëngo) which (amo) was (NULL) spoken (NULL) of (NULL) the (NULL) lord (oyebuambnayëngbiajana) by (bëngbe) the (NULL) prophet (oyebuambnayá) saying (mënts) 
b.MAT.1.23 behold a virgin shall be with child and shall bring forth a son and they shall call his name emmanuel which being interpreted is god with us,b.MAT.1.23 (b.MAT.1.23) behold (NULL) a (NULL) virgin (nduabuatmá) shall (NULL) be (NULL) with (NULL) child (NULL) and (y) shall (NULL) bring (NULL) forth (boyabásetema) a (NULL) son (es) and (y) they (emanuel) shall (NULL) call (ca) his (NULL) name (ca) emmanuel (emanuel) which (NULL) being (mochanjuabaye) interpreted (endayana) is (NULL) god (bëtsá) with (NULL) us (bë) 
b.MAT.1.24 then joseph being raised from sleep did as the angel of the lord had bidden him and took unto him his wife,b.MAT.1.24 (b.MAT.1.24) then (NULL) joseph (josé) being (ora) raised (tojanma) from (ana) sleep (tojanofs) did (NULL) as (nts) the (bëtsabe) angel (ángel) of (NULL) the (bëtsabe) lord (bëngbe) had (NULL) bidden (NULL) him (NULL) and (NULL) took (NULL) unto (NULL) him (NULL) his (tojanobouamá) wife (maríaftaca) 
b.MAT.1.25 and knew her not till she had brought forth her firstborn son and he called his name jesus,b.MAT.1.25 (b.MAT.1.25) and (pero) knew (NULL) her (NULL) not (ndoñe) till (NULL) she (ibontsaniyena) had (chë) brought (NULL) forth (NULL) her (NULL) firstborn (tojanonÿná) son (es) and (pero) he (orna) called (ca) his (chábioye) name (tbojanabaye) jesus (jesús) 
b.MAT.2.1 now when jesus was born in bethlehem of judaea in the days of herod the king behold there came wise men from the east to jerusalem,b.MAT.2.1 (b.MAT.2.1) now (NULL) when (ora) jesus (jesús) was (NULL) born (tojanonÿná) in (NULL) bethlehem (belén) of (NULL) judaea (judeoca) in (NULL) the (NULL) days (NULL) of (NULL) herod (herodes) the (NULL) king (rey) behold (NULL) there (báseftanga) came (tmojánabo) wise (magos) men (NULL) from (luarëngocana) the (NULL) east (bocanoye) to (puebloye) jerusalem (jerusalén) 
b.MAT.2.2 saying where is he that is born king of the jews for we have seen his star in the east and are come to worship him,b.MAT.2.2 (b.MAT.2.2) saying (jerusalenocna) where (ndayents) is (yojtsemna) he (cha) that (NULL) is (yojtsemna) born (tojonÿná) king (rey) of (NULL) the (chë) jews (judiëngbe) for (NULL) we (onÿnana) have (NULL) seen (fsënjinÿe) his (chabe) star (estrella) in (e) the (chë) east (bocanoye) and (NULL) are (jaboadórama) come (ca) to (NULL) worship (tifjabo) him (cha) 
b.MAT.2.3 when herod the king had heard these things he was troubled and all jerusalem with him,b.MAT.2.3 (b.MAT.2.3) when (ora) herod (herodes) the (NULL) king (rey) had (NULL) heard (tojanuena) these (NULL) things (NULL) he (chë) was (corente) troubled (yojtsenócochinÿena) and (y) all (nÿetsca) jerusalem (jerusalenents) with (NULL) him (oyenë) 
b.MAT.2.4 and when he had gathered all the chief priests and scribes of the people together he demanded of them where christ should be born,b.MAT.2.4 (b.MAT.2.4) and (NULL) when (NULL) he (NULL) had (chents) gathered (NULL) all (nÿetsca) the (judiëngbe) chief (bachnangbe) priests (ndayënga) and (NULL) scribes (abuátambayënga) of (NULL) the (judiëngbe) people (NULL) together (NULL) he (NULL) demanded (jenoyeunayëngama) of (NULL) them (tojanatjá) where (ndayents) christ (uabuayaná) should (ca) be (NULL) born (ibomna) 
b.MAT.2.5 and they said unto him in bethlehem of judaea for thus it is written by the prophet,b.MAT.2.5 (b.MAT.2.5) and (NULL) they (chënga) said (tmojanjuá) unto (NULL) him (NULL) in (pueblents) bethlehem (belén) of (NULL) judaea (judeoca) for (NULL) thus (NULL) it (NULL) is (entsemna) written (á) by (NULL) the (bëngbe) prophet (oyebuambnayá) 
b.MAT.2.6 and thou bethlehem in the land of juda art not the least among the princes of juda for out of thee shall come a governor that shall rule my people israel,b.MAT.2.6 (b.MAT.2.6) and (y) thou (ëngaftanga) bethlehem (NULL) in (e) the (NULL) land (belenents) of (NULL) juda (ëngaftangbents) art (á) not (ndoñe) the (NULL) least (NULL) among (más) the (NULL) princes (echanjabo) of (NULL) juda (ëngaftangbents) for (chíyeca) out (ana) of (NULL) thee (NULL) shall (NULL) come (NULL) a (canÿe) governor (mándayëngbiama) that (chë) shall (NULL) rule (echántsanÿena) my (be) people (ents) israel (israeloca) 
b.MAT.2.7 then herod when he had privily called the wise men inquired of them diligently what time the star appeared,b.MAT.2.7 (b.MAT.2.7) then (chora) herod (herodes) when (ntseco) he (NULL) had (chë) privily (iytëcana) called (tojánachembo) the (chë) wise (NULL) men (cuedádoca) inquired (tmojáninÿama) of (NULL) them (NULL) diligently (maguënga) what (tojanatjá) time (NULL) the (chë) star (estrella) appeared (NULL) 
b.MAT.2.8 and he sent them to bethlehem and said go and search diligently for the young child and when ye have found him bring me word again that i may come and worship him also,b.MAT.2.8 (b.MAT.2.8) and (NULL) he (ora) sent (tojanichamó) them (tojanë) to (choye) bethlehem (belenoye) and (NULL) said (mënts) go (motsajna) and (NULL) search (mochjánguango) diligently (maguënga) for (abá) the (chë) young (NULL) child (es) and (NULL) when (ora) ye (s) have (NULL) found (NULL) him (NULL) bring (mochjabëuenaye) me (áts) word (NULL) again (NULL) that (chë) i (naca) may (chayobená) come (jama) and (NULL) worship (jadórama) him (NULL) also (NULL) 
