context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (NULL) christ (jesucrist) the (NULL) son (NULL) of (NULL) david (david) the (NULL) son (NULL) of (NULL) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (ttata) isaac (isaac) and (NULL) isaac (isaac) begat (ttata) jacob (jacob) and (NULL) jacob (jacob) begat (ttata) judas (NULL) and (NULL) his (NULL) brethren (titzˈin) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (ante) judas (NULL) begat (tamar) phares (fares) and (ante) zara (kytata) of (NULL) thamar (zara) and (ante) phares (fares) begat (tamar) esrom (esrom) and (ante) esrom (esrom) begat (tamar) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (NULL) begat (ttata) aminadab (aminadab) and (NULL) aminadab (aminadab) begat (ttata) naasson (naasón) and (NULL) naasson (naasón) begat (ttata) salmon (salmón) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (ante) salmon (salmón) begat (ttata) booz (booz) of (NULL) rachab (ayeˈ) and (ante) booz (booz) begat (ttata) obed (NULL) of (NULL) ruth (rut) and (ante) obed (NULL) begat (ttata) jesse (isaí) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (ante) jesse (isaí) begat (ttata) david (david) the (NULL) king (nmaq) and (ante) david (david) the (NULL) king (nmaq) begat (ttata) solomon (salomón) of (NULL) her (NULL) that (NULL) had (NULL) been (urías) the (NULL) wife (NULL) of (NULL) urias (xuˈjlbˈin) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (ante) solomon (salomón) begat (ttata) roboam (roboam) and (ante) roboam (roboam) begat (ttata) abia (abías) and (ante) abia (abías) begat (ttata) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (josafat) begat (ttata) josaphat (NULL) and (NULL) josaphat (NULL) begat (ttata) joram (joram) and (NULL) joram (joram) begat (ttata) ozias (uzías) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (jotam) begat (ttata) joatham (NULL) and (NULL) joatham (NULL) begat (ttata) achaz (acaz) and (NULL) achaz (acaz) begat (ttata) ezekias (ezequías) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (NULL) begat (ttata) manasses (manasés) and (NULL) manasses (manasés) begat (ttata) amon (amón) and (NULL) amon (amón) begat (ttata) josias (josías) 
