context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (de) the (NULL) generation (tocayomej) of (de) jesus (NULL) christ (jesucristo) the (NULL) son (itech) of (de) david (david) the (NULL) son (itech) of (de) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (tajtli) isaac (isaac) and (niman) isaac (isaac) begat (tajtli) jacob (jacob) and (niman) jacob (jacob) begat (tajtli) judas (judá) and (niman) his (NULL) brethren (icnihuan) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (judá) begat (tajtli) phares (fares) and (NULL) zara (zara) of (NULL) thamar (tamar) and (NULL) phares (fares) begat (tajtli) esrom (esrom) and (NULL) esrom (esrom) begat (tajtli) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aram) begat (tajtli) aminadab (aminadab) and (NULL) aminadab (aminadab) begat (tajtli) naasson (naasón) and (NULL) naasson (naasón) begat (tajtli) salmon (salmón) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmón) begat (tajtli) booz (booz) of (itech) rachab (rahab) and (NULL) booz (booz) begat (tajtli) obed (obed) of (itech) ruth (rut) and (NULL) obed (obed) begat (tajtli) jesse (isaí) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (niman) jesse (isaí) begat (tajtli) david (david) the (itech) king (rey) and (niman) david (david) the (itech) king (rey) begat (tajtli) solomon (salomón) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (itech) wife (NULL) of (NULL) urias (urías) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomón) begat (tajtli) roboam (roboam) and (NULL) roboam (roboam) begat (tajtli) abia (abías) and (NULL) abia (abías) begat (tajtli) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (tajtli) josaphat (josafat) and (NULL) josaphat (josafat) begat (tajtli) joram (joram) and (NULL) joram (joram) begat (tajtli) ozias (uzías) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzías) begat (tajtli) joatham (jotam) and (NULL) joatham (jotam) begat (tajtli) achaz (acaz) and (NULL) achaz (acaz) begat (tajtli) ezekias (ezequías) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (ezequías) begat (tajtli) manasses (manasés) and (NULL) manasses (manasés) begat (tajtli) amon (amón) and (NULL) amon (amón) begat (tajtli) josias (josías) 
