context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (ᐁᔑᐲᐃᑳᑌᓂᒃ) of (NULL) the (NULL) generation (ᐋᓃᑎ) of (NULL) jesus (ᒋᓴᔅ) christ (x) the (NULL) son (NULL) of (NULL) david (ᑌᐱᑎᕽ) the (NULL) son (NULL) of (NULL) abraham (ᐁᐸᕒᐊᐋᒥᕽ) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (ᐁᐸᕒᐊᐋᒻ) begat (ᑮᐅᑯᓯᓯ) isaac (ᐋᐃᓯᑰᓐ) and (NULL) isaac (ᐋᐃᓯᑰᓐ) begat (ᑮᐅᑯᓯᓯ) jacob (ᒉᑲᐴᓐ) and (NULL) jacob (ᒉᑲᐴᓐ) begat (ᑮᐅᑯᓯᓯ) judas (ᒎᑕᐗᓐ) and (NULL) his (NULL) brethren (ᐐᒋᑭᐌᔨᓂ) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (NULL) begat (ᑮᐅᑯᓯᓯ) phares (ᐲᕒᐃᓴᓐ) and (NULL) zara (ᑌᒫᕒ) of (NULL) thamar (ᐅᒫᒫᐙᓐ) and (NULL) phares (ᐲᕒᐃᓴᓐ) begat (ᑮᐅᑯᓯᓯ) esrom (ᐁᔅᕒᐊᓇᓐ) and (NULL) esrom (ᐁᔅᕒᐊᓇᓐ) begat (ᑮᐅᑯᓯᓯ) aram (ᐅᕒᐋᒪᓐ) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (ᑲᔦ) aram (ᐅᕒᐋᒻ) begat (ᐅᑯᓯᓯ) aminadab (ᐊᒥᓇᑖᐸᓐ) and (ᑲᔦ) aminadab (ᐊᒥᓇᑖᐸᓐ) begat (ᐅᑯᓯᓯ) naasson (ᓈᔕᓇᓐ) and (ᑲᔦ) naasson (ᓈᔕᓇᓐ) begat (ᐅᑯᓯᓯ) salmon (ᓵᓬᒪᓇᓐ) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (ᑲᔦ) salmon (ᓵᓬᒪᓐ) begat (ᐅᑯᓯᓯ) booz (ᐴᐙᓴᓐ) of (NULL) rachab (ᐅᕒᐁᐋᑉ) and (ᑲᔦ) booz (ᐴᐙᓴᓐ) begat (ᐅᑯᓯᓯ) obed (NULL) of (NULL) ruth (ᐆᐱᑦ) and (ᑲᔦ) obed (NULL) begat (ᐅᑯᓯᓯ) jesse (ᒉᓯᐗᓐ) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (ᒉᓯ) begat (ᑮᐅᑯᓯᓯ) david (NULL) the (NULL) king (NULL) and (NULL) david (NULL) the (NULL) king (NULL) begat (ᑮᐅᑯᓯᓯ) solomon (ᔂᓬᐊᒪᓐ) of (NULL) her (NULL) that (NULL) had (NULL) been (ᔪᕒᐋᔭ) the (NULL) wife (ᐐᐗᓐ) of (NULL) urias (ᑮᐅᒫᒫ) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (ᑲᔦ) solomon (ᔂᓬᐊᒪᓐ) begat (ᐅᑯᓯᓯ) roboam (ᐅᕒᐄᔭᐴᐗᒨᓐ) and (ᑲᔦ) roboam (ᐅᕒᐄᔭᐴᐗᒨᓐ) begat (ᐅᑯᓯᓯ) abia (ᐊᐹᐃᒐᐗᓐ) and (ᑲᔦ) abia (ᐊᐹᐃᒐᐗᓐ) begat (ᐅᑯᓯᓯ) asa (ᐁᓴᐗᓐ) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (ᑲᔦ) asa (ᐁᓴ) begat (ᐅᑯᓯᓯ) josaphat (ᒉᐆᔕᐹᑕᓐ) and (ᑲᔦ) josaphat (ᒉᐆᔕᐹᑕᓐ) begat (ᐅᑯᓯᓯ) joram (ᒎᕒᐊᒨᓐ) and (ᑲᔦ) joram (ᒎᕒᐊᒨᓐ) begat (ᐅᑯᓯᓯ) ozias (NULL) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (ᑲᔦ) ozias (NULL) begat (ᑮᐊᓂ) joatham (ᐊᓵᔭ) and (ᑲᔦ) joatham (ᐊᓵᔭ) begat (ᑮᐊᓂ) achaz (ᒎᑕᒨᓐ) and (ᑲᔦ) achaz (ᒎᑕᒨᓐ) begat (ᑮᐊᓂ) ezekias (ᐁᓯᑳᔭᐗᓐ) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (ᑲᔦ) ezekias (ᐁᓯᑳᔭ) begat (ᐅᑯᓯᓯ) manasses (ᒪᓈᓴᐗᓐ) and (ᑲᔦ) manasses (ᒪᓈᓴᐗᓐ) begat (ᐅᑯᓯᓯ) amon (ᐋᒪᓇᓐ) and (ᑲᔦ) amon (ᐋᒪᓇᓐ) begat (ᐅᑯᓯᓯ) josias (ᒍᓵᔭᐗᓐ) 
