context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (otisu) of (NULL) the (NULL) generation (pmatse) of (NULL) jesus (cisus) christ (knayst) the (NULL) son (kwismukot) of (NULL) david (pitun) the (NULL) son (kwismukot) of (NULL) abraham (amun) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (pine) begat (m) isaac (aysikin) and (ipi) isaac (aysikin) begat (m) jacob (kapin) and (ipi) jacob (kapin) begat (m) judas (cotusin) and (ipi) his (niw) brethren (wikane) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (ici) judas (cotus) begat (kiwosmukon) phares (nisin) and (ici) zara (se) of (ne) thamar (ci) and (ici) phares (nisin) begat (kiwosmukon) esrom (iwat) and (ici) esrom (iwat) begat (kiwosmukon) aram (e) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (ipi) aram (num) begat (kiwosmukon) aminadab (minite) and (ipi) aminadab (minite) begat (kiwosmukon) naasson (e) and (ipi) naasson (e) begat (kiwosmukon) salmon (sanmunin) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (ipi) salmon (sanmun) begat (kiwosmukon) booz (poe) of (NULL) rachab (niwci) and (ipi) booz (poe) begat (kiwosmukon) obed (opitin) of (NULL) ruth (pin) and (ipi) obed (opitin) begat (kiwosmukon) jesse (siin) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (ipi) jesse (ce) begat (kiwosmukon) david (pitin) the (NULL) king (kaokumawit) and (ipi) david (pitin) the (NULL) king (kaokumawit) begat (kiwosmukon) solomon (sanumun) of (NULL) her (kaokie) that (NULL) had (NULL) been (kaowiwpninin) the (NULL) wife (ionaie) of (NULL) urias (cin) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (ipi) solomon (sanumun) begat (kiwosmukon) roboam (nopoumin) and (ipi) roboam (nopoumin) begat (kiwosmukon) abia (pie) and (ipi) abia (pie) begat (kiwosmukon) asa (in) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (ipi) asa (se) begat (kiwosmukon) josaphat (tin) and (ipi) josaphat (tin) begat (kiwosmukon) joram (cone) and (ipi) joram (cone) begat (kiwosmukon) ozias (osaye) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (ipi) ozias (osaye) begat (kiwosmukon) joatham (cote) and (ipi) joatham (cote) begat (kiwosmukon) achaz (m) and (ipi) achaz (m) begat (kiwosmukon) ezekias (isikayusin) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (ipi) ezekias (isikayus) begat (kiwosmukon) manasses (sin) and (ipi) manasses (sin) begat (kiwosmukon) amon (s) and (ipi) amon (s) begat (kiwosmukon) josias (cosayusin) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (ipi) josias (cosayus) begat (kiwosmukon) jechonias (koniasin) and (ipi) his (iin) brethren (wikane) about (NULL) the (NULL) time (iwci) they (NULL) were (ipic) carried (NULL) away (kimacintwa) to (e) babylon (pinun) 
