context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (duncu) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (yesus) christ (kristus) the (NULL) son (muli) of (NULL) david (daud) the (NULL) son (muli) of (NULL) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (mpobubu) isaac (ishak) and (NULL) isaac (ishak) begat (mpobubu) jacob (yakub) and (NULL) jacob (yakub) begat (mpobubu) judas (yehuda) and (NULL) his (na) brethren (ompi) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (yehuda) begat (mpobubu) phares (peres) and (NULL) zara (zerah) of (NULL) thamar (tamar) and (NULL) phares (peres) begat (mpobubu) esrom (NULL) and (NULL) esrom (NULL) begat (mpobubu) aram (ram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (ram) begat (mpobubu) aminadab (NULL) and (NULL) aminadab (NULL) begat (mpobubu) naasson (NULL) and (NULL) naasson (NULL) begat (mpobubu) salmon (salmon) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmon) begat (mpobubu) booz (boas) of (NULL) rachab (rahab) and (NULL) booz (boas) begat (mpobubu) obed (obed) of (NULL) ruth (rut) and (NULL) obed (obed) begat (mpobubu) jesse (isai) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (pai) jesse (isai) begat (mpobubu) david (daud) the (NULL) king (NULL) and (pai) david (daud) the (NULL) king (NULL) begat (mpobubu) solomon (salomo) of (NULL) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (balu) of (NULL) urias (uria) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomo) begat (mpobubu) roboam (NULL) and (NULL) roboam (NULL) begat (mpobubu) abia (NULL) and (NULL) abia (NULL) begat (mpobubu) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (mpobubu) josaphat (NULL) and (NULL) josaphat (NULL) begat (mpobubu) joram (NULL) and (NULL) joram (NULL) begat (mpobubu) ozias (uzia) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzia) begat (mpobubu) joatham (NULL) and (NULL) joatham (NULL) begat (mpobubu) achaz (NULL) and (NULL) achaz (NULL) begat (mpobubu) ezekias (hizkia) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (hizkia) begat (mpobubu) manasses (NULL) and (NULL) manasses (NULL) begat (mpobubu) amon (NULL) and (NULL) amon (NULL) begat (mpobubu) josias (yosia) 
