context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (qui) book (biˈ) of (mam) the (qui) generation (NULL) of (mam) jesus (jesús) christ (NULL) the (qui) son (NULL) of (mam) david (david) the (qui) son (NULL) of (mam) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (NULL) isaac (isaac) and (tat) isaac (isaac) begat (NULL) jacob (jacob) and (tat) jacob (jacob) begat (NULL) judas (NULL) and (tat) his (NULL) brethren (rachalal) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (mam) judas (NULL) begat (ka) phares (fares) and (mam) zara (zara) of (ri) thamar (tamar) and (mam) phares (fares) begat (ka) esrom (esrom) and (mam) esrom (esrom) begat (ka) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (mam) aram (aram) begat (mam) aminadab (aminadab) and (mam) aminadab (aminadab) begat (mam) naasson (naasón) and (mam) naasson (naasón) begat (mam) salmon (salmón) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (tat) salmon (salmón) begat (mam) booz (booz) of (mam) rachab (nan) and (tat) booz (booz) begat (mam) obed (obed) of (mam) ruth (rut) and (tat) obed (obed) begat (mam) jesse (isaí) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (tat) jesse (isaí) begat (mam) david (david) the (ri) king (nim) and (tat) david (david) the (ri) king (nim) begat (mam) solomon (salomón) of (ri) her (chichuˈ) that (ri) had (NULL) been (NULL) the (ri) wife (xrixokilaj) of (ri) urias (urías) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (mam) solomon (salomón) begat (mam) roboam (roboam) and (mam) roboam (roboam) begat (mam) abia (abías) and (mam) abia (abías) begat (mam) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (mam) asa (asa) begat (mam) josaphat (josafat) and (mam) josaphat (josafat) begat (mam) joram (joram) and (mam) joram (joram) begat (mam) ozias (uzías) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (mam) ozias (uzías) begat (mam) joatham (jotam) and (mam) joatham (jotam) begat (mam) achaz (acaz) and (mam) achaz (acaz) begat (mam) ezekias (ezequías) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (mam) ezekias (ezequías) begat (mam) manasses (manasés) and (mam) manasses (manasés) begat (mam) amon (amón) and (mam) amon (amón) begat (mam) josias (josías) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (tat) josias (josías) begat (mam) jechonias (jeconías) and (tat) his (NULL) brethren (rachalal) about (pa) the (aj) time (kˈij) they (xeopan) were (NULL) carried (xecˈam) away (bi) to (tinimit) babylon (babilonia) 
