context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (quillca) of (NULL) the (NULL) generation (NULL) of (NULL) jesus (NULL) christ (jesucristo) the (NULL) son (NULL) of (NULL) david (david) the (NULL) son (NULL) of (NULL) abraham (abrahanmanda) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abrahamba) begat (aca) isaac (isac) and (NULL) isaac (isac) begat (aca) jacob (jacob) and (NULL) jacob (jacob) begat (aca) judas (NULL) and (NULL) his (paihua) brethren (uquiunandi) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (NULL) begat (aca) phares (tamarmanda) and (NULL) zara (fares) of (NULL) thamar (zarandi) and (NULL) phares (tamarmanda) begat (aca) esrom (esrom) and (NULL) esrom (esrom) begat (aca) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aramba) begat (churi) aminadab (aminadab) and (NULL) aminadab (aminadab) begat (churi) naasson (naason) and (NULL) naasson (naason) begat (churi) salmon (salmón) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmomba) begat (churi) booz (booz) of (NULL) rachab (rahabmanda) and (NULL) booz (booz) begat (churi) obed (obed) of (NULL) ruth (llucshij) and (NULL) obed (obed) begat (churi) jesse (isai) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (isaihua) begat (churi) david (david) the (NULL) king (rey) and (NULL) david (david) the (NULL) king (rey) begat (churi) solomon (salomón) of (NULL) her (NULL) that (NULL) had (NULL) been (aca) the (NULL) wife (NULL) of (NULL) urias (uriaspa) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (salomomba) begat (churi) roboam (roboam) and (NULL) roboam (roboam) begat (churi) abia (abías) and (NULL) abia (abías) begat (churi) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asajpa) begat (churi) josaphat (josafat) and (NULL) josaphat (josafat) begat (churi) joram (joram) and (NULL) joram (joram) begat (churi) ozias (uzías) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (uzíaspa) begat (churi) joatham (jotam) and (NULL) joatham (jotam) begat (churi) achaz (acaz) and (NULL) achaz (acaz) begat (churi) ezekias (ezequías) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (ezequíaspa) begat (churi) manasses (manases) and (NULL) manasses (manases) begat (churi) amon (amón) and (NULL) amon (amón) begat (churi) josias (josías) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (josíaspa) begat (aca) jechonias (jeconías) and (NULL) his (paihua) brethren (uquiunandi) about (NULL) the (NULL) time (horas) they (NULL) were (NULL) carried (apashca) away (NULL) to (llactama) babylon (babilonia) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (NULL) after (huasha) they (NULL) were (NULL) brought (NULL) to (NULL) babylon (NULL) jechonias (jeconíaspa) begat (churi) salathiel (salatiel) and (NULL) salathiel (salatiel) begat (churi) zorobabel (zorobabel) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (zorobabelba) begat (aca) abiud (NULL) and (NULL) abiud (NULL) begat (aca) eliakim (eliaquindi) and (NULL) eliakim (eliaquindi) begat (aca) azor (azor) 
b.MAT.1.14 and azor begat sadoc and sadoc begat achim and achim begat eliud,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (azorba) begat (churi) sadoc (sadoc) and (NULL) sadoc (sadoc) begat (churi) achim (aquim) and (NULL) achim (aquim) begat (churi) eliud (eliud) 
b.MAT.1.15 and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (eliudpa) begat (churi) eleazar (eleazar) and (NULL) eleazar (eleazar) begat (churi) matthan (matan) and (NULL) matthan (matan) begat (churi) jacob (jacob) 
b.MAT.1.16 and jacob begat joseph the husband of mary of whom was born jesus who is called christ,b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (jacobpa) begat (churi) joseph (josé) the (NULL) husband (cari) of (NULL) mary (maría) of (NULL) whom (ajllashca) was (aca) born (pagarimuca) jesus (jesús) who (maríamanda) is (nin) called (nishca) christ (cristo) 
b.MAT.1.17 so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto christ are fourteen generations,b.MAT.1.17 (b.MAT.1.17) so (shinajpi) all (NULL) the (NULL) generations (davidgama) from (NULL) abraham (abrahanmanda) to (NULL) david (NULL) are (NULL) fourteen (chuscu) generations (davidgama) and (NULL) from (NULL) david (NULL) until (apanagama) the (NULL) carrying (babiloniama) away (NULL) into (NULL) babylon (NULL) are (NULL) fourteen (chuscu) generations (davidgama) and (NULL) from (NULL) the (NULL) carrying (babiloniama) away (NULL) into (NULL) babylon (NULL) unto (NULL) christ (NULL) are (NULL) fourteen (chuscu) generations (davidgama) 
b.MAT.1.18 now the birth of jesus christ was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost,b.MAT.1.18 (b.MAT.1.18) now (NULL) the (NULL) birth (pagarina) of (NULL) jesus (NULL) christ (jesucristo) was (aca) on (NULL) this (casnami) wise (NULL) when (NULL) as (NULL) his (paihua) mother (mama) mary (maría) was (aca) espoused (pactachishca) to (NULL) joseph (josehua) before (NULL) they (NULL) came (manaraj) together (NULL) she (llutarijllaira) was (aca) found (tupaca) with (NULL) child (huahuara) of (NULL) the (NULL) holy (santo) ghost (NULL) 
b.MAT.1.19 then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily,b.MAT.1.19 (b.MAT.1.19) then (NULL) joseph (josé) her (paihua) husband (cari) being (asha) a (NULL) just (ali) man (runa) and (NULL) not (ama) willing (NULL) to (NULL) make (NULL) her (paihua) a (NULL) publick (nisha) example (NULL) was (NULL) minded (NULL) to (NULL) put (iyaca) her (paihua) away (saquinara) privily (pacalla) 
b.MAT.1.20 but while he thought on these things behold the angel of the lord appeared unto him in a dream saying joseph thou son of david fear not to take unto thee mary thy wife for that which is conceived in her is of the holy ghost,b.MAT.1.20 (b.MAT.1.20) but (NULL) while (tiaushcai) he (NULL) thought (NULL) on (NULL) these (NULL) things (casna) behold (shu) the (NULL) angel (ángel) of (NULL) the (NULL) lord (nuspaushcai) appeared (ricurimuca) unto (NULL) him (paita) in (pai) a (NULL) dream (puñusha) saying (nica) joseph (josé) thou (NULL) son (churi) of (NULL) david (davidpa) fear (manzhaichu) not (ama) to (NULL) take (apingaj) unto (NULL) thee (NULL) mary (mariara) thy (camba) wife (huarmi) for (NULL) that (NULL) which (NULL) is (NULL) conceived (tupashca) in (pai) her (paihua) is (NULL) of (NULL) the (NULL) holy (santo) ghost (NULL) 
b.MAT.1.21 and she shall bring forth a son and thou shalt call his name jesus for he shall save his people from their sins,b.MAT.1.21 (b.MAT.1.21) and (NULL) she (NULL) shall (NULL) bring (NULL) forth (NULL) a (shu) son (churira) and (NULL) thou (NULL) shalt (NULL) call (shutichingui) his (paita) name (pagarichinga) jesus (jesús) for (NULL) he (NULL) shall (NULL) save (quishpichinga) his (paita) people (runaunara) from (NULL) their (paiguna) sins (uchaunamanda) 
b.MAT.1.22 now all this was done that it might be fulfilled which was spoken of the lord by the prophet saying,b.MAT.1.22 (b.MAT.1.22) now (NULL) all (tucui) this (cai) was (tucuca) done (NULL) that (NULL) it (NULL) might (NULL) be (NULL) fulfilled (pactaringaj) which (NULL) was (tucuca) spoken (rimashca) of (NULL) the (NULL) lord (señorba) by (NULL) the (NULL) prophet (rimaj) saying (profeta) 
b.MAT.1.23 behold a virgin shall be with child and shall bring forth a son and they shall call his name emmanuel which being interpreted is god with us,b.MAT.1.23 (b.MAT.1.23) behold (NULL) a (shu) virgin (huanra) shall (NULL) be (NULL) with (NULL) child (huahuara) and (NULL) shall (NULL) bring (NULL) forth (pagarichingami) a (shu) son (churira) and (NULL) they (NULL) shall (NULL) call (shutichingui) his (emanuel) name (shuti) emmanuel (nishca) which (cai) being (NULL) interpreted (ñucanchihuami) is (NULL) god (dios) with (NULL) us (NULL) 
b.MAT.1.24 then joseph being raised from sleep did as the angel of the lord had bidden him and took unto him his wife,b.MAT.1.24 (b.MAT.1.24) then (NULL) joseph (josé) being (pai) raised (NULL) from (NULL) sleep (lliccharisha) did (nuspashcamanda) as (rimashcasna) the (NULL) angel (ángel) of (NULL) the (NULL) lord (señorba) had (NULL) bidden (NULL) him (NULL) and (NULL) took (apica) unto (NULL) him (NULL) his (paihua) wife (huarmira) 
b.MAT.1.25 and knew her not till she had brought forth her firstborn son and he called his name jesus,b.MAT.1.25 (b.MAT.1.25) and (NULL) knew (NULL) her (paihua) not (mana) till (llutaricachu) she (NULL) had (NULL) brought (NULL) forth (NULL) her (paihua) firstborn (ñaupa) son (churi) and (NULL) he (NULL) called (NULL) his (paita) name (shutichica) jesus (jesús) 
b.MAT.2.1 now when jesus was born in bethlehem of judaea in the days of herod the king behold there came wise men from the east to jerusalem,b.MAT.2.1 (b.MAT.2.1) now (NULL) when (NULL) jesus (jesús) was (NULL) born (NULL) in (llactai) bethlehem (belén) of (NULL) judaea (judea) in (llactai) the (NULL) days (pagarimushca) of (NULL) herod (herodes) the (NULL) king (rey) behold (NULL) there (huaquin) came (shamunauca) wise (yachajguna) men (tiashcai) from (partimanda) the (NULL) east (llucshina) to (NULL) jerusalem (jerusalenma) 
b.MAT.2.2 saying where is he that is born king of the jews for we have seen his star in the east and are come to worship him,b.MAT.2.2 (b.MAT.2.2) saying (ninauca) where (maibira) is (NULL) he (NULL) that (NULL) is (NULL) born (pagarishcai) king (rey) of (NULL) the (NULL) jews (judioguna) for (NULL) we (NULL) have (NULL) seen (ricushcanchi) his (paihua) star (estrellasta) in (partii) the (NULL) east (llucshina) and (NULL) are (NULL) come (shamushcanchi) to (NULL) worship (adorangaj) him (paita) 
b.MAT.2.3 when herod the king had heard these things he was troubled and all jerusalem with him,b.MAT.2.3 (b.MAT.2.3) when (NULL) herod (herodes) the (NULL) king (rey) had (apuga) heard (uyasha) these (caita) things (NULL) he (NULL) was (llactandi) troubled (turbarica) and (NULL) all (tucui) jerusalem (jerusalen) with (NULL) him (NULL) 
b.MAT.2.4 and when he had gathered all the chief priests and scribes of the people together he demanded of them where christ should be born,b.MAT.2.4 (b.MAT.2.4) and (NULL) when (NULL) he (NULL) had (NULL) gathered (NULL) all (tucui) the (NULL) chief (sacerdote) priests (apuunara) and (NULL) scribes (yachaira) of (NULL) the (NULL) people (NULL) together (yachachijgunaras) he (NULL) demanded (tapuca) of (NULL) them (paigunara) where (maibira) christ (cristoga) should (acai) be (NULL) born (pagarina) 
b.MAT.2.5 and they said unto him in bethlehem of judaea for thus it is written by the prophet,b.MAT.2.5 (b.MAT.2.5) and (NULL) they (paiguna) said (ninauca) unto (NULL) him (NULL) in (NULL) bethlehem (belembi) of (NULL) judaea (judeamanda) for (NULL) thus (casnami) it (NULL) is (NULL) written (quillcashca) by (NULL) the (NULL) prophet (rimaj) 
b.MAT.2.6 and thou bethlehem in the land of juda art not the least among the princes of juda for out of thee shall come a governor that shall rule my people israel,b.MAT.2.6 (b.MAT.2.6) and (NULL) thou (can) bethlehem (belén) in (partii) the (NULL) land (judea) of (NULL) juda (judá) art (angui) not (mana) the (NULL) least (NULL) among (apuunamanda) the (NULL) princes (ichillachu) of (NULL) juda (judá) for (NULL) out (NULL) of (NULL) thee (canmanda) shall (runa) come (NULL) a (shu) governor (pushaj) that (NULL) shall (runa) rule (llucshinga) my (ñuca) people (NULL) israel (israelda) 
b.MAT.2.7 then herod when he had privily called the wise men inquired of them diligently what time the star appeared,b.MAT.2.7 (b.MAT.2.7) then (shinajpi) herod (herodes) when (NULL) he (NULL) had (chi) privily (pacalla) called (cayasha) the (NULL) wise (yachajgunara) men (NULL) inquired (pacalla) of (NULL) them (paigunamanda) diligently (NULL) what (NULL) time (tiempora) the (NULL) star (estrellas) appeared (ricurishca) 
