context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (NULL) of (NULL) the (NULL) generation (vitsa) of (NULL) jesus (jesus) christ (kristoski) the (NULL) son (NULL) of (NULL) david (david) the (NULL) son (NULL) of (NULL) abraham (abraham) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (abraham) begat (dat) isaac (isaakosko) and (NULL) isaac (isaakosko) begat (dat) jacob (jakovosko) and (NULL) jacob (jakovosko) begat (dat) judas (judasko) and (NULL) his (leske) brethren (phralengo) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (judah) begat (dat) phares (zarahosko) and (NULL) zara (lenge) of (le) thamar (pharesko) and (NULL) phares (zarahosko) begat (dat) esrom (esromosko) and (NULL) esrom (esromosko) begat (dat) aram (aramosko) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aram) begat (dat) aminadab (aminadabosko) and (NULL) aminadab (aminadabosko) begat (dat) naasson (naassonosko) and (NULL) naasson (naassonosko) begat (dat) salmon (salmonosko) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmon) begat (dat) booz (boazosko) of (NULL) rachab (rachab) and (NULL) booz (boazosko) begat (dat) obed (obedosko) of (NULL) ruth (dei) and (NULL) obed (obedosko) begat (dat) jesse (jessesko) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (jesse) begat (dat) david (davidosko) the (o) king (amperato) and (NULL) david (davidosko) the (o) king (amperato) begat (dat) solomon (NULL) of (NULL) her (NULL) that (NULL) had (NULL) been (sas) the (o) wife (NULL) of (NULL) urias (NULL) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (uriaseski) solomon (solomon) begat (dat) roboam (NULL) and (uriaseski) roboam (NULL) begat (dat) abia (NULL) and (uriaseski) abia (NULL) begat (dat) asa (asahosko) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (dat) josaphat (josaphatosko) and (NULL) josaphat (josaphatosko) begat (dat) joram (joramosko) and (NULL) joram (joramosko) begat (dat) ozias (oziasosko) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (ozias) begat (dat) joatham (joathamosko) and (NULL) joatham (joathamosko) begat (dat) achaz (achazosko) and (NULL) achaz (achazosko) begat (dat) ezekias (ezekiasko) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (ezekias) begat (dat) manasses (manassesko) and (NULL) manasses (manassesko) begat (dat) amon (amonosko) and (NULL) amon (amonosko) begat (dat) josias (josiasko) 
