context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (arra) of (n) the (NULL) generation (NULL) of (n) jesus (yasuɛ) christ (lmasih) the (NULL) son (yus) of (n) david (dawd) the (NULL) son (yus) of (n) abraham (ibrahim) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (ibrahim) begat (yuru) isaac (ish) and (NULL) isaac (ish) begat (yuru) jacob (yaɛqub) and (NULL) jacob (yaɛqub) begat (yuru) judas (yahuda) and (NULL) his (NULL) brethren (aytmas) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (yahuda) begat (yuru) phares (faris) and (NULL) zara (zarah) of (tga) thamar (tamar) and (NULL) phares (faris) begat (yuru) esrom (run) and (NULL) esrom (run) begat (yuru) aram (aram) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (aram) begat (yuru) aminadab (ɛamminadab) and (NULL) aminadab (ɛamminadab) begat (yuru) naasson (šun) and (NULL) naasson (šun) begat (yuru) salmon (salmun) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (salmun) begat (yuru) booz (buɛaz) of (tga) rachab (rah) and (NULL) booz (buɛaz) begat (yuru) obed (ɛubid) of (tga) ruth (raɛut) and (NULL) obed (ɛubid) begat (yuru) jesse (yassa) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (yassa) begat (yuru) david (dawd) the (NULL) king (NULL) and (NULL) david (dawd) the (NULL) king (NULL) begat (yuru) solomon (suliman) of (n) her (tamg) that (NULL) had (ttin) been (NULL) the (NULL) wife (art) of (n) urias (urriyya) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (suliman) begat (yuru) roboam (bɛam) and (NULL) roboam (bɛam) begat (yuru) abia (abiyya) and (NULL) abia (abiyya) begat (yuru) asa (asa) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (asa) begat (yuru) josaphat (yahušafat) and (NULL) josaphat (yahušafat) begat (yuru) joram (yuram) and (NULL) joram (yuram) begat (yuru) ozias (ɛuzziyya) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (ɛuzziyya) begat (yuru) joatham (yutam) and (NULL) joatham (yutam) begat (yuru) achaz (az) and (NULL) achaz (az) begat (yuru) ezekias (azqiyya) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (azqiyya) begat (yuru) manasses (manassa) and (NULL) manasses (manassa) begat (yuru) amon (amun) and (NULL) amon (amun) begat (yuru) josias (yušiyya) 
b.MAT.1.11 and josias begat jechonias and his brethren about the time they were carried away to babylon,b.MAT.1.11 (b.MAT.1.11) and (NULL) josias (yušiyya) begat (yuru) jechonias (yakuniyya) and (NULL) his (NULL) brethren (aytmas) about (NULL) the (ayt) time (NULL) they (NULL) were (nkrn) carried (awin) away (NULL) to (s) babylon (babil) 
b.MAT.1.12 and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel,b.MAT.1.12 (b.MAT.1.12) and (NULL) after (tigira) they (NULL) were (NULL) brought (NULL) to (s) babylon (babil) jechonias (yakuniyya) begat (yuru) salathiel (šaltil) and (NULL) salathiel (šaltil) begat (yuru) zorobabel (zarubbabil) 
b.MAT.1.13 and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor,b.MAT.1.13 (b.MAT.1.13) and (NULL) zorobabel (zarubbabil) begat (yuru) abiud (abihuda) and (NULL) abiud (abihuda) begat (yuru) eliakim (alyaqim) and (NULL) eliakim (alyaqim) begat (yuru) azor (ɛazur) 
b.MAT.1.14 and azor begat sadoc and sadoc begat achim and achim begat eliud,b.MAT.1.14 (b.MAT.1.14) and (NULL) azor (ɛazur) begat (yuru) sadoc (aduq) and (NULL) sadoc (aduq) begat (yuru) achim (im) and (NULL) achim (im) begat (yuru) eliud (alyud) 
b.MAT.1.15 and eliud begat eleazar and eleazar begat matthan and matthan begat jacob,b.MAT.1.15 (b.MAT.1.15) and (NULL) eliud (alyud) begat (yuru) eleazar (aliɛazr) and (NULL) eleazar (aliɛazr) begat (yuru) matthan (mattan) and (NULL) matthan (mattan) begat (yuru) jacob (yaɛqub) 
b.MAT.1.16 and jacob begat joseph the husband of mary of whom was born jesus who is called christ,b.MAT.1.16 (b.MAT.1.16) and (NULL) jacob (yaɛqub) begat (yuru) joseph (yusf) the (NULL) husband (argaz) of (n) mary (maryam) of (n) whom (lli) was (NULL) born (NULL) jesus (yasuɛ) who (lli) is (mi) called (ttinin) christ (lmasih) 
