context,targ
b.MAT.1.1 the book of the generation of jesus christ the son of david the son of abraham,b.MAT.1.1 (b.MAT.1.1) the (NULL) book (ܟܬܒܐ) of (NULL) the (NULL) generation (ܕܝܠܝܕܘܬܗ) of (NULL) jesus (ܕܝܫܘܥ) christ (ܡܫܝܚܐ) the (NULL) son (ܒܪܗ) of (NULL) david (ܕܕܘܝܕ) the (NULL) son (ܒܪܗ) of (NULL) abraham (ܕܐܒܪܗܡ) 
b.MAT.1.2 abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren,b.MAT.1.2 (b.MAT.1.2) abraham (ܐܒܪܗܡ) begat (ܐܘܠܕ) isaac (ܠܐܝܤܚܩ) and (NULL) isaac (ܠܐܝܤܚܩ) begat (ܐܘܠܕ) jacob (ܠܝܥܩܘܒ) and (NULL) jacob (ܠܝܥܩܘܒ) begat (ܐܘܠܕ) judas (ܠܝܗܘܕܐ) and (NULL) his (NULL) brethren (ܘܠܐܚܘܗܝ) 
b.MAT.1.3 and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram,b.MAT.1.3 (b.MAT.1.3) and (NULL) judas (ܝܗܘܕܐ) begat (ܐܘܠܕ) phares (ܠܦܪܨ) and (NULL) zara (ܘܠܙܪܚ) of (ܡܢ) thamar (ܬܡܪ) and (NULL) phares (ܠܦܪܨ) begat (ܐܘܠܕ) esrom (ܠܚܨܪܘܢ) and (NULL) esrom (ܠܚܨܪܘܢ) begat (ܐܘܠܕ) aram (ܠܐܪܡ) 
b.MAT.1.4 and aram begat aminadab and aminadab begat naasson and naasson begat salmon,b.MAT.1.4 (b.MAT.1.4) and (NULL) aram (ܐܪܡ) begat (ܐܘܠܕ) aminadab (ܠܥܡܝܢܕܒ) and (NULL) aminadab (ܠܥܡܝܢܕܒ) begat (ܐܘܠܕ) naasson (ܠܢܚܫܘܢ) and (NULL) naasson (ܠܢܚܫܘܢ) begat (ܐܘܠܕ) salmon (ܠܤܠܡܘܢ) 
b.MAT.1.5 and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse,b.MAT.1.5 (b.MAT.1.5) and (NULL) salmon (ܤܠܡܘܢ) begat (ܐܘܠܕ) booz (ܠܒܥܙ) of (ܡܢ) rachab (ܪܚܒ) and (NULL) booz (ܠܒܥܙ) begat (ܐܘܠܕ) obed (ܠܥܘܒܝܕ) of (ܡܢ) ruth (ܪܥܘܬ) and (NULL) obed (ܠܥܘܒܝܕ) begat (ܐܘܠܕ) jesse (ܠܐܝܫܝ) 
b.MAT.1.6 and jesse begat david the king and david the king begat solomon of her that had been the wife of urias,b.MAT.1.6 (b.MAT.1.6) and (NULL) jesse (ܐܝܫܝ) begat (ܐܘܠܕ) david (ܠܕܘܝܕ) the (NULL) king (ܡܠܟܐ) and (NULL) david (ܠܕܘܝܕ) the (NULL) king (ܡܠܟܐ) begat (ܐܘܠܕ) solomon (ܠܫܠܝܡܘܢ) of (ܡܢ) her (NULL) that (NULL) had (NULL) been (NULL) the (NULL) wife (ܐܢܬܬܗ) of (ܡܢ) urias (ܕܐܘܪܝܐ) 
b.MAT.1.7 and solomon begat roboam and roboam begat abia and abia begat asa,b.MAT.1.7 (b.MAT.1.7) and (NULL) solomon (ܫܠܝܡܘܢ) begat (ܐܘܠܕ) roboam (ܠܪܚܒܥܡ) and (NULL) roboam (ܠܪܚܒܥܡ) begat (ܐܘܠܕ) abia (ܠܐܒܝܐ) and (NULL) abia (ܠܐܒܝܐ) begat (ܐܘܠܕ) asa (ܠܐܤܐ) 
b.MAT.1.8 and asa begat josaphat and josaphat begat joram and joram begat ozias,b.MAT.1.8 (b.MAT.1.8) and (NULL) asa (ܐܤܐ) begat (ܐܘܠܕ) josaphat (ܠܝܗܘܫܦܛ) and (NULL) josaphat (ܠܝܗܘܫܦܛ) begat (ܐܘܠܕ) joram (ܠܝܘܪܡ) and (NULL) joram (ܠܝܘܪܡ) begat (ܐܘܠܕ) ozias (ܠܥܘܙܝܐ) 
b.MAT.1.9 and ozias begat joatham and joatham begat achaz and achaz begat ezekias,b.MAT.1.9 (b.MAT.1.9) and (NULL) ozias (ܥܘܙܝܐ) begat (ܐܘܠܕ) joatham (ܠܝܘܬܡ) and (NULL) joatham (ܠܝܘܬܡ) begat (ܐܘܠܕ) achaz (ܠܐܚܙ) and (NULL) achaz (ܠܐܚܙ) begat (ܐܘܠܕ) ezekias (ܠܚܙܩܝܐ) 
b.MAT.1.10 and ezekias begat manasses and manasses begat amon and amon begat josias,b.MAT.1.10 (b.MAT.1.10) and (NULL) ezekias (ܚܙܩܝܐ) begat (ܐܘܠܕ) manasses (ܠܡܢܫܐ) and (NULL) manasses (ܠܡܢܫܐ) begat (ܐܘܠܕ) amon (ܠܐܡܘܢ) and (NULL) amon (ܠܐܡܘܢ) begat (ܐܘܠܕ) josias (ܠܝܘܫܝܐ) 
