context,targ
b.GEN.1.2 and the earth was without form and void and darkness was upon the face of the deep and the spirit of god moved upon the face of the waters,b.GEN.1.2 (b.GEN.1.2) and (NULL) the (NULL) earth (adal) was (iga) without (illa) form (təməwit) and (NULL) void (əlsan) and (NULL) darkness (šiyyay) was (iga) upon (am) the (NULL) face (NULL) of (NULL) the (NULL) deep (an) and (NULL) the (NULL) spirit (fas) of (NULL) god (məššina) moved (in) upon (am) the (NULL) face (NULL) of (NULL) the (NULL) waters (əwarnen) 
b.GEN.1.3 and god said let there be light and there was light,b.GEN.1.3 (b.GEN.1.3) and (NULL) god (məššina) said (in) let (a) there (ən) be (NULL) light (ur) and (NULL) there (ən) was (NULL) light (ur) 
b.GEN.1.4 and god saw the light that it was good and god divided the light from the darkness,b.GEN.1.4 (b.GEN.1.4) and (NULL) god (məššina) saw (inay) the (n) light (ur) that (as) it (NULL) was (os) good (olaɣan) and (NULL) god (məššina) divided (izammazzay) the (n) light (ur) from (NULL) the (n) darkness (šiyyay) 
b.GEN.1.5 and god called the light day and the darkness he called night and the evening and the morning were the first day,b.GEN.1.5 (b.GEN.1.5) and (NULL) god (məššina) called (es) the (n) light (ur) day (ezal) and (NULL) the (n) darkness (šiyyay) he (ig) called (es) night (ehad) and (NULL) the (n) evening (ahad) and (NULL) the (n) morning (tifawt) were (əm) the (n) first (azzaran) day (ezal) 
b.GEN.1.6 and god said let there be a firmament in the midst of the waters and let it divide the waters from the waters,b.GEN.1.6 (b.GEN.1.6) and (NULL) god (məššina) said (in) let (NULL) there (NULL) be (az) a (iməlet) firmament (aɣarɣar) in (NULL) the (NULL) midst (NULL) of (NULL) the (NULL) waters (izəmməzzəyan) and (NULL) let (NULL) it (tu) divide (NULL) the (NULL) waters (izəmməzzəyan) from (NULL) the (NULL) waters (izəmməzzəyan) 
b.GEN.1.7 and god made the firmament and divided the waters which were under the firmament from the waters which were above the firmament and it was so,b.GEN.1.7 (b.GEN.1.7) and (NULL) god (məššina) made (ddu) the (NULL) firmament (aɣarɣar) and (NULL) divided (izammazzay) the (NULL) waters (am) which (win) were (əllanen) under (daw) the (NULL) firmament (aɣarɣar) from (NULL) the (NULL) waters (am) which (win) were (əllanen) above (afalla) the (NULL) firmament (aɣarɣar) and (NULL) it (NULL) was (ig) so (wen) 
b.GEN.1.8 and god called the firmament heaven and the evening and the morning were the second day,b.GEN.1.8 (b.GEN.1.8) and (NULL) god (məššina) called (es) the (y) firmament (aɣarɣar) heaven (ijənnawan) and (NULL) the (y) evening (ahad) and (NULL) the (y) morning (tifawt) were (əm) the (y) second (əššin) day (əzəl) 
b.GEN.1.9 and god said let the waters under the heaven be gathered together unto one place and let the dry land appear and it was so,b.GEN.1.9 (b.GEN.1.9) and (NULL) god (məššina) said (in) let (a) the (win) waters (am) under (daw) the (win) heaven (jənnawan) be (NULL) gathered (iddawanet) together (NULL) unto (NULL) one (iyyanda) place (edagg) and (NULL) let (a) the (win) dry (iqquran) land (wa) appear (inəfiləl) and (NULL) it (NULL) was (iga) so (wen) 
b.GEN.1.10 and god called the dry land earth and the gathering together of the waters called he seas and god saw that it was good,b.GEN.1.10 (b.GEN.1.10) and (NULL) god (məššina) called (es) the (NULL) dry (iqquran) land (wa) earth (adal) and (NULL) the (NULL) gathering (adag) together (əddewan) of (NULL) the (NULL) waters (am) called (es) he (iga) seas (igərwan) and (NULL) god (məššina) saw (inay) that (NULL) it (as) was (wa) good (olaɣ) 
b.GEN.1.11 and god said let the earth bring forth grass the herb yielding seed and the fruit tree yielding fruit after his kind whose seed is in itself upon the earth and it was so,b.GEN.1.11 (b.GEN.1.11) and (NULL) god (NULL) said (in) let (a) the (NULL) earth (adal) bring (am) forth (təwəret) grass (taddalət) the (NULL) herb (yel) yielding (ilan) seed (asa) and (NULL) the (NULL) fruit (NULL) tree (eškan) yielding (ilan) fruit (NULL) after (rawan) his (NULL) kind (NULL) whose (təgat) seed (asa) is (a) in (NULL) itself (əlanen) upon (NULL) the (NULL) earth (adal) and (NULL) it (NULL) was (ig) so (wen) 
b.GEN.1.12 and the earth brought forth grass and herb yielding seed after his kind and the tree yielding fruit whose seed was in itself after his kind and god saw that it was good,b.GEN.1.12 (b.GEN.1.12) and (əd) the (NULL) earth (adal) brought (du) forth (NULL) grass (taddalət) and (əd) herb (yel) yielding (ilan) seed (asa) after (d) his (nnet) kind (iri) and (əd) the (NULL) tree (eškan) yielding (ilan) fruit (aratan) whose (təgat) seed (asa) was (n) in (NULL) itself (əlanen) after (d) his (nnet) kind (iri) and (əd) god (məššina) saw (inay) that (NULL) it (as) was (n) good (olaɣ) 
b.GEN.1.13 and the evening and the morning were the third day,b.GEN.1.13 (b.GEN.1.13) and (NULL) the (NULL) evening (ahad) and (NULL) the (NULL) morning (tifawt) were (NULL) the (NULL) third (karad) day (əzəl) 
b.GEN.1.14 and god said let there be lights in the firmament of the heaven to divide the day from the night and let them be for signs and for seasons and for days and years,b.GEN.1.14 (b.GEN.1.14) and (NULL) god (məššina) said (in) let (NULL) there (tu) be (a) lights (uran) in (daɣ) the (NULL) firmament (az) of (ən) the (NULL) heaven (jənnawan) to (NULL) divide (zəmməzzinen) the (NULL) day (azal) from (d) the (NULL) night (ehad) and (NULL) let (NULL) them (izləyan) be (a) for (NULL) signs (NULL) and (NULL) for (NULL) seasons (šimeren) and (NULL) for (NULL) days (an) and (NULL) years (elan) 
b.GEN.1.15 and let them be for lights in the firmament of the heaven to give light upon the earth and it was so,b.GEN.1.15 (b.GEN.1.15) and (NULL) let (əqqəlanet) them (NULL) be (az) for (NULL) lights (uran) in (daɣ) the (NULL) firmament (NULL) of (ən) the (NULL) heaven (jənnawan) to (NULL) give (NULL) light (NULL) upon (əsəmmələwləwnen) the (NULL) earth (adal) and (NULL) it (NULL) was (iga) so (wen) 
b.GEN.1.16 and god made two great lights the greater light to rule the day and the lesser light to rule the night he made the stars also,b.GEN.1.16 (b.GEN.1.16) and (NULL) god (məššina) made (iga) two (əššin) great (NULL) lights (uran) the (wa) greater (ogaran) light (ur) to (ad) rule (NULL) the (wa) day (ezal) and (NULL) the (wa) lesser (tallit) light (ur) to (ad) rule (NULL) the (wa) night (ehad) he (NULL) made (iga) the (wa) stars (ran) also (da) 
b.GEN.1.17 and god set them in the firmament of the heaven to give light upon the earth,b.GEN.1.17 (b.GEN.1.17) and (NULL) god (NULL) set (NULL) them (en) in (daɣ) the (NULL) firmament (səmmələwləwan) of (NULL) the (NULL) heaven (jənnawan) to (NULL) give (NULL) light (NULL) upon (fəl) the (NULL) earth (adal) 
b.GEN.1.18 and to rule over the day and over the night and to divide the light from the darkness and god saw that it was good,b.GEN.1.18 (b.GEN.1.18) and (NULL) to (ad) rule (əzənnəməzləyan) over (NULL) the (NULL) day (ezal) and (NULL) over (NULL) the (NULL) night (ahad) and (NULL) to (ad) divide (zəmməzzəyyan) the (NULL) light (ur) from (d) the (NULL) darkness (šiyyay) and (NULL) god (məššina) saw (inay) that (NULL) it (as) was (wa) good (olaɣ) 
b.GEN.1.19 and the evening and the morning were the fourth day,b.GEN.1.19 (b.GEN.1.19) and (NULL) the (NULL) evening (ahad) and (NULL) the (NULL) morning (tifawt) were (NULL) the (NULL) fourth (əkkoz) day (əzəl) 
